column,description
prefecture_code,Japanese prefecture identifier
prefecture,Prefecture name
date,Daily date
t2m,"Raw daily 2m temperature, Celsius"
ah,Absolute humidity
rh,Relative humidity
tp,Daily precipitation
nw_wind,North-west wind speed
t2m_detrended,Temperature after removing long-term polynomial trend
t2m_roll5_detrended,5-day centered rolling mean of detrended temperature
doy,Day of year
clim_mean,Day-of-year climatological mean for each prefecture
clim_std,Day-of-year climatological standard deviation for each prefecture
t2m_std_anom,Standardized temperature anomaly
temp_extreme_flag,"-1 cold extreme, 0 normal, 1 warm extreme"
c2w_event,Cold-to-warm flip-flop event indicator
w2c_event,Warm-to-cold flip-flop event indicator
c2w_transition_duration,Number of days from cold extreme to warm extreme
w2c_transition_duration,Number of days from warm extreme to cold extreme
c2w_transition_intensity,Absolute standardized anomaly difference for cold-to-warm event
w2c_transition_intensity,Absolute standardized anomaly difference for warm-to-cold event
cases,Daily OHCA case count
population,Yearly prefecture population
incidence_per_100k,"Daily OHCA cases per 100,000 population"
log_population,Log population used as Poisson offset
