prefecture_code,year,population
JP-01,1975,5337119.0
JP-01,1976,5392635.6
JP-01,1977,5435647.2
JP-01,1978,5478658.8
JP-01,1979,5521670.4
JP-01,1980,5573814.0
JP-01,1981,5607042.0
JP-01,1982,5635244.0
JP-01,1983,5658446.0
JP-01,1984,5675648.0
JP-01,1985,5678108.0
JP-01,1986,5679463.4
JP-01,1987,5669076.8
JP-01,1988,5668690.2
JP-01,1989,5668303.6
JP-01,1990,5633735.0
JP-01,1991,5649618.6
JP-01,1992,5659320.2
JP-01,1993,5664021.8
JP-01,1994,5672723.4
JP-01,1995,5686215.0
JP-01,1996,5694802.6
JP-01,1997,5697180.2
JP-01,1998,5696557.8
JP-01,1999,5691935.4
JP-01,2000,5656286.0
JP-01,2001,5680675.2
JP-01,2002,5670037.4
JP-01,2003,5656399.6
JP-01,2004,5642761.8
JP-01,2005,5619677.0
JP-01,2006,5600160.6
JP-01,2007,5568197.2
JP-01,2008,5531233.8
JP-01,2009,5498270.4
JP-01,2010,5495553.0
JP-01,2011,5485795.6
JP-01,2012,5451284.2
JP-01,2013,5425772.8
JP-01,2014,5393261.4
JP-01,2015,5354652.0
JP-01,2016,5344787.0
JP-01,2017,5310824.0
JP-01,2018,5272861.0
JP-01,2019,5236898.0
JP-01,2020,5161662.0
JP-02,1975,1468504.0
JP-02,1976,1479498.2
JP-02,1977,1493251.4
JP-02,1978,1505004.6
JP-02,1979,1510757.8
JP-02,1980,1523751.0
JP-02,1981,1528002.0
JP-02,1982,1527433.0
JP-02,1983,1530864.0
JP-02,1984,1529295.0
JP-02,1985,1524410.0
JP-02,1986,1521613.2
JP-02,1987,1512500.4
JP-02,1988,1511387.6
JP-02,1989,1505274.8
JP-02,1990,1481633.0
JP-02,1991,1473397.2
JP-02,1992,1469632.4
JP-02,1993,1470867.6
JP-02,1994,1470102.8
JP-02,1995,1480424.0
JP-02,1996,1481570.4
JP-02,1997,1482802.8
JP-02,1998,1478035.2
JP-02,1999,1481267.6
JP-02,2000,1474806.0
JP-02,2001,1472295.6
JP-02,2002,1473091.2
JP-02,2003,1465886.8
JP-02,2004,1456682.4
JP-02,2005,1436173.0
JP-02,2006,1422178.0
JP-02,2007,1408878.0
JP-02,2008,1393578.0
JP-02,2009,1380278.0
JP-02,2010,1367823.0
JP-02,2011,1359657.2
JP-02,2012,1348336.4
JP-02,2013,1335015.6
JP-02,2014,1319694.8
JP-02,2015,1296476.0
JP-02,2016,1288849.8
JP-02,2017,1275325.6
JP-02,2018,1257801.4
JP-02,2019,1244277.2
JP-02,2020,1217508.0
JP-03,1975,1385442.0
JP-03,1976,1394394.6
JP-03,1977,1397395.2
JP-03,1978,1406395.8
JP-03,1979,1409396.4
JP-03,1980,1421799.0
JP-03,1981,1426425.8
JP-03,1982,1428089.6
JP-03,1983,1427753.4
JP-03,1984,1432417.2
JP-03,1985,1433594.0
JP-03,1986,1429045.2
JP-03,1987,1425009.4
JP-03,1988,1422973.6
JP-03,1989,1415937.8
JP-03,1990,1416576.0
JP-03,1991,1414422.8
JP-03,1992,1412943.6
JP-03,1993,1413464.4
JP-03,1994,1413985.2
JP-03,1995,1419361.0
JP-03,1996,1419343.4
JP-03,1997,1419180.8
JP-03,1998,1418018.2
JP-03,1999,1414855.6
JP-03,2000,1415502.0
JP-03,2001,1416746.2
JP-03,2002,1407799.4
JP-03,2003,1400852.6
JP-03,2004,1390905.8
JP-03,2005,1380514.0
JP-03,2006,1374067.4
JP-03,2007,1363175.8
JP-03,2008,1352284.2
JP-03,2009,1340392.6
JP-03,2010,1324581.0
JP-03,2011,1312508.6
JP-03,2012,1302516.2
JP-03,2013,1293523.8
JP-03,2014,1284531.4
JP-03,2015,1271728.0
JP-03,2016,1266647.8
JP-03,2017,1251756.6
JP-03,2018,1234865.4
JP-03,2019,1223974.2
JP-03,2020,1194695.0
JP-04,1975,1954590.0
JP-04,1976,1983138.2
JP-04,1977,2007271.4
JP-04,1978,2031404.6
JP-04,1979,2054537.8
JP-04,1980,2080720.0
JP-04,1981,2106482.4
JP-04,1982,2124288.8
JP-04,1983,2144095.2
JP-04,1984,2159901.6
JP-04,1985,2175147.0
JP-04,1986,2189280.8
JP-04,1987,2207853.6
JP-04,1988,2222426.4
JP-04,1989,2235999.2
JP-04,1990,2241479.0
JP-04,1991,2264939.0
JP-04,1992,2277306.0
JP-04,1993,2287673.0
JP-04,1994,2300040.0
JP-04,1995,2327287.0
JP-04,1996,2341241.6
JP-04,1997,2349076.2
JP-04,1998,2354910.8
JP-04,1999,2360745.4
JP-04,2000,2364337.0
JP-04,2001,2367809.4
JP-04,2002,2370038.8
JP-04,2003,2375268.2
JP-04,2004,2373497.6
JP-04,2005,2354063.0
JP-04,2006,2356298.0
JP-04,2007,2345869.0
JP-04,2008,2340440.0
JP-04,2009,2331011.0
JP-04,2010,2329958.0
JP-04,2011,2326523.6
JP-04,2012,2324465.2
JP-04,2013,2328406.8
JP-04,2014,2326348.4
JP-04,2015,2283628.0
JP-04,2016,2327513.2
JP-04,2017,2311736.4
JP-04,2018,2304959.6
JP-04,2019,2300182.8
JP-04,2020,2252924.0
JP-05,1975,1232434.0
JP-05,1976,1240747.4
JP-05,1977,1243327.8
JP-05,1978,1247908.2
JP-05,1979,1249488.6
JP-05,1980,1256658.0
JP-05,1981,1255258.8
JP-05,1982,1257764.6
JP-05,1983,1253270.4
JP-05,1984,1252776.2
JP-05,1985,1253949.0
JP-05,1986,1250092.2
JP-05,1987,1245902.4
JP-05,1988,1238712.6
JP-05,1989,1232522.8
JP-05,1990,1227033.0
JP-05,1991,1223616.8
JP-05,1992,1218900.6
JP-05,1993,1216184.4
JP-05,1994,1215468.2
