prefecture_code,target_variable,predictor_variable,frequency_band,applied_lag_days,lag_source
JP-01,cases,ah,annual,0,selected_on_training_period
JP-01,cases,c2w_event,annual,30,selected_on_training_period
JP-01,cases,c2w_transition_intensity,annual,0,constant_predictor_default_zero
JP-01,cases,nw_wind,annual,18,selected_on_training_period
JP-01,cases,rh,annual,6,selected_on_training_period
JP-01,cases,t2m,annual,0,selected_on_training_period
JP-01,cases,t2m_std_anom,annual,0,selected_on_training_period
JP-01,cases,tp,annual,0,selected_on_training_period
JP-01,cases,w2c_event,annual,0,constant_predictor_default_zero
JP-01,cases,w2c_transition_intensity,annual,0,constant_predictor_default_zero
JP-01,cases,ah,high_frequency,9,selected_on_training_period
JP-01,cases,c2w_event,high_frequency,8,selected_on_training_period
JP-01,cases,c2w_transition_intensity,high_frequency,8,selected_on_training_period
JP-01,cases,nw_wind,high_frequency,5,selected_on_training_period
JP-01,cases,rh,high_frequency,4,selected_on_training_period
JP-01,cases,t2m,high_frequency,9,selected_on_training_period
JP-01,cases,t2m_std_anom,high_frequency,0,constant_predictor_default_zero
JP-01,cases,tp,high_frequency,7,selected_on_training_period
JP-01,cases,w2c_event,high_frequency,3,selected_on_training_period
JP-01,cases,w2c_transition_intensity,high_frequency,3,selected_on_training_period
JP-01,cases,ah,interannual,0,selected_on_training_period
JP-01,cases,c2w_event,interannual,0,selected_on_training_period
JP-01,cases,c2w_transition_intensity,interannual,0,selected_on_training_period
JP-01,cases,nw_wind,interannual,0,selected_on_training_period
JP-01,cases,rh,interannual,0,selected_on_training_period
JP-01,cases,t2m,interannual,0,selected_on_training_period
JP-01,cases,t2m_std_anom,interannual,0,selected_on_training_period
JP-01,cases,tp,interannual,0,selected_on_training_period
JP-01,cases,w2c_event,interannual,0,selected_on_training_period
JP-01,cases,w2c_transition_intensity,interannual,0,selected_on_training_period
JP-01,cases,ah,seasonal_subannual,0,selected_on_training_period
JP-01,cases,c2w_event,seasonal_subannual,0,selected_on_training_period
JP-01,cases,c2w_transition_intensity,seasonal_subannual,0,selected_on_training_period
JP-01,cases,nw_wind,seasonal_subannual,9,selected_on_training_period
JP-01,cases,rh,seasonal_subannual,29,selected_on_training_period
JP-01,cases,t2m,seasonal_subannual,0,selected_on_training_period
JP-01,cases,t2m_std_anom,seasonal_subannual,0,selected_on_training_period
JP-01,cases,tp,seasonal_subannual,30,selected_on_training_period
JP-01,cases,w2c_event,seasonal_subannual,18,selected_on_training_period
