prefecture_code,target_variable,frequency_band,status,rows_before_lag_drop,rows_after_lag_drop,dropped_initial_rows,train_rows,validation_rows,test_rows,maximum_applied_lag_days
JP-01,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-01,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-01,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-01,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-01,cases,annual,created,5478,5448,30,4353,365,730,30.0
JP-01,incidence_per_100k,annual,created,5478,5448,30,4353,365,730,30.0
JP-01,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-01,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-01,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-01,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-01,cases,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-01,incidence_per_100k,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-01,cases,high_frequency,created,5478,5469,9,4374,365,730,9.0
JP-01,incidence_per_100k,high_frequency,created,5478,5469,9,4374,365,730,9.0
JP-02,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-02,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-02,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-02,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-02,cases,annual,created,5478,5452,26,4357,365,730,26.0
JP-02,incidence_per_100k,annual,created,5478,5452,26,4357,365,730,26.0
JP-02,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-02,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-02,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-02,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-02,cases,subseasonal,created,5478,5458,20,4363,365,730,20.0
JP-02,incidence_per_100k,subseasonal,created,5478,5459,19,4364,365,730,19.0
JP-02,cases,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-02,incidence_per_100k,high_frequency,created,5478,5464,14,4369,365,730,14.0
JP-03,cases,trend,created,5478,5478,0,4383,365,730,0.0
JP-03,incidence_per_100k,trend,created,5478,5478,0,4383,365,730,0.0
JP-03,cases,interannual,created,5478,5478,0,4383,365,730,0.0
JP-03,incidence_per_100k,interannual,created,5478,5478,0,4383,365,730,0.0
JP-03,cases,annual,created,5478,5471,7,4376,365,730,7.0
JP-03,incidence_per_100k,annual,created,5478,5470,8,4375,365,730,8.0
JP-03,cases,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-03,incidence_per_100k,semiannual,created,5478,5448,30,4353,365,730,30.0
JP-03,cases,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-03,incidence_per_100k,seasonal_subannual,created,5478,5448,30,4353,365,730,30.0
JP-03,cases,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-03,incidence_per_100k,subseasonal,created,5478,5457,21,4362,365,730,21.0
JP-03,cases,high_frequency,created,5478,5464,14,4369,365,730,14.0
