prefecture_code,target_variable,frequency_band,model_name,split,selected_candidate,n_observations,mae,rmse,nrmse_std,r2,pearson_correlation
JP-01,cases,trend,hist_gradient_boosting,train,medium,4383,0.026514674045146066,0.03417581548768316,0.03415842273652896,0.9988332021561526,0.9994175452700865
JP-02,cases,trend,hist_gradient_boosting,train,medium,4383,0.018853606016409487,0.02537635523285419,0.08436675017463173,0.9928822514649713,0.9968592515634642
JP-03,cases,trend,hist_gradient_boosting,train,medium,4383,0.024150063824054477,0.031035960472951492,0.1409490798602194,0.9801333568865574,0.9900883798680249
JP-04,cases,trend,hist_gradient_boosting,train,medium,4383,0.01957223711028131,0.03036169063726323,0.12287270403888594,0.9849022986021724,0.9928815838001941
JP-05,cases,trend,hist_gradient_boosting,train,medium,4383,0.0279043686455425,0.037197069839342484,0.12195459477116291,0.9851270768142014,0.9926703014256315
JP-06,cases,trend,hist_gradient_boosting,train,medium,4383,0.021152436951876685,0.025275920866132572,0.11971797471803781,0.9856676065294112,0.9932829664162176
JP-07,cases,trend,hist_gradient_boosting,train,medium,4383,0.026937838269483743,0.03641096519373949,0.10403528152064428,0.9891766601989203,0.994793504248522
JP-08,cases,trend,hist_gradient_boosting,train,medium,4383,0.03297341600463419,0.04111919807368278,0.06685159000059758,0.995530864914392,0.9978660917313972
JP-09,cases,trend,hist_gradient_boosting,train,medium,4383,0.03082781171636936,0.04204983818520423,0.09308232656662246,0.9913356804809447,0.9966239996253701
JP-10,cases,trend,hist_gradient_boosting,train,medium,4383,0.02552610638314942,0.03221673877398345,0.05053056595337259,0.9974466619044319,0.9988283486041492
JP-11,cases,trend,hist_gradient_boosting,train,medium,4383,0.16223294456934872,0.2015227417831598,0.08249158949561257,0.9931951376624873,0.9966153307114858
JP-13,cases,trend,hist_gradient_boosting,train,medium,4383,0.03342783218125159,0.05054432042893357,0.023367710968095902,0.9994539500841115,0.9997300926398816
JP-14,cases,trend,hist_gradient_boosting,train,medium,4383,0.07133511019721667,0.10055028297018047,0.05456648127105784,0.9970224991216953,0.9985114022652968
JP-15,cases,trend,hist_gradient_boosting,train,medium,4383,0.020284283613879812,0.026188924718685648,0.06645799935715822,0.995583334321444,0.997928200358697
JP-16,cases,trend,hist_gradient_boosting,train,medium,4383,0.012107393966578133,0.017100352748290894,0.21788636977203155,0.9525255298675656,0.9824305814042351
JP-17,cases,trend,hist_gradient_boosting,train,medium,4383,0.006208477181322171,0.009057050065587564,1.5515295329394008,-1.4072438915831547,0.6125585282680647
