target_variable,frequency_band,model_name,split,selected_candidate,n_observations,mae,rmse,nrmse_std,r2,pearson_correlation
cases,trend,hist_gradient_boosting,train,medium,201618,0.02711798553079912,0.046409314965530885,0.01200564686693806,0.9998558644433064,0.9999279590611599
cases,trend,hist_gradient_boosting,validation,medium,16790,0.1465505634352547,0.2581047202743196,0.05660721932175319,0.9967956227206589,0.999212938019347
cases,trend,hist_gradient_boosting,test,medium,33580,0.17309784900479394,0.3005385746175657,0.0644950859673565,0.9958403838860633,0.9986325794027908
cases,interannual,hist_gradient_boosting,train,regularized,179703,0.06038499148365604,0.11596030182140679,0.2949170066954641,0.9130239591617876,0.9580708466076142
cases,interannual,hist_gradient_boosting,validation,regularized,14965,0.104126396931568,0.2053703558561967,0.7167815864381618,0.486224157343192,0.7002242934689636
cases,interannual,hist_gradient_boosting,test,regularized,29930,0.14792870532472996,0.40444335219527644,0.8707123772890073,0.24185995603572552,0.4961505699906198
cases,annual,hist_gradient_boosting,train,medium,200712,0.0688328780292771,0.10861308740589895,0.08775003452826721,0.9922999314402879,0.9961563884342882
cases,annual,hist_gradient_boosting,validation,medium,16790,0.1528342780667071,0.2715987084189076,0.18467255343305558,0.9658960480085153,0.9928784404281812
cases,annual,hist_gradient_boosting,test,medium,33580,0.17097738136293972,0.31539586013999577,0.20761493309626816,0.9568960395554321,0.9906946053158054
cases,semiannual,hist_gradient_boosting,train,medium,200269,0.06207881259441148,0.10225072080723321,0.27977819475769466,0.9217241617381254,0.9604309308143687
cases,semiannual,hist_gradient_boosting,validation,medium,16790,0.1167601627344381,0.18783219487624683,0.40750717990058866,0.8339378983294693,0.9167816203678972
cases,semiannual,hist_gradient_boosting,test,medium,33580,0.15555367824651004,0.28190654803525117,0.5213249654877331,0.7282202803592137,0.8671121305877763
cases,seasonal_subannual,hist_gradient_boosting,train,shallow,200324,0.19994826933391355,0.3177813627312544,0.8994168743611977,0.19104928611433392,0.46040830228481716
cases,seasonal_subannual,hist_gradient_boosting,validation,shallow,16790,0.25747033383381407,0.41970930115887367,1.0275511739375436,-0.05586141506042397,0.008305078822577455
cases,seasonal_subannual,hist_gradient_boosting,test,shallow,33580,0.287650551770329,0.4763564708678935,0.9819124172245455,0.035848004900250086,0.19012231462082627
cases,subseasonal,hist_gradient_boosting,train,shallow,200750,0.3233123171893693,0.4609423574340217,0.9848392910315575,0.030091570840459103,0.22717799359873878
cases,subseasonal,hist_gradient_boosting,validation,shallow,16790,0.3868924922436853,0.5709341784400106,1.0009313492182212,-0.001863565847808557,0.020163012528494385
cases,subseasonal,hist_gradient_boosting,test,shallow,33580,0.42479509522494024,0.6165682902924984,0.9998950758503428,0.0002098372902374912,0.034687560242673804
cases,high_frequency,hist_gradient_boosting,train,shallow,201047,0.6342082693344259,0.8653863156510012,0.9920405637176718,0.015855519938723917,0.19513113279094968
cases,high_frequency,hist_gradient_boosting,validation,shallow,16790,0.7585460685367177,1.052427189879176,1.0004133338069103,-0.0008268384586569422,0.009161570250856918
cases,high_frequency,hist_gradient_boosting,test,shallow,33580,0.8312407964027775,1.158801323141905,1.000847398537592,-0.0016955151594659768,-0.002756195340013866
incidence_per_100k,trend,hist_gradient_boosting,train,regularized,201618,0.0015752454299098806,0.002206943978920529,0.06521316785964515,0.9957472427377098,0.9978937787186621
incidence_per_100k,trend,hist_gradient_boosting,validation,regularized,16790,0.006734343958535768,0.008666950329914025,0.25275852687109596,0.9361131270939534,0.9731982423593307
incidence_per_100k,trend,hist_gradient_boosting,test,regularized,33580,0.008472385776148816,0.011303399792885752,0.31348823937545356,0.9017251237732783,0.9659775163331205
incidence_per_100k,interannual,hist_gradient_boosting,train,shallow,179703,0.003106272436893286,0.004601279416928694,0.6920668912588823,0.5210434180232664,0.7575197583609654
incidence_per_100k,interannual,hist_gradient_boosting,validation,shallow,14965,0.004904562719144507,0.008923650249153744,1.1429571998032515,-0.30635116058208967,-0.0484460860990277
