target_variable,frequency_band,tuning_rows,candidate_name,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,validation_rmse
cases,trend,120000,shallow,0.05,150,15,50,1.0,0.3123033506083852
cases,trend,120000,medium,0.05,250,31,50,1.0,0.27130752661106794
cases,trend,120000,regularized,0.03,300,31,100,10.0,0.28227319331177325
cases,interannual,120000,shallow,0.05,150,15,50,1.0,0.20813618886269258
cases,interannual,120000,medium,0.05,250,31,50,1.0,0.20416952562463414
cases,interannual,120000,regularized,0.03,300,31,100,10.0,0.1896961948131744
cases,annual,120000,shallow,0.05,150,15,50,1.0,0.3036967773437203
cases,annual,120000,medium,0.05,250,31,50,1.0,0.27388809750216947
cases,annual,120000,regularized,0.03,300,31,100,10.0,0.2801372846383059
cases,semiannual,120000,shallow,0.05,150,15,50,1.0,0.19086407261004765
cases,semiannual,120000,medium,0.05,250,31,50,1.0,0.18527216199025887
cases,semiannual,120000,regularized,0.03,300,31,100,10.0,0.18752558702417862
cases,seasonal_subannual,120000,shallow,0.05,150,15,50,1.0,0.4224310727304055
cases,seasonal_subannual,120000,medium,0.05,250,31,50,1.0,0.4262079899651483
cases,seasonal_subannual,120000,regularized,0.03,300,31,100,10.0,0.4271391044664664
cases,subseasonal,120000,shallow,0.05,150,15,50,1.0,0.5708739779129688
cases,subseasonal,120000,medium,0.05,250,31,50,1.0,0.5728806199481193
cases,subseasonal,120000,regularized,0.03,300,31,100,10.0,0.5720710346489267
cases,high_frequency,120000,shallow,0.05,150,15,50,1.0,1.0533058301920801
cases,high_frequency,120000,medium,0.05,250,31,50,1.0,1.0553669837279267
cases,high_frequency,120000,regularized,0.03,300,31,100,10.0,1.0544072810875085
incidence_per_100k,trend,120000,shallow,0.05,150,15,50,1.0,0.009302786663090623
incidence_per_100k,trend,120000,medium,0.05,250,31,50,1.0,0.008373237883560609
incidence_per_100k,trend,120000,regularized,0.03,300,31,100,10.0,0.00831700955537473
incidence_per_100k,interannual,120000,shallow,0.05,150,15,50,1.0,0.008438549118519979
incidence_per_100k,interannual,120000,medium,0.05,250,31,50,1.0,0.00845963189145771
incidence_per_100k,interannual,120000,regularized,0.03,300,31,100,10.0,0.008665071728699843
incidence_per_100k,annual,120000,shallow,0.05,150,15,50,1.0,0.008715770815756889
incidence_per_100k,annual,120000,medium,0.05,250,31,50,1.0,0.007825003647875547
incidence_per_100k,annual,120000,regularized,0.03,300,31,100,10.0,0.008089216399770414
incidence_per_100k,semiannual,120000,shallow,0.05,150,15,50,1.0,0.006939364537345601
incidence_per_100k,semiannual,120000,medium,0.05,250,31,50,1.0,0.0068047534588293246
incidence_per_100k,semiannual,120000,regularized,0.03,300,31,100,10.0,0.006825402062455627
incidence_per_100k,seasonal_subannual,120000,shallow,0.05,150,15,50,1.0,0.014605492842567389
incidence_per_100k,seasonal_subannual,120000,medium,0.05,250,31,50,1.0,0.014755406223968136
incidence_per_100k,seasonal_subannual,120000,regularized,0.03,300,31,100,10.0,0.014691732148748008
incidence_per_100k,subseasonal,120000,shallow,0.05,150,15,50,1.0,0.025123092378007344
incidence_per_100k,subseasonal,120000,medium,0.05,250,31,50,1.0,0.025165966633022598
incidence_per_100k,subseasonal,120000,regularized,0.03,300,31,100,10.0,0.02515789751706599
incidence_per_100k,high_frequency,120000,shallow,0.05,150,15,50,1.0,0.05443620846577438
incidence_per_100k,high_frequency,120000,medium,0.05,250,31,50,1.0,0.0544883109490744
incidence_per_100k,high_frequency,120000,regularized,0.03,300,31,100,10.0,0.05448976216598803
