target_variable,frequency_band,alpha,validation_rmse
cases,trend,0.01,0.7940544610309367
cases,trend,0.1,0.7947814395573629
cases,trend,1.0,0.8124042349204674
cases,trend,10.0,0.8550654728451209
cases,trend,100.0,0.9223112706195499
cases,trend,1000.0,1.4456493948167475
cases,interannual,0.01,0.30298441131000275
cases,interannual,0.1,0.302969185869108
cases,interannual,1.0,0.3028410865119789
cases,interannual,10.0,0.30257387269931135
cases,interannual,100.0,0.3030445672528888
cases,interannual,1000.0,0.2999411033204235
cases,annual,0.01,0.9860862942966067
cases,annual,0.1,0.9860870178015767
cases,annual,1.0,0.9860943395529792
cases,annual,10.0,0.9861756453444092
cases,annual,100.0,0.9874217965505617
cases,annual,1000.0,0.997658058434138
cases,semiannual,0.01,0.3504264567667955
cases,semiannual,0.1,0.35042649379688234
cases,semiannual,1.0,0.3504268641101872
cases,semiannual,10.0,0.3504305684835573
cases,semiannual,100.0,0.35046773295907596
cases,semiannual,1000.0,0.35084881443451477
cases,seasonal_subannual,0.01,0.4142303987207834
cases,seasonal_subannual,0.1,0.4142303896827812
cases,seasonal_subannual,1.0,0.4142302993155566
cases,seasonal_subannual,10.0,0.4142293969196972
cases,seasonal_subannual,100.0,0.41422049730229044
cases,seasonal_subannual,1000.0,0.4141413345627778
cases,subseasonal,0.01,0.5700860945225206
cases,subseasonal,0.1,0.5700860938973136
cases,subseasonal,1.0,0.5700860876472769
cases,subseasonal,10.0,0.5700860253496521
cases,subseasonal,100.0,0.5700854221058401
cases,subseasonal,1000.0,0.5700809357383309
cases,high_frequency,0.01,1.0521379031725584
cases,high_frequency,0.1,1.0521379025484494
cases,high_frequency,1.0,1.0521378963088457
cases,high_frequency,10.0,1.0521378340610197
cases,high_frequency,100.0,1.052137226016154
cases,high_frequency,1000.0,1.0521322823710815
incidence_per_100k,trend,0.01,0.01755847248879258
incidence_per_100k,trend,0.1,0.017508845878860146
incidence_per_100k,trend,1.0,0.01772584784977936
incidence_per_100k,trend,10.0,0.018692441825226957
incidence_per_100k,trend,100.0,0.019504318574915004
incidence_per_100k,trend,1000.0,0.021639863556824387
incidence_per_100k,interannual,0.01,0.008506177790154765
incidence_per_100k,interannual,0.1,0.008506123217199228
incidence_per_100k,interannual,1.0,0.008505687711172796
incidence_per_100k,interannual,10.0,0.008505596417460175
incidence_per_100k,interannual,100.0,0.008504806523118438
incidence_per_100k,interannual,1000.0,0.008445125376234382
incidence_per_100k,annual,0.01,0.012218670058853255
incidence_per_100k,annual,0.1,0.012218714647337921
incidence_per_100k,annual,1.0,0.012219162096047042
incidence_per_100k,annual,10.0,0.012223783136660983
incidence_per_100k,annual,100.0,0.012278262417433242
incidence_per_100k,annual,1000.0,0.012814827489433765
incidence_per_100k,semiannual,0.01,0.008037753681597575
incidence_per_100k,semiannual,0.1,0.008037755548868937
incidence_per_100k,semiannual,1.0,0.008037774221733306
incidence_per_100k,semiannual,10.0,0.008037960965362408
incidence_per_100k,semiannual,100.0,0.008039829813164753
incidence_per_100k,semiannual,1000.0,0.00805859316869292
incidence_per_100k,seasonal_subannual,0.01,0.014677343331639954
incidence_per_100k,seasonal_subannual,0.1,0.014677342968642062
incidence_per_100k,seasonal_subannual,1.0,0.01467733933920434
incidence_per_100k,seasonal_subannual,10.0,0.014677297764753516
incidence_per_100k,seasonal_subannual,100.0,0.014676940855065884
incidence_per_100k,seasonal_subannual,1000.0,0.014673781091470819
incidence_per_100k,subseasonal,0.01,0.02509388103656984
incidence_per_100k,subseasonal,0.1,0.025093880979440222
incidence_per_100k,subseasonal,1.0,0.025093880408268772
incidence_per_100k,subseasonal,10.0,0.025093874708998876
incidence_per_100k,subseasonal,100.0,0.025093818930713226
incidence_per_100k,subseasonal,1000.0,0.025093357617031232
incidence_per_100k,high_frequency,0.01,0.05440877744603476
incidence_per_100k,high_frequency,0.1,0.05440877741362715
incidence_per_100k,high_frequency,1.0,0.054408777089633424
incidence_per_100k,high_frequency,10.0,0.05440877385791746
incidence_per_100k,high_frequency,100.0,0.05440874234183717
incidence_per_100k,high_frequency,1000.0,0.05440849056972905
