target_variable,frequency_band,selected_alpha,feature_name,feature_type,coefficient,absolute_coefficient
cases,trend,0.01,t2m_lagged,environmental_predictor,-1.6278707442172429,1.6278707442172429
cases,trend,0.01,t2m_std_anom_lagged,environmental_predictor,-0.12234877469649832,0.12234877469649832
cases,trend,0.01,c2w_event_lagged,environmental_predictor,-0.9089260037388703,0.9089260037388703
cases,trend,0.01,w2c_event_lagged,environmental_predictor,-1.5598294480907589,1.5598294480907589
cases,trend,0.01,c2w_transition_intensity_lagged,environmental_predictor,0.9907432286743743,0.9907432286743743
cases,trend,0.01,w2c_transition_intensity_lagged,environmental_predictor,1.2380507433603465,1.2380507433603465
cases,trend,0.01,ah_lagged,environmental_predictor,3.5391859915002057,3.5391859915002057
cases,trend,0.01,rh_lagged,environmental_predictor,-15.163435072428946,15.163435072428946
cases,trend,0.01,tp_lagged,environmental_predictor,0.6523110669333659,0.6523110669333659
cases,trend,0.01,nw_wind_lagged,environmental_predictor,-0.0592080393161876,0.0592080393161876
cases,trend,0.01,prefecture_code_JP-01,prefecture_fixed_effect,20.042296961727597,20.042296961727597
cases,trend,0.01,prefecture_code_JP-02,prefecture_fixed_effect,13.675785922571075,13.675785922571075
cases,trend,0.01,prefecture_code_JP-03,prefecture_fixed_effect,2.8302017478283648,2.8302017478283648
cases,trend,0.01,prefecture_code_JP-04,prefecture_fixed_effect,5.4281455519629,5.4281455519629
cases,trend,0.01,prefecture_code_JP-05,prefecture_fixed_effect,2.4148416242067277,2.4148416242067277
cases,trend,0.01,prefecture_code_JP-06,prefecture_fixed_effect,6.682767821561904,6.682767821561904
cases,trend,0.01,prefecture_code_JP-07,prefecture_fixed_effect,6.695965241867317,6.695965241867317
cases,trend,0.01,prefecture_code_JP-08,prefecture_fixed_effect,2.522782294914114,2.522782294914114
cases,trend,0.01,prefecture_code_JP-09,prefecture_fixed_effect,3.020373956004596,3.020373956004596
cases,trend,0.01,prefecture_code_JP-10,prefecture_fixed_effect,3.8804007209671845,3.8804007209671845
cases,trend,0.01,prefecture_code_JP-11,prefecture_fixed_effect,8.328261138775046,8.328261138775046
cases,trend,0.01,prefecture_code_JP-13,prefecture_fixed_effect,18.638154323075906,18.638154323075906
cases,trend,0.01,prefecture_code_JP-14,prefecture_fixed_effect,12.071473006414104,12.071473006414104
cases,trend,0.01,prefecture_code_JP-15,prefecture_fixed_effect,6.798519685479811,6.798519685479811
cases,trend,0.01,prefecture_code_JP-16,prefecture_fixed_effect,4.229773835076733,4.229773835076733
cases,trend,0.01,prefecture_code_JP-17,prefecture_fixed_effect,0.5153429601193608,0.5153429601193608
cases,trend,0.01,prefecture_code_JP-18,prefecture_fixed_effect,1.1551349693918296,1.1551349693918296
cases,trend,0.01,prefecture_code_JP-19,prefecture_fixed_effect,0.665622046135002,0.665622046135002
cases,trend,0.01,prefecture_code_JP-20,prefecture_fixed_effect,0.056213682453412524,0.056213682453412524
cases,trend,0.01,prefecture_code_JP-21,prefecture_fixed_effect,4.697563556313493,4.697563556313493
cases,trend,0.01,prefecture_code_JP-22,prefecture_fixed_effect,3.5240390055959723,3.5240390055959723
cases,trend,0.01,prefecture_code_JP-23,prefecture_fixed_effect,-63.760577318001545,63.760577318001545
