prefecture_code,target_variable,frequency_band,model_name,split,selected_alpha,n_observations,mae,rmse,nrmse_std,r2,pearson_correlation
JP-01,cases,trend,ridge,train,0.01,4383,0.8389630084787749,0.9234281852153429,0.9229582342747423,0.14814809778444982,0.4702401917982988
JP-02,cases,trend,ridge,train,0.01,4383,0.2831870164961372,0.36334874069742523,1.207996662696421,-0.45925593708569057,0.6194577483173463
JP-03,cases,trend,ridge,train,0.01,4383,0.3241350054683286,0.38132863697858416,1.7317949787094729,-1.9991138482833444,0.9203679330185575
JP-04,cases,trend,ridge,train,0.01,4383,0.28828607803940137,0.3225096585609696,1.3051853501665271,-0.7035087982893198,0.9550264947193112
JP-05,cases,trend,ridge,train,0.01,4383,0.10809814797146985,0.156843106500884,0.5142269963354664,0.7355705962398041,0.9106704847351943
JP-06,cases,trend,ridge,train,0.01,4383,0.1110261052962373,0.13469628636711856,0.6379813693561238,0.5929797723544852,0.9586129423436042
JP-07,cases,trend,ridge,train,0.01,4383,0.13898627054338314,0.17186976130025972,0.49107511725156994,0.7588452292163568,0.9459079778539908
JP-08,cases,trend,ridge,train,0.01,4383,0.2852177520651,0.3118617035777201,0.5070247407818277,0.7429259122351205,0.9291817190991244
JP-09,cases,trend,ridge,train,0.01,4383,0.19157397314484576,0.2198447313711798,0.48665250480426214,0.7631693395677376,0.876096176069717
JP-10,cases,trend,ridge,train,0.01,4383,0.232077366621009,0.2583167978940014,0.40515876186039324,0.8358463776877532,0.9880690119240724
JP-11,cases,trend,ridge,train,0.01,4383,1.58429963798603,1.803252886043966,0.7381459557173811,0.45514054805807413,0.972559350750954
JP-13,cases,trend,ridge,train,0.01,4383,1.3491984937914636,1.6164830217027588,0.7473343733861205,0.44149133435557464,0.9874512462379781
JP-14,cases,trend,ridge,train,0.01,4383,1.1399723339094119,1.316464566954416,0.71441707586276,0.4896082417157034,0.9860946142198997
JP-15,cases,trend,ridge,train,0.01,4383,0.14235498213961734,0.16162447782586525,0.41014434761380536,0.8317816141204459,0.9657327746083397
JP-16,cases,trend,ridge,train,0.01,4383,0.22794942001119875,0.2525881556944576,3.2183848544983156,-9.358001071664145,0.9010730948804788
JP-17,cases,trend,ridge,train,0.01,4383,0.42682571844447764,0.5058261051744809,86.65118719965974,-7507.428243110476,0.6826652564952729
JP-18,cases,trend,ridge,train,0.01,4383,0.41749859033858466,0.47970422650007066,9.675547623066825,-92.61622180623408,0.9719238413622817
JP-19,cases,trend,ridge,train,0.01,4383,0.22631757882882841,0.2826759655334567,1.686392821398254,-1.8439207480635638,0.7783514057971849
JP-20,cases,trend,ridge,train,0.01,4383,0.12002261142256462,0.15783483189434247,0.8816602108434194,0.22267527261553743,0.5081261411363787
JP-21,cases,trend,ridge,train,0.01,4383,0.07872653642634808,0.10855005811923128,0.25728126393904655,0.9338063512259267,0.9678120227985261
JP-22,cases,trend,ridge,train,0.01,4383,0.3393118040608508,0.4183092809032776,0.6512496876231347,0.5758738443707694,0.7613169570941571
JP-23,cases,trend,ridge,train,0.01,4383,0.1841245511238391,0.23267823282117137,0.6492449393236569,0.5784810087626211,0.7686678504150002
JP-24,cases,trend,ridge,train,0.01,4383,0.13896162543962046,0.18039870562269705,0.6630269132972978,0.5603953122434575,0.983736829908242
JP-25,cases,trend,ridge,train,0.01,4383,0.08542228619252587,0.14894311213079192,0.6046466231085755,0.6344024611633963,0.9091495332417746
JP-26,cases,trend,ridge,train,0.01,4383,0.23442171860074573,0.2672001256270548,1.0062699207439998,-0.01257915339413529,0.96297330305954
JP-27,cases,trend,ridge,train,0.01,4383,1.2319882743246091,1.4435226407999504,0.8468712141591708,0.28280914662857193,0.9504395567177369
JP-28,cases,trend,ridge,train,0.01,4383,0.25474749515469,0.29352843639511644,0.3586233133424774,0.8713893191272633,0.973334557672686
JP-29,cases,trend,ridge,train,0.01,4383,0.219298327577414,0.2922738926132742,0.8328217408654367,0.3064079479418633,0.9151556434377409
JP-30,cases,trend,ridge,train,0.01,4383,0.09855045273350077,0.1312379746563363,1.3128463164562665,-0.7235654506327873,0.8858050395932131
JP-31,cases,trend,ridge,train,0.01,4383,0.3771550400524182,0.4327422149434547,8.428121965929641,-70.03323987258571,0.34557519012335464
JP-32,cases,trend,ridge,train,0.01,4383,0.1747295996288718,0.22537369097994644,1.6257866625697013,-1.6431822721895282,0.6820052369102221
JP-33,cases,trend,ridge,train,0.01,4383,0.279837316078262,0.3299713421254071,1.7275172397629504,-1.9843158136782035,-0.5549324242313174
JP-34,cases,trend,ridge,train,0.01,4383,0.17885118584992682,0.22395625500005625,1.9168862461404688,-2.674452880642498,0.09346256148657955
JP-35,cases,trend,ridge,train,0.01,4383,0.28082857803584443,0.3350037987068861,1.700134995600033,-1.8904590032639237,-0.2037537162831269
JP-36,cases,trend,ridge,train,0.01,4383,0.41423156325897587,0.47563426685768195,8.327144447463914,-68.3413346489291,0.901339163388703
JP-37,cases,trend,ridge,train,0.01,4383,0.13157675680491474,0.15214841705268684,0.8439030168023076,0.2878276982319642,0.7787095206938347
JP-38,cases,trend,ridge,train,0.01,4383,0.3288194564811083,0.3841394690270492,1.827000646610747,-2.3379313627160876,-0.7685721120648347
JP-39,cases,trend,ridge,train,0.01,4383,0.2377722007124149,0.27944894308630763,19.67848740943511,-386.2428667232961,0.779823954632397
JP-40,cases,trend,ridge,train,0.01,4383,0.5874438626262879,0.6858060117221431,4.497856188956651,-19.230710296535644,-0.9016116552257368
JP-41,cases,trend,ridge,train,0.01,4383,0.32041797656018667,0.37309301274831075,4.95230268607529,-23.525301894508537,-0.4701672563102817
JP-42,cases,trend,ridge,train,0.01,4383,0.4386205689401107,0.5263977451039289,2.368473580600482,-4.609667102002468,-0.8734629913746998
JP-43,cases,trend,ridge,train,0.01,4383,0.37609010530230574,0.42747366269800957,1.2737081197883982,-0.6223323744148963,0.23732987827082277
JP-44,cases,trend,ridge,train,0.01,4383,0.16905876224669633,0.20694413836521416,1.970954094566711,-2.8846600428892835,-0.22225999565940982
JP-45,cases,trend,ridge,train,0.01,4383,0.12852449281594489,0.1682570441999891,1.344169888672335,-0.8067926896133966,0.8952683896879545
JP-46,cases,trend,ridge,train,0.01,4383,0.1061953907312251,0.13236632094939818,0.4810028786948108,0.7686362306873051,0.8793284841336854
JP-47,cases,trend,ridge,train,0.01,4383,0.19560484460288508,0.23362742187455926,1.1433555357828857,-0.3072618812053691,0.6941413122573876
JP-01,cases,trend,ridge,validation,0.01,365,1.3976495603539965,1.3999614170608765,20.52089925305678,-420.10730615410625,0.8148318440829494
JP-02,cases,trend,ridge,validation,0.01,365,0.5377962200293496,0.5870779194392938,34.231020249693245,-1170.762747334909,0.7501848032340293
JP-03,cases,trend,ridge,validation,0.01,365,0.6904753485246867,0.7010089637183149,31.42300040289373,-986.4049543202595,0.43931689903852933
JP-04,cases,trend,ridge,validation,0.01,365,0.22031445791945267,0.2244137603870406,6.677830897425662,-43.59342549461283,0.4520194257410152
JP-05,cases,trend,ridge,validation,0.01,365,0.19552485689326168,0.2252043704828725,25.161135587481514,-632.0827440516285,-0.7650793638538824
JP-06,cases,trend,ridge,validation,0.01,365,0.31169496156002147,0.3161429656835658,88.8510544117173,-7893.509870073949,0.22957594401676956
JP-07,cases,trend,ridge,validation,0.01,365,0.39538493508578637,0.39811914005170596,35.69864555070049,-1273.393294154548,0.33729982628019833
JP-08,cases,trend,ridge,validation,0.01,365,0.2465198497753225,0.2500335494075739,6.261666552905386,-38.208468019774024,0.4002946415374009
JP-09,cases,trend,ridge,validation,0.01,365,0.08717331589134597,0.10718277890034483,23.07303356873876,-531.3648780641457,0.7263586178456893
JP-10,cases,trend,ridge,validation,0.01,365,0.2239305661564691,0.22605604671412866,7.907705861814963,-61.53181199698273,0.6147590842517768
JP-11,cases,trend,ridge,validation,0.01,365,1.878874017298147,1.9526796842919756,3.802331509800111,-13.457724910418793,-0.16093409499377906
JP-13,cases,trend,ridge,validation,0.01,365,2.194227063730463,2.1943245042272843,20.787489341590685,-431.11971312674643,0.9807074803944795
JP-14,cases,trend,ridge,validation,0.01,365,1.4103117953545736,1.4117834053631935,15.38893552447275,-235.81933657637938,0.9314309238205792
JP-15,cases,trend,ridge,validation,0.01,365,0.013901858222657347,0.0203122520861601,1.2858918464113585,-0.6535178406672131,0.7548957901477351
JP-16,cases,trend,ridge,validation,0.01,365,0.5246094783835616,0.533182653597192,82.14054360494926,-6746.068903716569,0.6364944689719058
JP-17,cases,trend,ridge,validation,0.01,365,1.0291582028506587,1.0404496403753363,644.1841209110519,-414972.18163394474,0.6189943066764154
JP-18,cases,trend,ridge,validation,0.01,365,1.0029322297251055,1.012707443029088,175.44291737838387,-30779.217258238423,0.9950741222909929
JP-19,cases,trend,ridge,validation,0.01,365,0.3526396170264967,0.3798658184220853,47.801920628667325,-2284.0236157894105,0.4360680668210926
JP-20,cases,trend,ridge,validation,0.01,365,0.0812849685207715,0.11502700016974682,10.210517418481276,-103.25466595310955,0.9644932805122455
JP-21,cases,trend,ridge,validation,0.01,365,0.26568945105655434,0.3009728021138842,19.232124801222213,-368.87462436978655,-0.5676378978174444
