target_variable,frequency_band,selected_alpha,train_rows,validation_rows,test_rows,n_prefectures_train,n_prefectures_validation,n_prefectures_test,model_file
cases,trend,0.01,201618,16790,33580,46,46,46,outputs/models/ridge/serialized_models/ridge_cases_trend.joblib
cases,interannual,1000.0,179703,14965,29930,41,41,41,outputs/models/ridge/serialized_models/ridge_cases_interannual.joblib
cases,annual,0.01,200712,16790,33580,46,46,46,outputs/models/ridge/serialized_models/ridge_cases_annual.joblib
cases,semiannual,0.01,200269,16790,33580,46,46,46,outputs/models/ridge/serialized_models/ridge_cases_semiannual.joblib
cases,seasonal_subannual,1000.0,200324,16790,33580,46,46,46,outputs/models/ridge/serialized_models/ridge_cases_seasonal_subannual.joblib
cases,subseasonal,1000.0,200750,16790,33580,46,46,46,outputs/models/ridge/serialized_models/ridge_cases_subseasonal.joblib
cases,high_frequency,1000.0,201047,16790,33580,46,46,46,outputs/models/ridge/serialized_models/ridge_cases_high_frequency.joblib
incidence_per_100k,trend,0.1,201618,16790,33580,46,46,46,outputs/models/ridge/serialized_models/ridge_incidence_per_100k_trend.joblib
incidence_per_100k,interannual,1000.0,179703,14965,29930,41,41,41,outputs/models/ridge/serialized_models/ridge_incidence_per_100k_interannual.joblib
incidence_per_100k,annual,0.01,200714,16790,33580,46,46,46,outputs/models/ridge/serialized_models/ridge_incidence_per_100k_annual.joblib
incidence_per_100k,semiannual,0.01,200255,16790,33580,46,46,46,outputs/models/ridge/serialized_models/ridge_incidence_per_100k_semiannual.joblib
incidence_per_100k,seasonal_subannual,1000.0,200308,16790,33580,46,46,46,outputs/models/ridge/serialized_models/ridge_incidence_per_100k_seasonal_subannual.joblib
incidence_per_100k,subseasonal,1000.0,200749,16790,33580,46,46,46,outputs/models/ridge/serialized_models/ridge_incidence_per_100k_subseasonal.joblib
incidence_per_100k,high_frequency,1000.0,201053,16790,33580,46,46,46,outputs/models/ridge/serialized_models/ridge_incidence_per_100k_high_frequency.joblib
