variable,assigned_band,mean_band_variance_fraction,median_band_variance_fraction,min_band_variance_fraction,max_band_variance_fraction,mean_n_components
ah,annual,0.9248908867271036,0.9257071688315704,0.9058170961844474,0.9371995536619002,2.0
ah,noise,0.05879519605844114,0.05707393629168747,0.0503046583831966,0.07282341531495116,361.0217391304348
ah,seasonal_subannual,0.01599818723939266,0.01599818723939266,0.01599818723939266,0.01599818723939266,8.0
ah,semiannual,0.02052039929136098,0.020530128008534525,0.006735816297419436,0.027061995515086038,1.032258064516129
ah,subseasonal,0.008931201399686596,0.008931201399686596,0.008931201399686596,0.008931201399686596,5.0
ah,trend,0.001943009243340721,0.0017189257942403198,0.001250159449164569,0.008457240250061617,1.0
c2w_event,annual,0.008260782311555994,0.004712862337242228,0.0007585496805894021,0.04237114269528185,1.7741935483870968
c2w_event,high_frequency,0.6620205346895986,0.6654262627263956,0.6096980899502278,0.7130574941755597,247.19565217391303
c2w_event,interannual,0.005207898510850976,0.0030229792617283966,0.0008320110453956931,0.019345099633418322,1.16
c2w_event,noise,0.05128897876764895,0.0510189248045685,0.050022863586467514,0.05375104166701726,20.08695652173913
c2w_event,seasonal_subannual,0.046543693144398206,0.04722663714122503,0.023753117874517313,0.07293127254118065,17.956521739130434
c2w_event,semiannual,0.005767004595717145,0.004524075376516478,0.0007882381917817309,0.022457520133705097,2.0555555555555554
c2w_event,subseasonal,0.21242266293863885,0.21438469062631516,0.18059219334467955,0.2553983546679427,75.34782608695652
c2w_event,trend,0.015142580472701688,0.01364542900576157,0.007075671870139532,0.03131625214984119,1.0
c2w_transition_intensity,annual,0.008556548413442467,0.004606965414931885,0.001878300978794789,0.039714085501135615,1.8928571428571428
c2w_transition_intensity,high_frequency,0.6659896539418949,0.6658885697280961,0.6241734415795028,0.7255311311077715,247.30434782608697
c2w_transition_intensity,interannual,0.004680962151677922,0.0035396188037332445,0.0009412879801111023,0.01764545447332293,1.1071428571428572
c2w_transition_intensity,noise,0.05125294124162909,0.05108786222754663,0.05007867387256064,0.053585792251779146,20.369565217391305
c2w_transition_intensity,seasonal_subannual,0.04599601950217718,0.046506195220586306,0.02641763569569812,0.0634744384966158,17.804347826086957
c2w_transition_intensity,semiannual,0.005924893015424731,0.004824022693943816,0.000890341637658818,0.024332488611027124,2.090909090909091
c2w_transition_intensity,subseasonal,0.2092710797184642,0.21033863631428104,0.16432306320597598,0.23910721560535836,75.21739130434783
c2w_transition_intensity,trend,0.01551960649057795,0.01436678514634116,0.005966754417612455,0.03226498799157959,1.0
cases,annual,0.3461157305327848,0.33766242825893145,0.08634739216931667,0.6164990610820509,2.0
cases,high_frequency,0.27933878670568985,0.28637658473301303,0.05113321680922254,0.5060500716872776,204.7608695652174
cases,noise,0.050491045767392356,0.050377332155092325,0.050008659956250465,0.051372874220153165,71.80434782608695
cases,seasonal_subannual,0.044440955592683115,0.044290577412855775,0.020726731349956277,0.07426098731520778,18.456521739130434
cases,semiannual,0.034304521443353435,0.034131537369691815,0.005154926578425406,0.07920493032448349,2.022222222222222
cases,subseasonal,0.09716112094820624,0.0978837165508332,0.01380203944634271,0.16887316642026484,65.0
cases,trend,0.1488935894760501,0.11946699820842191,0.013215634949314551,0.5042666646630841,1.0
incidence_per_100k,annual,0.3369741818311624,0.3275536714139293,0.09328882332497611,0.6253571702791761,2.0
incidence_per_100k,high_frequency,0.2689164770551324,0.2575517392030231,0.04991072652863916,0.49450621282016555,200.32608695652175
incidence_per_100k,noise,0.05049414559284912,0.050339772033913294,0.05000656071819096,0.05178250401229936,75.3913043478261
incidence_per_100k,seasonal_subannual,0.04416453223926253,0.04363677285502091,0.020128064272002078,0.06640794017007351,18.76086956521739
incidence_per_100k,semiannual,0.0331528497541572,0.03290524892964886,0.0017080417387244072,0.07956200253575563,2.0652173913043477
incidence_per_100k,subseasonal,0.09318975882596567,0.09700468951509376,0.016475960894310557,0.16646453749772017,65.45652173913044
incidence_per_100k,trend,0.17310805470147067,0.16037098308777742,0.020801945020319138,0.48096829186178375,1.0
nw_wind,annual,0.5272296915111123,0.5482021610923778,0.103928832221623,0.682462681430823,2.0
nw_wind,high_frequency,0.19777034550953784,0.18745126394706513,0.10449717694659083,0.4622784682195595,162.52173913043478
nw_wind,noise,0.05041176684251167,0.050292000740738335,0.050016139126013784,0.05148837900476921,100.32608695652173
nw_wind,seasonal_subannual,0.04991357247750344,0.049482841762809496,0.02487434772893057,0.0941244702558183,19.02173913043478
nw_wind,semiannual,0.02068861937133871,0.013806761477758191,0.002134199363500661,0.06396904320530525,2.2444444444444445
nw_wind,subseasonal,0.14361398382941645,0.1353165734925515,0.07512883362826701,0.31299513405525536,77.93478260869566
nw_wind,trend,0.01082177305360865,0.009958094764042268,0.005041021846175141,0.028096155598348604,1.0
rh,annual,0.45502946327000127,0.4665353890409587,0.2647532440245916,0.6934664414376406,2.0
rh,high_frequency,0.1475712593136496,0.13879192166236864,0.02696391468415461,0.2588240400665507,138.67391304347825
rh,noise,0.050482352165385456,0.05039475233181645,0.0500023969734136,0.05126177999360515,122.84782608695652
rh,seasonal_subannual,0.09764636884357156,0.09850507525006608,0.04866829714407894,0.1696744735988846,18.543478260869566
rh,semiannual,0.08063930943801177,0.06633230014985783,0.0035202313252345784,0.20288071652879325,2.0
rh,subseasonal,0.1456818732583897,0.1435563829317004,0.10276741646315889,0.20053733433048898,79.93478260869566
rh,trend,0.022949373710990643,0.019526018668855318,0.008850011964019435,0.055576113223469135,1.0
t2m,annual,0.48656878012647803,0.4685895059457025,0.4576873031166931,0.9267539515521009,1.0217391304347827
t2m,noise,0.510564295099938,0.5294728463222076,0.05188936832541304,0.540332157504057,362.9347826086956
t2m,seasonal_subannual,0.0030928904114313014,0.0030928904114313014,0.0030928904114313014,0.0030928904114313014,1.0
t2m,semiannual,0.007550502717681014,0.007550502717681014,0.007550502717681014,0.007550502717681014,2.0
t2m,trend,0.0026941143656834476,0.0025078464329590824,0.0015600200437170838,0.010713286993373901,1.0
t2m_std_anom,annual,0.13558346410231076,0.16481525518498702,0.07116258002832869,0.19619983630263174,1.5555555555555556
t2m_std_anom,interannual,0.0734161144556089,0.07812429720156966,0.025462653890364482,0.1190202649676669,1.1153846153846154
t2m_std_anom,noise,0.051281442824067235,0.05112140416855608,0.05008218417713398,0.05314411398061001,289.0217391304348
t2m_std_anom,seasonal_subannual,0.26241910276842295,0.2623558683353352,0.18997091457685364,0.3585356616263691,19.043478260869566
t2m_std_anom,semiannual,0.12698731603294816,0.12817529648547357,0.01916614917811263,0.23428078724326298,2.533333333333333
t2m_std_anom,subseasonal,0.29624828475779785,0.297949286657496,0.19416590601369269,0.36775668150934987,52.21739130434783
t2m_std_anom,trend,0.17127398375470992,0.1549951315632652,0.08791210102495493,0.28197775473908093,1.0
tp,annual,0.13627408709868713,0.14530734305000076,0.0147045997218383,0.25964724341722545,2.0217391304347827
tp,high_frequency,0.344652419086764,0.35313302459058815,0.20462969728752797,0.43929814354179797,176.93478260869566
tp,noise,0.0505532290909182,0.05047052497425969,0.05001499171674097,0.05156325880248155,85.45652173913044
tp,seasonal_subannual,0.14907775713145863,0.14485385627385194,0.06653139003174556,0.23668531578864996,18.97826086956522
tp,semiannual,0.015286952275871622,0.011504813194010928,0.0011489658416871254,0.08942817297210001,2.2
tp,subseasonal,0.2851155741150372,0.2842599827311504,0.2262735552865895,0.36303860447574243,78.45652173913044
tp,trend,0.019372306250738682,0.018772789134075422,0.007615389001049718,0.03951964064378086,1.0
w2c_event,annual,0.005823296245900446,0.005387430659245384,0.0008362316882278497,0.02436701517468142,2.261904761904762
w2c_event,high_frequency,0.663776281336935,0.6654892489272553,0.6050458110152727,0.7135813298324514,246.30434782608697
w2c_event,interannual,0.001744017709174501,0.0019883703559470164,0.0005537973529676216,0.002417596029928707,1.1666666666666667
