variable,component,band,mean_band_power_fraction,median_band_power_fraction,min_band_power_fraction,max_band_power_fraction
ah,annual,annual_300_430_days,0.9507514016445665,0.9509923543482559,0.9469710875054356,0.9533804929982552
ah,annual,high_frequency_2_7_days,2.447879991021522e-11,2.4210481350973832e-11,1.623666064543408e-11,5.3182926989056e-11
ah,annual,interannual_1_3_years,0.4213504971951506,0.42085221971498915,0.4139631580728947,0.4346789383616227
ah,annual,low_frequency_gt_3_years,0.0007175698294776261,0.0007124977332299,0.0005333364937552,0.0008112924245001
ah,annual,seasonal_30_150_days,3.5284442444404185e-06,3.422536382395366e-06,2.674920418226035e-06,8.10812922820739e-06
ah,annual,semiannual_150_300_days,0.0365143972498456,0.036638963519272205,0.0311893395850808,0.0411159126204035
ah,annual,subseasonal_7_30_days,4.875290858765958e-09,4.670819079336485e-09,3.074730061407578e-09,1.3589393072816266e-08
ah,high_frequency,annual_300_430_days,5.852563983519949e-10,5.618585571454424e-10,2.3448514551306825e-10,1.114356464091631e-09
ah,high_frequency,high_frequency_2_7_days,0.9793937949133441,0.9813090173683418,0.9624243009699652,0.991841302404909
ah,high_frequency,interannual_1_3_years,9.548491897584e-09,8.991704965219825e-09,3.6581195752131533e-09,1.9069542648777412e-08
ah,high_frequency,low_frequency_gt_3_years,1.553193425588562e-07,1.4511042538618097e-07,6.20357291830485e-08,2.936736442758649e-07
ah,high_frequency,seasonal_30_150_days,8.137289615828374e-05,7.536250163048386e-07,2.228195628271127e-07,0.0011837473728484
ah,high_frequency,semiannual_150_300_days,1.217517924741368e-08,1.1994038794107285e-08,5.03182328749163e-09,2.3377529028038493e-08
ah,high_frequency,subseasonal_7_30_days,0.020524654882739107,0.018512296033859302,0.0081488172030989,0.0363916363608416
ah,noise,annual_300_430_days,4.2450652837154386e-12,3.325742395881595e-12,6.278349299951601e-13,1.8949905094027423e-11
ah,noise,high_frequency_2_7_days,0.9999999283422198,0.9999999317082395,0.9999998303950818,0.9999999810798346
ah,noise,interannual_1_3_years,6.639778525025606e-11,5.3981420277850055e-11,7.92442580360572e-12,2.953704398968962e-10
ah,noise,low_frequency_gt_3_years,3.96548608531126e-08,3.2379193978912166e-08,4.8258519696406605e-09,1.266528167876952e-07
