variable,component,mean_period_days,median_period_days,min_period_days,max_period_days,n_series
ah,annual,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
ah,high_frequency,5.495401817601844,5.475935828877005,4.654545454545454,6.87248322147651,46
ah,noise,2.319827554840752,2.2831661092530657,2.015748031496063,2.951008645533141,46
ah,original,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
ah,reconstructed_signal,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
ah,reconstruction_residual,2.319827554840752,2.2831661092530657,2.015748031496063,2.951008645533141,46
ah,seasonal_subannual,120.47058823529413,120.47058823529412,120.47058823529412,120.47058823529412,46
ah,semiannual,186.1818181818182,186.1818181818182,186.1818181818182,186.1818181818182,46
ah,subseasonal,16.493610306219654,17.35593220338983,7.816793893129771,29.257142857142856,46
ah,trend,1024.0,1024.0,1024.0,1024.0,12
c2w_event,annual,350.3407407407407,341.3333333333333,146.28571428571428,512.0,36
c2w_event,high_frequency,2.9727822596102933,2.6753858440787184,2.0019550342130987,6.671009771986971,46
c2w_event,interannual,593.6761904761905,512.0,409.6,1024.0,28
c2w_event,original,20.849578466000473,3.322033541542785,2.05005005005005,341.3333333333333,46
c2w_event,reconstructed_signal,20.849578466000473,3.322033541542785,2.05005005005005,341.3333333333333,46
c2w_event,reconstruction_residual,47.60765731718137,5.1721124571661505,2.0019550342130987,1024.0,46
c2w_event,seasonal_subannual,69.12556056608697,61.14795008912656,32.0,136.53333333333333,46
c2w_event,semiannual,199.2508438421482,186.1818181818182,22.755555555555556,341.3333333333333,46
c2w_event,subseasonal,13.025533979783576,14.422535211267606,7.062068965517241,23.01123595505618,46
c2w_event,trend,1024.0,1024.0,1024.0,1024.0,21
c2w_transition_intensity,annual,347.8349206349206,341.3333333333333,292.57142857142856,409.6,33
c2w_transition_intensity,high_frequency,2.941716941101262,2.6009379374407335,2.0019550342130987,6.671009771986971,46
c2w_transition_intensity,interannual,594.5806451612904,512.0,512.0,1024.0,31
c2w_transition_intensity,original,21.203146048266,3.4307264074705937,2.05005005005005,341.3333333333333,46
