variable,component,band,mean_band_power_fraction,median_band_power_fraction,min_band_power_fraction,max_band_power_fraction
ah,annual,annual_300_430_days,0.9507514016445665,0.9509923543482559,0.9469710875054356,0.9533804929982552
ah,high_frequency,high_frequency_2_7_days,0.9793937949133441,0.9813090173683418,0.9624243009699652,0.991841302404909
ah,noise,high_frequency_2_7_days,0.9999999283422198,0.9999999317082395,0.9999998303950818,0.9999999810798346
ah,original,annual_300_430_days,0.8188408351217057,0.8159605272827227,0.7446179201756344,0.8410877705003384
ah,reconstructed_signal,annual_300_430_days,0.8218204323769361,0.8192788737872914,0.7463134230549309,0.8450589501007527
ah,reconstruction_residual,high_frequency_2_7_days,0.9999999283422198,0.9999999317082395,0.9999998303950818,0.9999999810798345
ah,seasonal_subannual,seasonal_30_150_days,0.9738080406852617,0.9766293231493296,0.886872433119809,0.9916084957491054
ah,semiannual,semiannual_150_300_days,0.9886944004521969,0.9957956790081034,0.6747408268459164,0.9969352019222948
ah,subseasonal,subseasonal_7_30_days,0.9655109644597786,0.9672765939076956,0.937270445855608,0.9838896002595808
ah,trend,interannual_1_3_years,0.5812286023911472,0.5726808977649522,0.4598417041643182,0.707618150430243
c2w_event,annual,annual_300_430_days,0.4265407026981507,0.4058372695803145,0.1657600725729228,0.7505314194540958
c2w_event,high_frequency,high_frequency_2_7_days,0.9770309653347572,0.9778603168238854,0.9681288389656444,0.9872155518793164
c2w_event,interannual,interannual_1_3_years,0.6420615096972017,0.625037633468246,0.3843887072688945,0.9140396167849588
c2w_event,original,high_frequency_2_7_days,0.7205800048687216,0.7211307915041981,0.7137312724109351,0.7236049211349063
c2w_event,reconstructed_signal,high_frequency_2_7_days,0.7205800048687216,0.7211307915041982,0.7137312724109351,0.7236049211349063
c2w_event,reconstruction_residual,high_frequency_2_7_days,0.7046437387842986,0.6999910063277426,0.6418907879034311,0.7810107929401249
c2w_event,seasonal_subannual,seasonal_30_150_days,0.9026795662704548,0.9077953046378127,0.7714164303456342,0.9759591019871418
c2w_event,semiannual,semiannual_150_300_days,0.7687823976154174,0.8319534378836452,0.2586512292619202,0.9613510373254056
c2w_event,subseasonal,subseasonal_7_30_days,0.9351084117268592,0.9364851716101747,0.905965266279302,0.9642792734198709
c2w_event,trend,interannual_1_3_years,0.6009864415479532,0.6284745385846485,0.275354607542189,0.8246817590709122
c2w_transition_intensity,annual,annual_300_430_days,0.44072567055041656,0.4253201290255747,0.2490480922303809,0.7596947339787059
c2w_transition_intensity,high_frequency,high_frequency_2_7_days,0.9768532145404043,0.9785716509984386,0.9608000779904312,0.9882264552546568
c2w_transition_intensity,interannual,interannual_1_3_years,0.64068569170437,0.6635552805858883,0.2255900316765121,0.9042529482251396
c2w_transition_intensity,original,high_frequency_2_7_days,0.7205866066287653,0.7211338502679603,0.7140721996184222,0.7234838216303713
c2w_transition_intensity,reconstructed_signal,high_frequency_2_7_days,0.7205866066287653,0.7211338502679603,0.714072199618422,0.7234838216303711
c2w_transition_intensity,reconstruction_residual,high_frequency_2_7_days,0.7035183448277575,0.7039628750071822,0.5986312643637671,0.7683695771927219
c2w_transition_intensity,seasonal_subannual,seasonal_30_150_days,0.8996487687167201,0.907207101079745,0.7656867327517621,0.9570237620947916
c2w_transition_intensity,semiannual,semiannual_150_300_days,0.7771087599880231,0.8140278268436951,0.4021976794466673,0.9732275471112516
c2w_transition_intensity,subseasonal,subseasonal_7_30_days,0.9355686730133811,0.9360393010982946,0.8938524127337953,0.9625942096428322
