component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
1,14491.898747147463,14491.898747147463,0.7744106870501634,0.7744106870501634,2739.0,trend,JP-13,ah
2,5193.277380366054,5193.277380366054,0.0994497726607599,0.8738604597109233,365.2,annual,JP-13,ah
3,5185.443638503185,5185.443638503185,0.09914997112689083,0.9730104308378141,365.2,annual,JP-13,ah
4,979.5683885729587,979.5683885729587,0.00353826436870836,0.9765486952065225,182.6,semiannual,JP-13,ah
5,977.507667522825,977.507667522825,0.0035233931121314483,0.980072088318654,182.6,semiannual,JP-13,ah
6,425.2128245687082,425.2128245687082,0.0006667046201411168,0.9807387929387951,121.73333333333333,seasonal_subannual,JP-13,ah
7,419.6142791421629,419.6142791421629,0.0006492639246095127,0.9813880568634046,121.73333333333333,seasonal_subannual,JP-13,ah
8,291.3427184242353,291.3427184242353,0.00031298901259496935,0.9817010458759996,99.6,seasonal_subannual,JP-13,ah
9,274.95755913404145,274.95755913404145,0.00027877388231878727,0.9819798197583184,91.3,seasonal_subannual,JP-13,ah
10,260.89373110787056,260.89373110787056,0.00025098515971012486,0.9822308049180285,62.96551724137931,seasonal_subannual,JP-13,ah
11,256.6766368569761,256.6766368569761,0.00024293687248044872,0.982473741790509,62.96551724137931,seasonal_subannual,JP-13,ah
12,247.27149605802072,247.27149605802072,0.00022545967080670493,0.9826992014613156,71.14285714285714,seasonal_subannual,JP-13,ah
13,244.59645468183308,244.59645468183308,0.00022060790549489694,0.9829198093668106,71.14285714285714,seasonal_subannual,JP-13,ah
14,241.47451650214308,241.47451650214308,0.0002150123302544494,0.983134821697065,29.294117647058822,subseasonal,JP-13,ah
15,241.21867454747826,241.21867454747826,0.00021455696101243553,0.9833493786580775,29.294117647058822,subseasonal,JP-13,ah
16,239.1245732212171,239.1245732212171,0.00021084784738771437,0.9835602265054652,47.224137931034484,seasonal_subannual,JP-13,ah
17,236.50664687528942,236.50664687528942,0.00020625641140893672,0.9837664829168741,44.17741935483871,seasonal_subannual,JP-13,ah
18,230.12656948816806,230.12656948816806,0.00019527843350918657,0.9839617613503833,20.364312267657994,subseasonal,JP-13,ah
19,228.98782303044106,228.98782303044106,0.0001933506036518638,0.9841551119540352,20.364312267657994,subseasonal,JP-13,ah
20,222.76733343860315,222.76733343860315,0.0001829884878400378,0.9843381004418752,37.779310344827586,seasonal_subannual,JP-13,ah
21,218.44853989831554,218.44853989831554,0.00017596206426051343,0.9845140625061357,23.31063829787234,subseasonal,JP-13,ah
22,217.8866100727992,217.8866100727992,0.00017505795058292292,0.9846891204567186,23.31063829787234,subseasonal,JP-13,ah
23,217.15395445321477,217.15395445321477,0.00017388264609494617,0.9848630031028136,14.647058823529411,subseasonal,JP-13,ah
24,217.07458123194138,217.07458123194138,0.0001737555555851549,0.9850367586583988,14.647058823529411,subseasonal,JP-13,ah
25,214.7542357701818,214.7542357701818,0.0001700608058618917,0.9852068194642607,40.27941176470588,seasonal_subannual,JP-13,ah
