component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
1,10.679545462655366,10.679545462655366,0.010644208239750146,0.010644208239750146,2739.0,trend,JP-13,c2w_event
2,7.457280834658302,7.457280834658302,0.00519001749388353,0.015834225733633675,3.904490377761939,high_frequency,JP-13,c2w_event
3,7.455054015363907,7.455054015363907,0.005186918373494495,0.02102114410712817,3.904490377761939,high_frequency,JP-13,c2w_event
4,7.2986879047026125,7.2986879047026125,0.0049716141045499035,0.025992758211678072,2.6813509544787077,high_frequency,JP-13,c2w_event
5,7.297029404897909,7.297029404897909,0.004969354935692462,0.030962113147370535,2.6813509544787077,high_frequency,JP-13,c2w_event
6,7.155746542069572,7.155746542069572,0.004778787547768608,0.03574090069513915,2.0586245772266065,high_frequency,JP-13,c2w_event
7,7.088856858721575,7.088856858721575,0.0046898638883288764,0.040430764583468025,2.0586245772266065,high_frequency,JP-13,c2w_event
8,7.070094332165906,7.070094332165906,0.004665070822746101,0.045095835406214126,14.725806451612904,subseasonal,JP-13,c2w_event
9,7.0579624809528525,7.0579624809528525,0.004649074604063289,0.049744910010277414,14.725806451612904,subseasonal,JP-13,c2w_event
10,6.8881632604968965,6.8881632604968965,0.004428072151494096,0.05417298216177151,3.935344827586207,high_frequency,JP-13,c2w_event
11,6.885979894516723,6.885979894516723,0.00442526543235544,0.05859824759412695,3.935344827586207,high_frequency,JP-13,c2w_event
12,6.844635864330064,6.844635864330064,0.004372285591719399,0.06297053318584635,24.13215859030837,subseasonal,JP-13,c2w_event
13,6.833189753436596,6.833189753436596,0.004357674494304329,0.06732820768015067,5.313288069835112,high_frequency,JP-13,c2w_event
14,6.832297297513399,6.832297297513399,0.004356536291330742,0.07168474397148142,8.401840490797545,subseasonal,JP-13,c2w_event
15,6.828004811013598,6.828004811013598,0.004351063901000918,0.07603580787248233,8.401840490797545,subseasonal,JP-13,c2w_event
16,6.800001391917271,6.800001391917271,0.004315447403646927,0.08035125527612925,24.13215859030837,subseasonal,JP-13,c2w_event
17,6.787744836470693,6.787744836470693,0.00429990480308302,0.08465116007921228,24.13215859030837,subseasonal,JP-13,c2w_event
18,6.770219136504591,6.770219136504591,0.004277729085981611,0.08892888916519388,2.234094616639478,high_frequency,JP-13,c2w_event
19,6.753910907153969,6.753910907153969,0.004257145360874788,0.09318603452606868,2.234094616639478,high_frequency,JP-13,c2w_event
20,6.745870940453505,6.745870940453505,0.0042470158418343494,0.09743305036790302,6.039691289966924,high_frequency,JP-13,c2w_event
21,6.745353522249947,6.745353522249947,0.004246364362121303,0.10167941473002433,6.039691289966924,high_frequency,JP-13,c2w_event
22,6.644544264907994,6.644544264907994,0.004120389032974495,0.10579980376299883,17.728155339805827,subseasonal,JP-13,c2w_event
23,6.640229057592398,6.640229057592398,0.004115038911553377,0.1099148426745522,17.728155339805827,subseasonal,JP-13,c2w_event
24,6.614024031018026,6.614024031018026,0.004082623787483336,0.11399746646203554,3.3940520446096656,high_frequency,JP-13,c2w_event
25,6.612394346965148,6.612394346965148,0.004080612132503654,0.1180780785945392,3.3940520446096656,high_frequency,JP-13,c2w_event
26,6.523486665560573,6.523486665560573,0.003971617197923155,0.12204969579246236,2.323155216284987,high_frequency,JP-13,c2w_event
27,6.503535406007368,6.503535406007368,0.0039473609684733,0.12599705676093567,2.323155216284987,high_frequency,JP-13,c2w_event
28,6.4881587480419265,6.4881587480419265,0.003928717119906017,0.1299257738808417,2.0972434915773355,high_frequency,JP-13,c2w_event
29,6.481832804096452,6.481832804096452,0.0039210598693663916,0.1338468337502081,2.323155216284987,high_frequency,JP-13,c2w_event
30,6.469119673436037,6.469119673436037,0.0039056938263403802,0.13775252757654846,2.0972434915773355,high_frequency,JP-13,c2w_event
31,6.467937676190985,6.467937676190985,0.003904266708641236,0.1416567942851897,2.737631184407796,high_frequency,JP-13,c2w_event
32,6.415506124412332,6.415506124412332,0.003841224342731884,0.14549801862792158,2.391095591444784,high_frequency,JP-13,c2w_event
33,6.411166027207346,6.411166027207346,0.0038360289153912853,0.14933404754331286,2.391095591444784,high_frequency,JP-13,c2w_event
34,6.402756512416604,6.402756512416604,0.003825972091207955,0.1531600196345208,608.6666666666666,interannual,JP-13,c2w_event
35,6.396365816182764,6.396365816182764,0.0038183383718554736,0.15697835800637627,2.79347271800102,high_frequency,JP-13,c2w_event
36,6.395599162086465,6.395599162086465,0.0038174231117201205,0.1607957811180964,2.79347271800102,high_frequency,JP-13,c2w_event
37,6.390652839515855,6.390652839515855,0.0038115206453767673,0.16460730176347316,547.8,interannual,JP-13,c2w_event
38,6.390581684920679,6.390581684920679,0.0038114357696354298,0.1684187375331086,2.79347271800102,high_frequency,JP-13,c2w_event
39,6.342569651544172,6.342569651544172,0.0037543807545206867,0.1721731182876293,2.0447928331466967,high_frequency,JP-13,c2w_event
40,6.3353158364373705,6.3353158364373705,0.003745798109884661,0.17591891639751395,6.688644688644688,high_frequency,JP-13,c2w_event
41,6.330740301507669,6.330740301507669,0.0037403894321169774,0.1796593058296309,6.688644688644688,high_frequency,JP-13,c2w_event
42,6.320604804943515,6.320604804943515,0.0037284223145380353,0.18338772814416895,3.205383265067291,high_frequency,JP-13,c2w_event
43,6.317073013647506,6.317073013647506,0.0037242567857912814,0.18711198492996023,4.316784869976359,high_frequency,JP-13,c2w_event
44,6.312689651818468,6.312689651818468,0.0037190901204083968,0.19083107505036861,4.316784869976359,high_frequency,JP-13,c2w_event
45,6.307503718155232,6.307503718155232,0.0037129820956175526,0.19454405714598616,4.309992132179386,high_frequency,JP-13,c2w_event
46,6.300754598267383,6.300754598267383,0.003705040458010972,0.19824909760399714,3.205383265067291,high_frequency,JP-13,c2w_event
47,6.299646809169932,6.299646809169932,0.0037037377433770326,0.20195283534737418,3.205383265067291,high_frequency,JP-13,c2w_event
48,6.289756874416954,6.289756874416954,0.0036921177358166424,0.20564495308319083,2.0447928331466967,high_frequency,JP-13,c2w_event
49,6.2492392693758925,6.2492392693758925,0.0036447028880923697,0.2092896559712832,8.008771929824562,subseasonal,JP-13,c2w_event
50,6.24623204527447,6.24623204527447,0.003641195964854288,0.2129308519361375,8.067746686303387,subseasonal,JP-13,c2w_event
51,6.238788998172502,6.238788998172502,0.0036325233937207894,0.21656337532985828,3.8550316678395493,high_frequency,JP-13,c2w_event
52,6.238172237738545,6.238172237738545,0.0036318052139703147,0.22019518054382858,3.8550316678395493,high_frequency,JP-13,c2w_event
53,6.230652348514723,6.230652348514723,0.003623054473919928,0.2238182350177485,4.742857142857143,high_frequency,JP-13,c2w_event
54,6.228156028314372,6.228156028314372,0.0036201518910899356,0.22743838690883844,4.742857142857143,high_frequency,JP-13,c2w_event
55,6.210079264497953,6.210079264497953,0.0035991679394631296,0.23103755484830157,8.835483870967742,subseasonal,JP-13,c2w_event
