component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
1,27643.65590900725,27643.65590900725,0.8963010666855922,0.8963010666855922,5478.0,trend,JP-13,cases
2,4366.478187175685,4366.478187175685,0.02236276737875862,0.9186638340643508,365.2,annual,JP-13,cases
3,4298.934305630071,4298.934305630071,0.021676271061453842,0.9403401051258047,365.2,annual,JP-13,cases
4,1645.3727908164233,1645.3727908164233,0.003175349829519866,0.9435154549553245,182.6,semiannual,JP-13,cases
5,1561.0052385657723,1561.0052385657723,0.0028580622077803396,0.9463735171631048,182.6,semiannual,JP-13,cases
6,901.3091142883757,901.3091142883757,0.0009528191603918794,0.9473263363234967,130.42857142857144,seasonal_subannual,JP-13,cases
7,805.5150535804659,805.5150535804659,0.0007610448969961787,0.9480873812204929,6.996168582375479,high_frequency,JP-13,cases
8,803.4631243560634,803.4631243560634,0.0007571725391205487,0.9488445537596134,6.996168582375479,high_frequency,JP-13,cases
9,744.5976808049347,744.5976808049347,0.0006502888606123779,0.9494948426202258,121.73333333333333,seasonal_subannual,JP-13,cases
10,739.9072145409361,739.9072145409361,0.00064212189725576,0.9501369645174815,99.6,seasonal_subannual,JP-13,cases
11,695.1316308221191,695.1316308221191,0.0005667572154688818,0.9507037217329504,91.3,seasonal_subannual,JP-13,cases
12,645.3714227151839,645.3714227151839,0.0004885200780529765,0.9511922418110034,73.03999999999999,seasonal_subannual,JP-13,cases
13,628.828645876219,628.828645876219,0.0004637966327268962,0.9516560384437303,73.03999999999999,seasonal_subannual,JP-13,cases
14,556.8754315925124,556.8754315925124,0.00036372995779425154,0.9520197684015245,57.0625,seasonal_subannual,JP-13,cases
15,530.668973620659,530.668973620659,0.0003303013506741374,0.9523500697521986,57.0625,seasonal_subannual,JP-13,cases
16,510.07128844020394,510.07128844020394,0.0003051579666669226,0.9526552277188656,40.577777777777776,seasonal_subannual,JP-13,cases
17,507.62137576966757,507.62137576966757,0.0003022336109145397,0.9529574613297801,40.577777777777776,seasonal_subannual,JP-13,cases
18,487.8031247544103,487.8031247544103,0.00027909503603311224,0.9532365563658132,40.577777777777776,seasonal_subannual,JP-13,cases
19,482.2950797713091,482.2950797713091,0.0002728277987836401,0.9535093841645969,3.5003194888178912,high_frequency,JP-13,cases
20,481.40906277830624,481.40906277830624,0.0002718263039034631,0.9537812104685003,3.5003194888178912,high_frequency,JP-13,cases
21,480.74326597074526,480.74326597074526,0.00027107494316102866,0.9540522854116613,45.65,seasonal_subannual,JP-13,cases
22,480.1166588589196,480.1166588589196,0.0002703687583759526,0.9543226541700373,45.65,seasonal_subannual,JP-13,cases
23,479.4259116779068,479.4259116779068,0.0002695913551747495,0.954592245525212,36.27814569536424,seasonal_subannual,JP-13,cases
24,478.25951566768316,478.25951566768316,0.00026828117247440156,0.9548605266976864,36.27814569536424,seasonal_subannual,JP-13,cases
25,465.58244716193093,465.58244716193093,0.000254247185293822,0.9551147738829803,19.92,subseasonal,JP-13,cases
26,463.94609061143115,463.94609061143115,0.0002524631492543849,0.9553672370322347,20.288888888888888,subseasonal,JP-13,cases
27,461.00755154514627,461.00755154514627,0.0002492751780355913,0.9556165122102703,52.171428571428564,seasonal_subannual,JP-13,cases
28,446.39821790137336,446.39821790137336,0.0002337264488300313,0.9558502386591003,5.058171745152355,high_frequency,JP-13,cases
29,446.0584870619969,446.0584870619969,0.00023337082972462025,0.956083609488825,5.058171745152355,high_frequency,JP-13,cases
30,438.16203731674767,438.16203731674767,0.0002251813667549975,0.95630879085558,2.7335329341317363,high_frequency,JP-13,cases
31,437.87130423586854,437.87130423586854,0.0002248826373028766,0.9565336734928829,2.7335329341317363,high_frequency,JP-13,cases
32,433.4210398729993,433.4210398729993,0.00022033471889333698,0.9567540082117763,18.259999999999998,subseasonal,JP-13,cases
33,429.65832222168126,429.65832222168126,0.0002165256807741276,0.9569705338925504,6.838951310861423,high_frequency,JP-13,cases
34,428.0316387137279,428.0316387137279,0.00021488925486605608,0.9571854231474164,3.0016438356164383,high_frequency,JP-13,cases
35,427.45417580577805,427.45417580577805,0.00021430982635328618,0.9573997329737697,3.0016438356164383,high_frequency,JP-13,cases
36,427.4247182705133,427.4247182705133,0.00021428028951824468,0.9576140132632879,6.838951310861423,high_frequency,JP-13,cases
37,426.675260969271,426.675260969271,0.00021352949937482094,0.9578275427626627,18.259999999999998,subseasonal,JP-13,cases
38,420.924226328026,420.924226328026,0.00020781208558011513,0.9580353548482428,21.48235294117647,subseasonal,JP-13,cases
39,420.7095000966686,420.7095000966686,0.0002076001171474233,0.9582429549653901,21.48235294117647,subseasonal,JP-13,cases
40,416.8261373651446,416.8261373651446,0.00020378529574805943,0.9584467402611382,6.239179954441914,high_frequency,JP-13,cases
41,416.69425015137637,416.69425015137637,0.00020365635746682467,0.958650396618605,6.3920653442240365,high_frequency,JP-13,cases
42,416.6779938201037,416.6779938201037,0.00020364046744371096,0.9588540370860487,27.807106598984767,subseasonal,JP-13,cases
43,414.31594453552435,414.31594453552435,0.0002013382318336445,0.9590553753178823,2.3123680878007598,high_frequency,JP-13,cases
44,414.1171229730713,414.1171229730713,0.00020114504217975476,0.959256520360062,2.3123680878007598,high_frequency,JP-13,cases
45,413.1539300386214,413.1539300386214,0.00020021044584687828,0.9594567308059089,27.807106598984767,subseasonal,JP-13,cases
46,406.1025865429087,406.1025865429087,0.00019343473706240127,0.9596501655429712,14.765498652291106,subseasonal,JP-13,cases
47,405.12885737114703,405.12885737114703,0.00019250823601782885,0.959842673778989,6.127516778523489,high_frequency,JP-13,cases
48,404.9595956383843,404.9595956383843,0.00019234741078805054,0.960035021189777,6.127516778523489,high_frequency,JP-13,cases
49,404.46518664428373,404.46518664428373,0.00019187802945280956,0.9602268992192299,3.3607361963190185,high_frequency,JP-13,cases
50,404.23426719087126,404.23426719087126,0.00019165899591044958,0.9604185582151403,3.3607361963190185,high_frequency,JP-13,cases
51,400.96679065237953,400.96679065237953,0.00018857311067222641,0.9606071313258125,2.953099730458221,high_frequency,JP-13,cases
52,400.66004874762564,400.66004874762564,0.00018828470199958036,0.9607954160278122,2.953099730458221,high_frequency,JP-13,cases
53,399.1495842309545,399.1495842309545,0.00018686773376561683,0.9609822837615778,14.765498652291106,subseasonal,JP-13,cases
54,397.5657516523336,397.5657516523336,0.00018538768711262878,0.9611676714486904,14.765498652291106,subseasonal,JP-13,cases
55,395.9821672490631,395.9821672490631,0.00018391375551558037,0.961351585204206,10.494252873563218,subseasonal,JP-13,cases
56,395.95006268731674,395.95006268731674,0.00018388393482336992,0.9615354691390294,10.494252873563218,subseasonal,JP-13,cases
57,395.2411149272838,395.2411149272838,0.00018322603673143664,0.9617186951757609,6.475177304964539,high_frequency,JP-13,cases
58,395.18894475116196,395.18894475116196,0.0001831776697808555,0.9619018728455417,6.475177304964539,high_frequency,JP-13,cases
59,394.5374813551134,394.5374813551134,0.00018257423596224406,0.962084447081504,2.713224368499257,high_frequency,JP-13,cases
60,394.2081722745631,394.2081722745631,0.00018226958423712034,0.9622667166657412,2.713224368499257,high_frequency,JP-13,cases
61,393.2805442615951,393.2805442615951,0.00018141278089627504,0.9624481294466374,16.11176470588235,subseasonal,JP-13,cases
62,391.3823421481264,391.3823421481264,0.00017966579853377854,0.9626277952451712,16.11176470588235,subseasonal,JP-13,cases
63,390.4467991544997,390.4467991544997,0.00017880789479426964,0.9628066031399655,4.96195652173913,high_frequency,JP-13,cases
64,390.17921215780086,390.17921215780086,0.00017856289203255614,0.962985166031998,2.404741000877963,high_frequency,JP-13,cases
65,389.9839942540478,389.9839942540478,0.0001783842564108452,0.9631635502884088,4.96195652173913,high_frequency,JP-13,cases
66,389.6912355397277,389.6912355397277,0.00017811653289205917,0.9633416668213008,2.404741000877963,high_frequency,JP-13,cases
67,387.66625184623456,387.66625184623456,0.0001762702201259295,0.9635179370414267,2.5244239631336405,high_frequency,JP-13,cases
68,387.58101125477066,387.58101125477066,0.00017619271156876705,0.9636941297529955,2.5244239631336405,high_frequency,JP-13,cases
69,387.4141967111988,387.4141967111988,0.00017604107781547294,0.963870170830811,9.191275167785234,subseasonal,JP-13,cases
70,387.03867984777435,387.03867984777435,0.00017569997335523552,0.9640458708041661,9.191275167785234,subseasonal,JP-13,cases
71,384.1313105795618,384.1313105795618,0.00017307023056744182,0.9642189410347336,2.2949308755760365,high_frequency,JP-13,cases
72,383.5407533913342,383.5407533913342,0.00017253848894906835,0.9643914795236826,2.2949308755760365,high_frequency,JP-13,cases
