component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
1,209.06969993951986,209.06969993951986,0.8963517582263433,0.8963517582263433,5478.0,trend,JP-13,incidence_per_100k
2,32.969760353640964,32.969760353640964,0.02229091334954234,0.9186426715758856,365.2,annual,JP-13,incidence_per_100k
3,32.47398370560858,32.47398370560858,0.021625562850102288,0.940268234425988,365.2,annual,JP-13,incidence_per_100k
4,12.392966187802015,12.392966187802015,0.0031495377087235117,0.9434177721347115,182.6,semiannual,JP-13,incidence_per_100k
5,11.762073381866834,11.762073381866834,0.002837030808375237,0.9462548029430867,182.6,semiannual,JP-13,incidence_per_100k
6,6.8097917913880535,6.8097917913880535,0.0009509637232332728,0.94720576666632,130.42857142857144,seasonal_subannual,JP-13,incidence_per_100k
7,6.047245644617058,6.047245644617058,0.0007499140728756959,0.9479556807391957,6.996168582375479,high_frequency,JP-13,incidence_per_100k
8,6.032067213971025,6.032067213971025,0.0007461542673379585,0.9487018350065336,6.996168582375479,high_frequency,JP-13,incidence_per_100k
9,5.575535094312441,5.575535094312441,0.0006374841487276753,0.9493393191552613,121.73333333333333,seasonal_subannual,JP-13,incidence_per_100k
10,5.523911324274438,5.523911324274438,0.0006257338929768905,0.9499650530482382,99.6,seasonal_subannual,JP-13,incidence_per_100k
11,5.22415463190635,5.22415463190635,0.0005596652337293903,0.9505247182819676,91.3,seasonal_subannual,JP-13,incidence_per_100k
12,4.883231342283907,4.883231342283907,0.0004890022772867911,0.9510137205592544,73.03999999999999,seasonal_subannual,JP-13,incidence_per_100k
13,4.771983906733926,4.771983906733926,0.00046697563740204755,0.9514806961966564,73.03999999999999,seasonal_subannual,JP-13,incidence_per_100k
14,4.224755461226886,4.224755461226886,0.0003660154642968053,0.9518467116609532,57.0625,seasonal_subannual,JP-13,incidence_per_100k
15,4.031658074312172,4.031658074312172,0.0003333217610185419,0.9521800334219718,57.0625,seasonal_subannual,JP-13,incidence_per_100k
16,3.8650805748433745,3.8650805748433745,0.0003063468273039459,0.9524863802492757,40.577777777777776,seasonal_subannual,JP-13,incidence_per_100k
17,3.83625961189276,3.83625961189276,0.00030179515405687337,0.9527881754033326,40.577777777777776,seasonal_subannual,JP-13,incidence_per_100k
18,3.6981607822939773,3.6981607822939773,0.0002804580178585812,0.9530686334211912,40.577777777777776,seasonal_subannual,JP-13,incidence_per_100k
19,3.669536309649003,3.669536309649003,0.00027613322272603534,0.9533447666439172,3.5003194888178912,high_frequency,JP-13,incidence_per_100k
20,3.6620011330289204,3.6620011330289204,0.00027500034046618445,0.9536197669843834,3.5003194888178912,high_frequency,JP-13,incidence_per_100k
21,3.6285316489751733,3.6285316489751733,0.00026999648718106187,0.9538897634715645,45.65,seasonal_subannual,JP-13,incidence_per_100k
22,3.6244441754289936,3.6244441754289936,0.00026938853773418413,0.9541591520092987,45.65,seasonal_subannual,JP-13,incidence_per_100k
23,3.6184594424546694,3.6184594424546694,0.00026849963597277683,0.9544276516452714,36.27814569536424,seasonal_subannual,JP-13,incidence_per_100k
24,3.609562785690309,3.609562785690309,0.0002671809463214673,0.9546948325915929,36.27814569536424,seasonal_subannual,JP-13,incidence_per_100k
25,3.507832603818434,3.507832603818434,0.00025233297238857154,0.9549471655639815,50.72222222222222,seasonal_subannual,JP-13,incidence_per_100k
26,3.472584684371054,3.472584684371054,0.0002472873917020323,0.9551944529556835,19.92,subseasonal,JP-13,incidence_per_100k
27,3.4699597874389467,3.4699597874389467,0.0002469136881648885,0.9554413666438484,19.92,subseasonal,JP-13,incidence_per_100k
28,3.3742241067294194,3.3742241067294194,0.00023347701410545254,0.9556748436579539,5.058171745152355,high_frequency,JP-13,incidence_per_100k
29,3.37198565463677,3.37198565463677,0.0002331673406875022,0.9559080109986413,5.058171745152355,high_frequency,JP-13,incidence_per_100k
30,3.3222608372507896,3.3222608372507896,0.00022634126374354195,0.9561343522623849,2.7335329341317363,high_frequency,JP-13,incidence_per_100k
31,3.3198634024959155,3.3198634024959155,0.0002260147134530406,0.9563603669758379,2.7335329341317363,high_frequency,JP-13,incidence_per_100k
32,3.2794075293400105,3.2794075293400105,0.000220539843339289,0.9565809068191772,18.259999999999998,subseasonal,JP-13,incidence_per_100k
33,3.2529887982540386,3.2529887982540386,0.00021700084170600808,0.9567979076608832,6.838951310861423,high_frequency,JP-13,incidence_per_100k
34,3.2378258499733668,3.2378258499733668,0.0002149825722671138,0.9570128902331504,3.0016438356164383,high_frequency,JP-13,incidence_per_100k
35,3.2336183603202557,3.2336183603202557,0.00021442420422849737,0.9572273144373789,6.838951310861423,high_frequency,JP-13,incidence_per_100k
36,3.2327743840899887,3.2327743840899887,0.00021431228915695636,0.9574416267265358,3.0016438356164383,high_frequency,JP-13,incidence_per_100k
37,3.2294311550962833,3.2294311550962833,0.0002138692489160268,0.9576554959754517,18.259999999999998,subseasonal,JP-13,incidence_per_100k
38,3.171111846665815,3.171111846665815,0.00020621459662457163,0.9578617105720764,6.239179954441914,high_frequency,JP-13,incidence_per_100k
39,3.170538617394849,3.170538617394849,0.0002061400501786662,0.9580678506222551,6.239179954441914,high_frequency,JP-13,incidence_per_100k
40,3.168178022767287,3.168178022767287,0.00020583320518979714,0.9582736838274448,27.807106598984767,subseasonal,JP-13,incidence_per_100k
41,3.1610125542039964,3.1610125542039964,0.0002049031921226591,0.9584785870195675,27.807106598984767,subseasonal,JP-13,incidence_per_100k
42,3.1543547078609295,3.1543547078609295,0.0002040409511381667,0.9586826279707056,2.3123680878007598,high_frequency,JP-13,incidence_per_100k
43,3.1507453371409775,3.1507453371409775,0.00020357427052930521,0.9588862022412349,2.3123680878007598,high_frequency,JP-13,incidence_per_100k
44,3.1400349891547084,3.1400349891547084,0.0002021926003498643,0.9590883948415847,21.48235294117647,subseasonal,JP-13,incidence_per_100k
45,3.1234176911234663,3.1234176911234663,0.0002000582264939441,0.9592884530680786,21.48235294117647,subseasonal,JP-13,incidence_per_100k
46,3.0756427273887854,3.0756427273887854,0.00019398495748612033,0.9594824380255648,6.127516778523489,high_frequency,JP-13,incidence_per_100k
47,3.074479517216328,3.074479517216328,0.00019383825474705111,0.9596762762803118,6.127516778523489,high_frequency,JP-13,incidence_per_100k
