component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
1,672.5169313274592,672.5169313274592,0.12439504702059957,0.12439504702059957,365.2,annual,JP-13,nw_wind
2,672.3562072261336,672.3562072261336,0.12433559604732596,0.24873064306792553,365.2,annual,JP-13,nw_wind
3,283.9450989856848,283.9450989856848,0.022175090313362896,0.2709057333812884,2739.0,trend,JP-13,nw_wind
4,145.47759419773874,145.47759419773874,0.00582088292071809,0.2767266163020065,70.23076923076923,seasonal_subannual,JP-13,nw_wind
5,144.31831302541616,144.31831302541616,0.005728481707477734,0.28245509800948426,71.14285714285714,seasonal_subannual,JP-13,nw_wind
6,139.45078764291202,139.45078764291202,0.005348581113979573,0.28780367912346383,121.73333333333333,seasonal_subannual,JP-13,nw_wind
7,137.16364647094122,137.16364647094122,0.00517457502183452,0.2929782541452983,121.73333333333333,seasonal_subannual,JP-13,nw_wind
8,132.0609800478005,132.0609800478005,0.004796734437168349,0.29777498858246665,11.341614906832298,subseasonal,JP-13,nw_wind
9,131.83057572240563,131.83057572240563,0.004780011492041824,0.3025550000745085,11.341614906832298,subseasonal,JP-13,nw_wind
10,125.07085119292925,125.07085119292925,0.004302380875291296,0.30685738094979975,9.52695652173913,subseasonal,JP-13,nw_wind
11,125.01479130002008,125.01479130002008,0.004298524869597042,0.3111559058193968,9.52695652173913,subseasonal,JP-13,nw_wind
12,123.10341860541192,123.10341860541192,0.00416808791213103,0.3153239937315278,57.0625,seasonal_subannual,JP-13,nw_wind
13,122.97927944161368,122.97927944161368,0.004159685837424501,0.3194836795689523,9.009868421052632,subseasonal,JP-13,nw_wind
14,122.8584458436502,122.8584458436502,0.004151515633820617,0.3236351952027729,9.009868421052632,subseasonal,JP-13,nw_wind
15,121.21068394997252,121.21068394997252,0.004040903199270546,0.3276760984020434,7.372812920592193,subseasonal,JP-13,nw_wind
16,121.18616716393856,121.18616716393856,0.004039268690881418,0.3317153670929248,7.372812920592193,subseasonal,JP-13,nw_wind
17,120.45843732468593,120.45843732468593,0.003990902272466793,0.3357062693653916,57.0625,seasonal_subannual,JP-13,nw_wind
18,118.76287605794562,118.76287605794562,0.003879341888387564,0.3395856112537792,248.99999999999997,semiannual,JP-13,nw_wind
19,118.05528882850011,118.05528882850011,0.003833253487386144,0.34341886474116534,23.510729613733908,subseasonal,JP-13,nw_wind
20,117.08909885711964,117.08909885711964,0.0037707658957862288,0.3471896306369516,23.510729613733908,subseasonal,JP-13,nw_wind
21,116.38046696071939,116.38046696071939,0.003725262101060462,0.350914892738012,8.750798722044728,subseasonal,JP-13,nw_wind
22,116.1757843571571,116.1757843571571,0.0037121701131947707,0.35462706285120676,8.750798722044728,subseasonal,JP-13,nw_wind
23,116.08107817321928,116.08107817321928,0.0037061202781127557,0.3583331831293195,8.750798722044728,subseasonal,JP-13,nw_wind
24,115.48416152122348,115.48416152122348,0.0036681027648890197,0.36200128589420855,32.41420118343195,seasonal_subannual,JP-13,nw_wind
25,115.24694009763421,115.24694009763421,0.0036530485992311507,0.3656543344934397,32.41420118343195,seasonal_subannual,JP-13,nw_wind
26,114.55798179711309,114.55798179711309,0.0036095025352611016,0.3692638370287008,32.41420118343195,seasonal_subannual,JP-13,nw_wind
27,112.96482718369094,112.96482718369094,0.0035098061276138087,0.3727736431563146,16.30357142857143,subseasonal,JP-13,nw_wind
28,112.87844802951074,112.87844802951074,0.003504440596052181,0.3762780837523668,16.017543859649123,subseasonal,JP-13,nw_wind
29,111.2830977585559,111.2830977585559,0.0034060816635758462,0.3796841654159427,17.445859872611464,subseasonal,JP-13,nw_wind
30,111.15935243521874,111.15935243521874,0.0033985108403067274,0.3830826762562494,17.445859872611464,subseasonal,JP-13,nw_wind
31,110.32240444407697,110.32240444407697,0.0033475269378618424,0.38643020319411125,28.092307692307692,subseasonal,JP-13,nw_wind
32,110.16799029387757,110.16799029387757,0.0033381626789282305,0.3897683658730395,19.634408602150536,subseasonal,JP-13,nw_wind
33,109.73625621344257,109.73625621344257,0.00331205029083059,0.39308041616387007,19.634408602150536,subseasonal,JP-13,nw_wind
34,109.70140656646464,109.70140656646464,0.003309946966743273,0.3963903631306133,28.092307692307692,subseasonal,JP-13,nw_wind
35,108.7268698693601,108.7268698693601,0.003251400094355678,0.399641763224969,11.908695652173913,subseasonal,JP-13,nw_wind
36,108.65001853235924,108.65001853235924,0.0032468053490937723,0.4028885685740628,11.908695652173913,subseasonal,JP-13,nw_wind
