component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
1,1059.6417560656282,1059.6417560656282,0.981393797580561,0.981393797580561,2739.0,trend,JP-13,rh
2,57.654801356206114,57.654801356206114,0.0029053345038833585,0.9842991320844443,365.2,annual,JP-13,rh
3,57.47347813021166,57.47347813021166,0.002887088799542056,0.9871862208839863,365.2,annual,JP-13,rh
4,16.09950906897021,16.09950906897021,0.00022654289580923431,0.9874127637797956,121.73333333333333,seasonal_subannual,JP-13,rh
5,15.973061956583853,15.973061956583853,0.00022299829058616957,0.9876357620703817,121.73333333333333,seasonal_subannual,JP-13,rh
6,13.19715596073893,13.19715596073893,0.0001522249639006185,0.9877879870342824,73.03999999999999,seasonal_subannual,JP-13,rh
7,13.059079972782548,13.059079972782548,0.00014905630269260387,0.987937043336975,73.03999999999999,seasonal_subannual,JP-13,rh
8,12.22659731338991,12.22659731338991,0.0001306581182529413,0.9880677014552279,63.69767441860465,seasonal_subannual,JP-13,rh
9,12.215486170338872,12.215486170338872,0.00013042075026766369,0.9881981222054956,63.69767441860465,seasonal_subannual,JP-13,rh
10,11.991883610298355,11.991883610298355,0.00012568978720430238,0.9883238119926999,45.65,seasonal_subannual,JP-13,rh
11,11.965486574640146,11.965486574640146,0.00012513704899890283,0.9884489490416988,45.65,seasonal_subannual,JP-13,rh
12,11.577254604947786,11.577254604947786,0.00011714839696066551,0.9885660974386594,99.6,seasonal_subannual,JP-13,rh
13,11.363609988918446,11.363609988918446,0.00011286461935776497,0.9886789620580172,49.8,seasonal_subannual,JP-13,rh
14,10.692876132324447,10.692876132324447,9.993422604723483e-05,0.9887788962840645,41.81679389312977,seasonal_subannual,JP-13,rh
15,10.257940716402512,10.257940716402512,9.196986545805352e-05,0.9888708661495225,188.89655172413794,semiannual,JP-13,rh
16,10.224979503834012,10.224979503834012,9.137977276762846e-05,0.9889622459222901,40.577777777777776,seasonal_subannual,JP-13,rh
17,10.083047217392199,10.083047217392199,8.886050629626284e-05,0.9890511064285864,21.3984375,subseasonal,JP-13,rh
18,10.082924902603718,10.082924902603718,8.88583504225724e-05,0.989139964779009,21.3984375,subseasonal,JP-13,rh
19,10.047217311546593,10.047217311546593,8.823010030731484e-05,0.9892281948793163,12.310112359550562,subseasonal,JP-13,rh
20,10.03917394003619,10.03917394003619,8.808889038052722e-05,0.9893162837696968,12.36568848758465,subseasonal,JP-13,rh
21,9.926637843361013,9.926637843361013,8.61250598757462e-05,0.9894024088295725,188.89655172413794,semiannual,JP-13,rh
22,9.828955606346348,9.828955606346348,8.443838700902654e-05,0.9894868472165815,24.026315789473685,subseasonal,JP-13,rh
23,9.78015157885318,9.78015157885318,8.360193955222182e-05,0.9895704491561338,24.026315789473685,subseasonal,JP-13,rh
24,9.623991419128023,9.623991419128023,8.095350105230148e-05,0.9896514026571861,31.848837209302324,seasonal_subannual,JP-13,rh
25,9.599592906522133,9.599592906522133,8.054355859499227e-05,0.9897319462157811,7.715492957746479,subseasonal,JP-13,rh
26,9.589694913246289,9.589694913246289,8.037754976343407e-05,0.9898123237655445,7.715492957746479,subseasonal,JP-13,rh
27,9.581871304287901,9.581871304287901,8.024645362154548e-05,0.9898925702191661,55.897959183673464,seasonal_subannual,JP-13,rh
28,9.444174829604638,9.444174829604638,7.795665890712024e-05,0.9899705268780732,14.765498652291106,subseasonal,JP-13,rh
29,9.434307709085825,9.434307709085825,7.779384829959372e-05,0.9900483207263728,14.765498652291106,subseasonal,JP-13,rh
30,9.357550650663276,9.357550650663276,7.653314399793022e-05,0.9901248538703707,6.3920653442240365,high_frequency,JP-13,rh
31,9.353212428181674,9.353212428181674,7.646219790200315e-05,0.9902013160682728,12.799065420560748,subseasonal,JP-13,rh
32,9.346524211937089,9.346524211937089,7.635288511225022e-05,0.990277668953385,55.897959183673464,seasonal_subannual,JP-13,rh
33,9.324739548262384,9.324739548262384,7.599737680373906e-05,0.9903536663301887,6.3920653442240365,high_frequency,JP-13,rh
34,9.29458361668223,9.29458361668223,7.550662509482054e-05,0.9904291729552835,12.799065420560748,subseasonal,JP-13,rh
35,9.17506371357816,9.17506371357816,7.357721735326469e-05,0.9905027501726368,31.848837209302324,seasonal_subannual,JP-13,rh
36,9.119257241623266,9.119257241623266,7.268488622518292e-05,0.9905754350588619,11.934640522875815,subseasonal,JP-13,rh
37,9.113325283128004,9.113325283128004,7.259035583006514e-05,0.990648025414692,11.934640522875815,subseasonal,JP-13,rh
38,9.071706033008024,9.071706033008024,7.19288502899099e-05,0.9907199542649819,11.831533477321813,subseasonal,JP-13,rh
39,9.045583043643612,9.045583043643612,7.151519244117481e-05,0.9907914694574231,11.831533477321813,subseasonal,JP-13,rh
40,8.977958300071792,8.977958300071792,7.044989486250056e-05,0.9908619193522856,22.178137651821864,subseasonal,JP-13,rh
41,8.972513013194966,8.972513013194966,7.036446262075817e-05,0.9909322838149064,22.178137651821864,subseasonal,JP-13,rh
42,8.935608924062803,8.935608924062803,6.978683265524762e-05,0.9910020706475616,7.555862068965517,subseasonal,JP-13,rh
43,8.933079262935236,8.933079262935236,6.974732509609572e-05,0.9910718179726578,7.555862068965517,subseasonal,JP-13,rh
44,8.892048812735252,8.892048812735252,6.910808483131327e-05,0.991140926057489,6.672350791717418,high_frequency,JP-13,rh
45,8.88578292462656,8.88578292462656,6.901072347658339e-05,0.9912099367809656,6.672350791717418,high_frequency,JP-13,rh
46,8.871627362468372,8.871627362468372,6.879102252808328e-05,0.9912787278034937,18.07920792079208,subseasonal,JP-13,rh
47,8.866713696645505,8.866713696645505,6.871484203149311e-05,0.9913474426455252,18.07920792079208,subseasonal,JP-13,rh
48,8.711319455491454,8.711319455491454,6.632741349437045e-05,0.9914137700590195,8.778846153846153,subseasonal,JP-13,rh
49,8.70577864381419,8.70577864381419,6.624306557602414e-05,0.9914800131245955,8.778846153846153,subseasonal,JP-13,rh
50,8.661475714469299,8.661475714469299,6.557057099439137e-05,0.99154558369559,16.017543859649123,subseasonal,JP-13,rh
51,8.640897493669323,8.640897493669323,6.525937164545648e-05,0.9916108430672355,8.262443438914026,subseasonal,JP-13,rh
52,8.61032678910597,8.61032678910597,6.479842511434985e-05,0.9916756414923498,8.20059880239521,subseasonal,JP-13,rh
53,8.55652620145877,8.55652620145877,6.399118471437184e-05,0.9917396326770641,18.824742268041238,subseasonal,JP-13,rh
54,8.555974853397997,8.555974853397997,6.398293831201836e-05,0.9918036156153761,18.824742268041238,subseasonal,JP-13,rh
55,8.547951607542254,8.547951607542254,6.386299636276032e-05,0.9918674786117389,7.916184971098265,subseasonal,JP-13,rh
56,8.546539721124486,8.546539721124486,6.384190128531399e-05,0.9919313205130241,7.916184971098265,subseasonal,JP-13,rh
57,8.37088010520316,8.37088010520316,6.12445467317e-05,0.9919925650597559,18.824742268041238,subseasonal,JP-13,rh
58,8.268737469158177,8.268737469158177,5.9759036717032384e-05,0.9920523240964729,37.013513513513516,seasonal_subannual,JP-13,rh
59,8.209371592837869,8.209371592837869,5.890403017558652e-05,0.9921112281266485,5.74816369359916,high_frequency,JP-13,rh
