component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
1,18756.161246063333,18756.161246063333,0.7379803016846639,0.7379803016846639,1095.6,trend,JP-13,t2m
2,7564.826033714706,7564.826033714706,0.12004794898455592,0.8580282506692198,365.2,annual,JP-13,t2m
3,7559.41855689288,7559.41855689288,0.11987638535989499,0.9779046360291148,365.2,annual,JP-13,t2m
4,693.773727396184,693.773727396184,0.0010097004579644442,0.9789143364870793,182.6,semiannual,JP-13,t2m
5,690.6656413434052,690.6656413434052,0.0010006738656200337,0.9799150103526993,182.6,semiannual,JP-13,t2m
6,465.2332826526579,465.2332826526579,0.0004540444874143288,0.9803690548401137,121.73333333333333,seasonal_subannual,JP-13,t2m
7,464.3652726735299,464.3652726735299,0.00045235179903564774,0.9808214066391494,121.73333333333333,seasonal_subannual,JP-13,t2m
8,421.2810329020535,421.2810329020535,0.0003723065419519696,0.9811937131811014,99.6,seasonal_subannual,JP-13,t2m
9,387.924350662018,387.924350662018,0.0003156828131099466,0.9815093959942113,71.14285714285714,seasonal_subannual,JP-13,t2m
10,361.24201026923294,361.24201026923294,0.0002737495129304762,0.9817831455071417,62.96551724137931,seasonal_subannual,JP-13,t2m
11,350.7469332959119,350.7469332959119,0.00025807421759624735,0.982041219724738,62.96551724137931,seasonal_subannual,JP-13,t2m
12,333.97596613999747,333.97596613999747,0.0002339846050397627,0.9822752043297778,29.294117647058822,subseasonal,JP-13,t2m
13,333.40553784374634,333.40553784374634,0.00023318599993614385,0.9825083903297139,29.294117647058822,subseasonal,JP-13,t2m
14,322.27914220329023,322.27914220329023,0.000217881949449425,0.9827262722791633,15.696275071633236,subseasonal,JP-13,t2m
15,320.9384324328098,320.9384324328098,0.0002160729037800234,0.9829423451829433,15.696275071633236,subseasonal,JP-13,t2m
16,320.81340589937736,320.81340589937736,0.0002159045874839796,0.9831582497704273,15.696275071633236,subseasonal,JP-13,t2m
17,320.21022827745185,320.21022827745185,0.00021509348427984422,0.9833733432547072,76.08333333333333,seasonal_subannual,JP-13,t2m
18,309.55138348131044,309.55138348131044,0.00020101217048266496,0.9835743554251898,20.13970588235294,subseasonal,JP-13,t2m
19,309.1150071831147,309.1150071831147,0.00020044583400999897,0.9837748012591998,20.13970588235294,subseasonal,JP-13,t2m
20,304.9318730278235,304.9318730278235,0.00019505742968128198,0.9839698586888811,50.25688073394495,seasonal_subannual,JP-13,t2m
21,302.2400929332366,302.2400929332366,0.00019162889818973697,0.9841614875870708,50.25688073394495,seasonal_subannual,JP-13,t2m
22,289.0035315782602,289.0035315782602,0.00017521172037505254,0.9843366993074458,23.921397379912662,subseasonal,JP-13,t2m
23,288.82304999710954,288.82304999710954,0.00017499295063133134,0.9845116922580771,23.921397379912662,subseasonal,JP-13,t2m
24,286.25788061470877,286.25788061470877,0.00017189836953155816,0.9846835906276087,37.779310344827586,seasonal_subannual,JP-13,t2m
25,286.0687936050077,286.0687936050077,0.00017167135035948996,0.9848552619779681,37.779310344827586,seasonal_subannual,JP-13,t2m
26,283.06893273529994,283.06893273529994,0.0001680897647043159,0.9850233517426724,24.787330316742082,subseasonal,JP-13,t2m
27,282.9916076288005,282.9916076288005,0.0001679979440754733,0.9851913496867479,24.787330316742082,subseasonal,JP-13,t2m
28,282.81349400147786,282.81349400147786,0.00016778653634617766,0.9853591362230941,55.897959183673464,seasonal_subannual,JP-13,t2m
29,278.91351735754523,278.91351735754523,0.0001631909157363674,0.9855223271388305,20.988505747126435,subseasonal,JP-13,t2m
30,276.9037627033122,276.9037627033122,0.00016084759388658202,0.985683174732717,20.988505747126435,subseasonal,JP-13,t2m
31,275.3058656568342,275.3058656568342,0.00015899658022944642,0.9858421713129465,11.88286334056399,subseasonal,JP-13,t2m
32,275.2661735763022,275.2661735763022,0.00015895073703525226,0.9860011220499817,11.88286334056399,subseasonal,JP-13,t2m
33,272.0692961448993,272.0692961448993,0.0001552801423348835,0.9861564021923166,14.647058823529411,subseasonal,JP-13,t2m
34,270.59767924238486,270.59767924238486,0.00015360487155122144,0.9863100070638678,14.647058823529411,subseasonal,JP-13,t2m
35,269.38531853598727,269.38531853598727,0.0001522315608886857,0.9864622386247566,32.41420118343195,seasonal_subannual,JP-13,t2m
36,266.7183938183736,266.7183938183736,0.0001492322849363837,0.9866114709096929,32.41420118343195,seasonal_subannual,JP-13,t2m
37,263.7517007461152,263.7517007461152,0.0001459309439996319,0.9867574018536925,32.41420118343195,seasonal_subannual,JP-13,t2m
38,260.13568856878896,260.13568856878896,0.0001419569730944706,0.986899358826787,41.5,seasonal_subannual,JP-13,t2m
39,259.6364298344063,259.6364298344063,0.0001414126014377143,0.9870407714282248,17.2807570977918,subseasonal,JP-13,t2m
40,259.2731772583398,259.2731772583398,0.00014101718267899065,0.9871817886109038,16.15929203539823,subseasonal,JP-13,t2m
41,259.186405181678,259.186405181678,0.0001409228088118697,0.9873227114197156,12.310112359550562,subseasonal,JP-13,t2m
42,256.04663595721706,256.04663595721706,0.0001375292272740398,0.9874602406469897,12.310112359550562,subseasonal,JP-13,t2m
43,254.23173737112822,254.23173737112822,0.00013558647968344185,0.9875958271266732,22.0,subseasonal,JP-13,t2m
44,253.27312932749044,253.27312932749044,0.00013456592064253346,0.9877303930473157,12.82903981264637,subseasonal,JP-13,t2m
45,253.22081428494735,253.22081428494735,0.00013451033563180757,0.9878649033829475,12.82903981264637,subseasonal,JP-13,t2m
46,250.9219750317301,250.9219750317301,0.0001320791449729174,0.9879969825279205,22.0,subseasonal,JP-13,t2m
