component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
1,17074.382900184373,17074.382900184373,0.23212171599654005,0.23212171599654005,5478.0,trend,JP-13,tp
2,4327.4903187354985,4327.4903187354985,0.014910697156420879,0.24703241315296093,365.2,annual,JP-13,tp
3,4279.025525495584,4279.025525495584,0.014578589049907067,0.261611002202868,365.2,annual,JP-13,tp
4,2527.7899313548805,2527.7899313548805,0.005087538384510052,0.266698540587378,8.778846153846153,subseasonal,JP-13,tp
5,2527.4715870995446,2527.4715870995446,0.005086257038608067,0.27178479762598606,8.778846153846153,subseasonal,JP-13,tp
6,2524.5540642649826,2524.5540642649826,0.005074521431798579,0.27685931905778466,16.15929203539823,subseasonal,JP-13,tp
7,2519.1289866315615,2519.1289866315615,0.005052735332220305,0.28191205439000494,16.15929203539823,subseasonal,JP-13,tp
8,2511.2900189266275,2511.2900189266275,0.005021338287200328,0.28693339267720525,121.73333333333333,seasonal_subannual,JP-13,tp
9,2501.759782303847,2501.759782303847,0.004983299081274227,0.29191669175847945,31.124999999999996,seasonal_subannual,JP-13,tp
10,2487.528949778882,2487.528949778882,0.004926767037731232,0.29684345879621066,49.8,seasonal_subannual,JP-13,tp
11,2484.3464046041568,2484.3464046041568,0.00491416848816688,0.30175762728437755,48.47787610619469,seasonal_subannual,JP-13,tp
12,2478.6169756157533,2478.6169756157533,0.004891528398037886,0.3066491556824154,48.47787610619469,seasonal_subannual,JP-13,tp
13,2467.85341075288,2467.85341075288,0.004849137044337081,0.3114982927267525,16.15929203539823,subseasonal,JP-13,tp
14,2446.9628931323036,2446.9628931323036,0.004767388085361445,0.3162656808121139,101.44444444444444,seasonal_subannual,JP-13,tp
15,2423.791112710878,2423.791112710878,0.004677524996929735,0.3209432058090437,9.316326530612244,subseasonal,JP-13,tp
16,2422.751890712138,2422.751890712138,0.004673514795922478,0.32561672060496616,10.182156133828997,subseasonal,JP-13,tp
17,2420.2790459233106,2420.2790459233106,0.004663979375610271,0.3302806999805764,111.79591836734693,seasonal_subannual,JP-13,tp
18,2393.415025893494,2393.415025893494,0.004561017788593605,0.33484171776917,23.817391304347826,subseasonal,JP-13,tp
19,2379.9662190232802,2379.9662190232802,0.004509904288744788,0.3393516220579148,23.817391304347826,subseasonal,JP-13,tp
20,2366.9971297364486,2366.9971297364486,0.004460886795417953,0.34381250885333275,7.473396998635743,subseasonal,JP-13,tp
21,2365.831003482642,2365.831003482642,0.0044564924717051336,0.3482690013250379,7.473396998635743,subseasonal,JP-13,tp
22,2348.4097741094365,2348.4097741094365,0.004391101724704654,0.35266010304974255,38.57746478873239,seasonal_subannual,JP-13,tp
23,2337.222708375912,2337.222708375912,0.004349365789325277,0.3570094688390678,38.57746478873239,seasonal_subannual,JP-13,tp
24,2335.6452195403544,2335.6452195403544,0.00434349663484801,0.3613529654739158,8.237593984962405,subseasonal,JP-13,tp
25,2335.2621006669615,2335.2621006669615,0.0043420718130958115,0.36569503728701164,8.237593984962405,subseasonal,JP-13,tp
26,2321.9764452522845,2321.9764452522845,0.004292806958307729,0.3699878442453194,10.182156133828997,subseasonal,JP-13,tp
27,2321.5542648717656,2321.5542648717656,0.004291246068988917,0.3742790903143083,6.422039859320046,high_frequency,JP-13,tp
28,2315.674660718722,2315.674660718722,0.004269537441628503,0.3785486277559368,6.467532467532467,high_frequency,JP-13,tp
29,2315.3909865289993,2315.3909865289993,0.004268491454115378,0.3828171192100522,6.467532467532467,high_frequency,JP-13,tp
30,2299.1094724347868,2299.1094724347868,0.004208671617480318,0.3870257908275325,17.11875,subseasonal,JP-13,tp
31,2295.430989385856,2295.430989385856,0.004195214979179939,0.3912210058067125,17.11875,subseasonal,JP-13,tp
32,2284.1268503431615,2284.1268503431615,0.004153996992086123,0.3953750027987986,69.34177215189874,seasonal_subannual,JP-13,tp
33,2278.418450526632,2278.418450526632,0.004133259925953719,0.3995082627247523,20.988505747126435,subseasonal,JP-13,tp
34,2274.8015063016383,2274.8015063016383,0.004120147405394959,0.4036284101301473,20.988505747126435,subseasonal,JP-13,tp
35,2263.7380792917647,2263.7380792917647,0.004080168440788895,0.4077085785709362,69.34177215189874,seasonal_subannual,JP-13,tp
36,2261.214269908547,2261.214269908547,0.00407107566880753,0.4117796542397437,11.680170575692964,subseasonal,JP-13,tp
37,2258.501842555621,2258.501842555621,0.004061314653088694,0.4158409688928324,11.680170575692964,subseasonal,JP-13,tp
38,2253.086006351243,2253.086006351243,0.004041860125960582,0.419882829018793,27.527638190954775,subseasonal,JP-13,tp
39,2251.5346259984112,2251.5346259984112,0.004036295932155128,0.42391912495094813,27.527638190954775,subseasonal,JP-13,tp
40,2246.3901995100996,2246.3901995100996,0.004017872315096619,0.4279369972660447,5.5727365208545265,high_frequency,JP-13,tp
41,2242.656899604615,2242.656899604615,0.004004528722276667,0.4319415259883214,5.5727365208545265,high_frequency,JP-13,tp
42,2239.1496532360497,2239.1496532360497,0.003992013311135116,0.43593353929945655,15.741379310344827,subseasonal,JP-13,tp
43,2237.8240568744422,2237.8240568744422,0.00398728809599157,0.43992082739544813,15.562499999999998,subseasonal,JP-13,tp
44,2235.4882741047422,2235.4882741047422,0.00397896878398777,0.4438997961794359,15.741379310344827,subseasonal,JP-13,tp
45,2234.9601830013335,2234.9601830013335,0.003977089096360679,0.4478768852757966,15.562499999999998,subseasonal,JP-13,tp
