component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
1,10.889165384402173,10.889165384402173,0.00881066449463981,0.00881066449463981,2739.0,trend,JP-13,w2c_event
2,8.000647532120864,8.000647532120864,0.004756305612515358,0.013566970107155168,3.1249286936679974,high_frequency,JP-13,w2c_event
3,7.989164971185339,7.989164971185339,0.004742662872404136,0.018309632979559304,3.1249286936679974,high_frequency,JP-13,w2c_event
4,7.9617297847501405,7.9617297847501405,0.004710145724875727,0.023019778704435032,6.325635103926096,high_frequency,JP-13,w2c_event
5,7.9529686602800895,7.9529686602800895,0.004699785295838706,0.027719564000273738,6.325635103926096,high_frequency,JP-13,w2c_event
6,7.784151817009406,7.784151817009406,0.0045023792175844,0.03222194321785814,8.312594840667678,subseasonal,JP-13,w2c_event
7,7.779113284176413,7.779113284176413,0.004496552495768313,0.03671849571362645,8.312594840667678,subseasonal,JP-13,w2c_event
8,7.700970877528432,7.700970877528432,0.0044066690783579315,0.04112516479198439,2.3745123537061117,high_frequency,JP-13,w2c_event
9,7.69064214767704,7.69064214767704,0.004394856341479159,0.04552002113346355,2.3745123537061117,high_frequency,JP-13,w2c_event
10,7.6641674937626085,7.6641674937626085,0.0043646502728821104,0.04988467140634566,33.40243902439024,seasonal_subannual,JP-13,w2c_event
11,7.649514960000007,7.649514960000007,0.004347977346059142,0.0542326487524048,33.40243902439024,seasonal_subannual,JP-13,w2c_event
12,7.503216172067411,7.503216172067411,0.004183255530151133,0.058415904282555935,10.61627906976744,subseasonal,JP-13,w2c_event
13,7.49832848123172,7.49832848123172,0.004177807253117166,0.0625937115356731,4.078927773641102,high_frequency,JP-13,w2c_event
14,7.492094668761281,7.492094668761281,0.004170863614629308,0.0667645751503024,4.078927773641102,high_frequency,JP-13,w2c_event
15,7.489238046681305,7.489238046681305,0.004167683646890981,0.07093225879719338,10.61627906976744,subseasonal,JP-13,w2c_event
16,7.396148316943106,7.396148316943106,0.004064720606793012,0.07499697940398639,2.216916228247673,high_frequency,JP-13,w2c_event
17,7.389895754878679,7.389895754878679,0.004057851037893739,0.07905483044188014,2.216916228247673,high_frequency,JP-13,w2c_event
18,7.365073341127713,7.365073341127713,0.004030636448223373,0.08308546689010352,2.581526861451461,high_frequency,JP-13,w2c_event
19,7.357011810495922,7.357011810495922,0.004021817712867922,0.08710728460297144,2.581526861451461,high_frequency,JP-13,w2c_event
