component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
1,28.40726867494406,28.40726867494406,0.008666837304830853,0.008666837304830853,2739.0,trend,JP-13,w2c_transition_intensity
2,21.038448685170287,21.038448685170287,0.004753670905274136,0.01342050821010499,3.1249286936679974,high_frequency,JP-13,w2c_transition_intensity
3,21.00556436571337,21.00556436571337,0.004738821990756882,0.01815933020086187,3.1249286936679974,high_frequency,JP-13,w2c_transition_intensity
4,20.701417054152305,20.701417054152305,0.00460258519304883,0.0227619153939107,6.325635103926096,high_frequency,JP-13,w2c_transition_intensity
5,20.684065315299062,20.684065315299062,0.004594872736848166,0.027356788130758865,6.325635103926096,high_frequency,JP-13,w2c_transition_intensity
6,20.472083920049055,20.472083920049055,0.004501173907271975,0.03185796203803084,2.3745123537061117,high_frequency,JP-13,w2c_transition_intensity
7,20.442596238101466,20.442596238101466,0.004488216399426144,0.03634617843745698,2.3745123537061117,high_frequency,JP-13,w2c_transition_intensity
8,20.260221562744924,20.260221562744924,0.004408492103222063,0.04075467054067904,8.312594840667678,subseasonal,JP-13,w2c_transition_intensity
9,20.250519736466202,20.250519736466202,0.00440427100585016,0.045158941546529205,8.312594840667678,subseasonal,JP-13,w2c_transition_intensity
10,20.173441377027107,20.173441377027107,0.004370807378431205,0.04952974892496041,33.40243902439024,seasonal_subannual,JP-13,w2c_transition_intensity
11,20.137750931613894,20.137750931613894,0.0043553555706116074,0.05388510449557202,33.40243902439024,seasonal_subannual,JP-13,w2c_transition_intensity
12,19.73696289776002,19.73696289776002,0.004183717346603587,0.05806882184217561,4.078927773641102,high_frequency,JP-13,w2c_transition_intensity
13,19.73043590530747,19.73043590530747,0.004180950702467569,0.06224977254464317,4.078927773641102,high_frequency,JP-13,w2c_transition_intensity
14,19.439836435030998,19.439836435030998,0.004058699512337118,0.06630847205698029,2.581526861451461,high_frequency,JP-13,w2c_transition_intensity
15,19.41387850925049,19.41387850925049,0.004047867622804528,0.07035633967978482,2.581526861451461,high_frequency,JP-13,w2c_transition_intensity
16,19.396250755851995,19.396250755851995,0.004040520052640786,0.0743968597324256,10.720156555772993,subseasonal,JP-13,w2c_transition_intensity
17,19.38072600109502,19.38072600109502,0.0040340545784699885,0.07843091431089559,10.720156555772993,subseasonal,JP-13,w2c_transition_intensity
18,19.227825798350946,19.227825798350946,0.003970653994334959,0.08240156830523054,2.216916228247673,high_frequency,JP-13,w2c_transition_intensity
19,19.209419660872378,19.209419660872378,0.003963055691388944,0.08636462399661948,2.216916228247673,high_frequency,JP-13,w2c_transition_intensity
20,19.174014264363073,19.174014264363073,0.003948460325909294,0.09031308432252878,2.706521739130435,high_frequency,JP-13,w2c_transition_intensity
21,19.163954616048127,19.163954616048127,0.003944318292620511,0.0942574026151493,2.706521739130435,high_frequency,JP-13,w2c_transition_intensity
22,19.056146751067644,19.056146751067644,0.003900065165398251,0.09815746778054754,6.225,high_frequency,JP-13,w2c_transition_intensity
23,19.0481532347278,19.0481532347278,0.0038967939168644094,0.10205426169741195,6.225,high_frequency,JP-13,w2c_transition_intensity
24,18.93336451777453,18.93336451777453,0.00384996941097605,0.10590423110838801,2.094837476099426,high_frequency,JP-13,w2c_transition_intensity
25,18.897554832611412,18.897554832611412,0.00383541987694972,0.10973965098533772,4.340729001584786,high_frequency,JP-13,w2c_transition_intensity
26,18.893136188867118,18.893136188867118,0.003833626483796677,0.1135732774691344,15.696275071633236,subseasonal,JP-13,w2c_transition_intensity
27,18.874850218685697,18.874850218685697,0.0038262092234221806,0.11739948669255658,15.696275071633236,subseasonal,JP-13,w2c_transition_intensity
28,18.867217160909732,18.867217160909732,0.003823115183439195,0.12122260187599578,2.094837476099426,high_frequency,JP-13,w2c_transition_intensity
29,18.865928288464332,18.865928288464332,0.0038225928658692458,0.125045194741865,4.340729001584786,high_frequency,JP-13,w2c_transition_intensity
30,18.854970835435036,18.854970835435036,0.0038181537821048786,0.12886334852396988,2.8280846670108417,high_frequency,JP-13,w2c_transition_intensity
31,18.85135790501271,18.85135790501271,0.003816690676971915,0.1326800392009418,2.8280846670108417,high_frequency,JP-13,w2c_transition_intensity
