date,original,high_frequency,seasonal_subannual,subseasonal,trend,reconstructed_without_noise,residual
2005-01-01,0.0,-1.4050952455931535e-16,-2.6659701998124433e-17,-2.0041629610633585e-17,-1.555861553414379e-17,-2.0276947170221716e-16,2.0276947170221716e-16
2005-01-02,0.0,4.2836317477968046e-17,-1.9589426523843908e-17,-2.2447982134003095e-17,-1.5852621149035348e-17,-1.5053712328914305e-17,1.5053712328914305e-17
2005-01-03,0.0,-1.2896831706953654e-17,-6.0209400456052004e-18,-8.8662123648599e-18,-1.3675243580585556e-17,-4.145922769800431e-17,4.145922769800431e-17
2005-01-04,0.0,1.6012781796080927e-17,-3.1214188188839712e-18,-3.816284046223756e-19,-1.3548764466508706e-17,-1.0390298939341257e-18,1.0390298939341257e-18
2005-01-05,0.0,2.890223095757238e-17,-2.516825789532536e-18,-6.685279812112096e-18,-1.2412791859443161e-17,7.287333496484587e-18,-7.287333496484587e-18
2005-01-06,0.0,4.6276899285748565e-18,-2.859274649398846e-18,-3.6940458303984295e-18,-1.416245995292814e-17,-1.6088090504150557e-17,1.6088090504150557e-17
2005-01-07,0.0,-3.0429396683297734e-17,-1.0251442120368871e-19,3.236467485743609e-18,-1.3682486272702149e-17,-4.097792989145996e-17,4.097792989145996e-17
2005-01-08,0.0,9.85134032363285e-18,-5.529034247293372e-19,1.5333659920800388e-18,-1.2035691847770812e-17,-1.2038889567872606e-18,1.2038889567872606e-18
2005-01-09,0.0,1.2973149233466611e-17,-6.529140238967611e-19,-4.124207929991178e-18,-6.202328290330342e-18,1.99369898924833e-18,-1.99369898924833e-18
2005-01-10,0.0,1.2481990002869197e-17,-1.8789438809813017e-18,-7.395316042862291e-18,-1.6069990483949711e-18,1.6007310306306333e-18,-1.6007310306306333e-18
2005-01-11,0.0,-1.806057031971783e-17,-1.3189281297932393e-18,-8.55788607435879e-18,2.546583575762806e-18,-2.5390800948107056e-17,2.5390800948107056e-17
2005-01-12,0.0,-8.104515606372813e-18,-9.893641080591989e-19,-5.195361846571339e-18,5.229911948265809e-18,-9.059329612737541e-18,9.059329612737541e-18
2005-01-13,0.0,1.3775952791751138e-17,-1.9148904324913954e-18,-1.422234464006601e-17,8.043172279857047e-18,5.681889999050779e-18,-5.681889999050779e-18
2005-01-14,0.0,5.865246409802108e-18,-1.2317145533335895e-18,-7.734547413458966e-18,1.0131302912729185e-17,7.030287355738738e-18,-7.030287355738738e-18
2005-01-15,0.0,-1.1318491428126013e-17,-1.1412981337438845e-18,-4.847712828706433e-19,1.190976832539634e-17,-1.0347925193442005e-18,1.0347925193442005e-18
2005-01-16,0.0,2.1691039729911092e-18,-1.3365923071835338e-18,2.1155908154921742e-19,1.336586369227499e-17,1.4409934439631783e-17,-1.4409934439631783e-17
2005-01-17,0.0,-6.2572066135823525e-18,4.352446277124587e-19,3.898602051311777e-18,1.1038482354020866e-17,9.11512241946275e-18,-9.11512241946275e-18
2005-01-18,0.0,-8.30559895072305e-18,2.6758195677245166e-18,2.5227348325654646e-18,9.226506936463365e-18,6.1194623860302955e-18,-6.1194623860302955e-18
2005-01-19,0.0,2.502991281628791e-17,4.046593375060271e-18,8.039856921410308e-18,7.291511781789676e-18,4.4407874894548166e-17,-4.4407874894548166e-17
2005-01-20,0.0,-1.163549543114514e-17,5.5166549203635684e-18,1.004704137473548e-17,6.029888282617904e-18,9.958089146571814e-18,-9.958089146571814e-18
2005-01-21,0.0,7.465517125202382e-18,6.136495230064867e-18,5.8400708153954546e-18,5.047629062418896e-18,2.44897122330816e-17,-2.44897122330816e-17
2005-01-22,0.0,-0.0021061768440580604,0.001102084211642375,0.0006825005523400243,0.00039506620697852976,7.34741269028686e-05,-7.34741269028686e-05
2005-01-23,0.0,0.005912699520424813,0.0017178893597224413,0.001865137293859603,0.0007561656256824109,0.010251891799689269,-0.010251891799689269
2005-01-24,0.0,-0.002086331820144426,0.0018225666481258753,0.0029184645549493434,0.0010763642017580525,0.003731063584688845,-0.003731063584688845
2005-01-25,0.0,-0.003004556312506434,0.0013547409504756193,0.0019292108201034875,0.0013690910011340339,0.0016484864592067065,-0.0016484864592067065
2005-01-26,0.0,-0.0013692133675542407,0.0013585708003466426,0.00365619243965417,0.0016393965255451005,0.005284946397991672,-0.005284946397991672
2005-01-27,0.0,0.002950846104306931,0.0014699304403048845,0.004902936321920654,0.0018885040400650097,0.011212216906597478,-0.011212216906597478
2005-01-28,0.0,-0.003151727840330967,0.0014515350558211054,0.003640671044631021,0.0021136208781884452,0.0040540991383096045,-0.0040540991383096045
2005-01-29,0.0,0.003987444228912573,0.0008443058300581502,0.0028497965997446445,0.0023238450262240548,0.010005391684939422,-0.010005391684939422
2005-01-30,0.0,-0.0035414716895484748,0.0003694116131774149,-0.0046566981968938085,0.0025274197456320014,-0.005301338527632865,0.005301338527632865
2005-01-31,0.0,-0.01883798260528112,-0.00030128672754950914,-9.582001761097381e-05,0.0027174457507891177,-0.016517643599652486,0.016517643599652486
2005-02-01,0.0,0.0309009347842311,-0.0015317204115299383,-1.418885231005388e-05,0.0028960739432083746,0.032251099463599484,-0.032251099463599484
2005-02-02,0.0,-0.012859154884659926,-0.002765368509798068,-0.0008236073287126177,0.0030550623136364466,-0.013393068409534165,0.013393068409534165
2005-02-03,0.0,0.003781213917656678,-0.0038847551443551556,0.00040544202847230134,0.0032056616373831734,0.003507562439156997,-0.003507562439156997
2005-02-04,0.0,0.0035577344762828837,-0.004682685133993008,-0.00727342207688933,0.0033452985959058646,-0.005053074138693591,0.005053074138693591
2005-02-05,0.0,-0.012290621145524405,-0.005359126472710623,-0.0005316902292457284,0.003476274547323693,-0.014705163300157061,0.014705163300157061
