prefecture_code,target_variable,predictor_variable,frequency_band,best_lag_days,best_correlation,best_absolute_correlation,zero_lag_correlation,absolute_correlation_gain_vs_zero,n_observations_at_best_lag,max_lag_searched,lag_interpretation
JP-01,cases,nw_wind,annual,18,0.9895904955034605,0.9895904955034605,0.9408891180524979,0.04870137745096259,4365,30,predictor_leads_target
JP-01,cases,ah,annual,0,-0.9894341120379112,0.9894341120379112,-0.9894341120379112,0.0,4383,30,predictor_leads_target
JP-01,cases,t2m,annual,0,-0.9885507063948006,0.9885507063948006,-0.9885507063948006,0.0,4383,30,predictor_leads_target
JP-01,cases,rh,annual,6,-0.975415323824318,0.975415323824318,-0.9698825797177425,0.005532744106575449,4377,30,predictor_leads_target
JP-01,cases,tp,annual,0,-0.7686169247099172,0.7686169247099172,-0.7686169247099172,0.0,4383,30,predictor_leads_target
JP-01,cases,t2m_std_anom,annual,0,-0.2041387607089708,0.2041387607089708,-0.2041387607089708,0.0,4383,30,predictor_leads_target
JP-01,cases,c2w_event,annual,30,0.008951045679992779,0.008951045679992779,-0.0019136472106501571,0.0070373984693426215,4353,30,predictor_leads_target
JP-01,cases,nw_wind,high_frequency,5,0.04530139172050944,0.04530139172050944,0.02929201436273727,0.01600937735777217,4378,14,predictor_leads_target
JP-01,cases,w2c_transition_intensity,high_frequency,3,0.043352466662575175,0.043352466662575175,-0.001043494482964191,0.042308972179610986,4380,14,predictor_leads_target
JP-01,cases,w2c_event,high_frequency,3,0.04154054879976573,0.04154054879976573,-0.004651666934995163,0.036888881864770566,4380,14,predictor_leads_target
JP-01,cases,tp,high_frequency,7,-0.03353096321661675,0.03353096321661675,-0.028919250757060717,0.004611712459556033,4376,14,predictor_leads_target
JP-01,cases,rh,high_frequency,4,-0.032545189586543274,0.032545189586543274,-0.030418445852514214,0.00212674373402906,4379,14,predictor_leads_target
JP-01,cases,ah,high_frequency,9,-0.030188442963146735,0.030188442963146735,0.018102985413379864,0.012085457549766872,4374,14,predictor_leads_target
JP-01,cases,t2m,high_frequency,9,-0.029374786117629403,0.029374786117629403,0.016360921353997932,0.01301386476363147,4374,14,predictor_leads_target
JP-01,cases,c2w_transition_intensity,high_frequency,8,0.023286216670464245,0.023286216670464245,-0.009144960847567576,0.01414125582289667,4375,14,predictor_leads_target
JP-01,cases,c2w_event,high_frequency,8,0.018363597612220138,0.018363597612220138,-0.009453230770585998,0.00891036684163414,4375,14,predictor_leads_target
JP-01,cases,t2m_std_anom,interannual,0,-0.3812909018586014,0.3812909018586014,-0.3812909018586014,0.0,4383,0,predictor_leads_target
JP-01,cases,t2m,interannual,0,-0.3551560269631579,0.3551560269631579,-0.3551560269631579,0.0,4383,0,predictor_leads_target
JP-01,cases,tp,interannual,0,0.2658434777505879,0.2658434777505879,0.2658434777505879,0.0,4383,0,predictor_leads_target
JP-01,cases,rh,interannual,0,0.17978975996085586,0.17978975996085586,0.17978975996085586,0.0,4383,0,predictor_leads_target
JP-01,cases,ah,interannual,0,-0.17603508625904887,0.17603508625904887,-0.17603508625904887,0.0,4383,0,predictor_leads_target
JP-01,cases,c2w_event,interannual,0,-0.16638948288288397,0.16638948288288397,-0.16638948288288397,0.0,4383,0,predictor_leads_target
JP-01,cases,c2w_transition_intensity,interannual,0,-0.14553494179374665,0.14553494179374665,-0.14553494179374665,0.0,4383,0,predictor_leads_target
JP-01,cases,nw_wind,interannual,0,-0.07181815684584231,0.07181815684584231,-0.07181815684584231,0.0,4383,0,predictor_leads_target
JP-01,cases,w2c_event,interannual,0,-0.04644232175146716,0.04644232175146716,-0.04644232175146716,0.0,4383,0,predictor_leads_target
JP-01,cases,w2c_transition_intensity,interannual,0,-0.00896207341977554,0.00896207341977554,-0.00896207341977554,0.0,4383,0,predictor_leads_target
JP-01,cases,ah,seasonal_subannual,0,-0.15626987190801206,0.15626987190801206,-0.15626987190801206,0.0,4383,30,predictor_leads_target
JP-01,cases,t2m,seasonal_subannual,0,-0.1147892752213854,0.1147892752213854,-0.1147892752213854,0.0,4383,30,predictor_leads_target
JP-01,cases,nw_wind,seasonal_subannual,9,0.11344379939899829,0.11344379939899829,0.0588646102166054,0.05457918918239289,4374,30,predictor_leads_target
JP-01,cases,t2m_std_anom,seasonal_subannual,0,-0.11226094421301047,0.11226094421301047,-0.11226094421301047,0.0,4383,30,predictor_leads_target
JP-01,cases,tp,seasonal_subannual,30,0.09827570192755872,0.09827570192755872,-0.017021094653909892,0.08125460727364883,4353,30,predictor_leads_target
JP-01,cases,c2w_transition_intensity,seasonal_subannual,0,0.054169559996325424,0.054169559996325424,0.054169559996325424,0.0,4383,30,predictor_leads_target
JP-01,cases,c2w_event,seasonal_subannual,0,0.051046998531947795,0.051046998531947795,0.051046998531947795,0.0,4383,30,predictor_leads_target
JP-01,cases,rh,seasonal_subannual,29,-0.05031788801507946,0.05031788801507946,-0.036782355783030754,0.013535532232048703,4354,30,predictor_leads_target
JP-01,cases,w2c_event,seasonal_subannual,18,-0.020191541280818633,0.020191541280818633,-0.02010148886047002,9.005242034861374e-05,4365,30,predictor_leads_target
JP-01,cases,w2c_transition_intensity,seasonal_subannual,25,-0.011814436348461799,0.011814436348461799,-0.011021573887942001,0.0007928624605197977,4358,30,predictor_leads_target
JP-01,cases,t2m,semiannual,14,-0.8937019103458377,0.8937019103458377,-0.791462639108622,0.10223927123721566,4369,30,predictor_leads_target
JP-01,cases,rh,semiannual,0,0.7153446391031002,0.7153446391031002,0.7153446391031002,0.0,4383,30,predictor_leads_target
JP-01,cases,ah,semiannual,30,-0.6136398932834806,0.6136398932834806,0.2999868507104898,0.31365304257299076,4353,30,predictor_leads_target
JP-01,cases,tp,semiannual,30,-0.3346033426366823,0.3346033426366823,-0.09342388376044354,0.24117945887623876,4353,30,predictor_leads_target
JP-01,cases,t2m_std_anom,semiannual,26,-0.1234356934941479,0.1234356934941479,-0.07686589566202076,0.04656979783212714,4357,30,predictor_leads_target
JP-01,cases,nw_wind,semiannual,25,0.08174343272400024,0.08174343272400024,0.04409018661834969,0.03765324610565055,4358,30,predictor_leads_target
JP-01,cases,c2w_transition_intensity,semiannual,0,0.028697401594903898,0.028697401594903898,0.028697401594903898,0.0,4383,30,predictor_leads_target
JP-01,cases,w2c_transition_intensity,semiannual,27,-0.02749229156753469,0.02749229156753469,-0.019356458685733942,0.00813583288180075,4356,30,predictor_leads_target
JP-01,cases,w2c_event,semiannual,30,-0.024815699813250613,0.024815699813250613,-0.008434616931891662,0.01638108288135895,4353,30,predictor_leads_target
JP-01,cases,c2w_event,semiannual,0,0.019063854912424242,0.019063854912424242,0.019063854912424242,0.0,4383,30,predictor_leads_target
JP-01,cases,t2m,subseasonal,20,0.0596594782220423,0.0596594782220423,-0.02951503168082937,0.030144446541212934,4363,21,predictor_leads_target
JP-01,cases,c2w_transition_intensity,subseasonal,7,0.056951200364594314,0.056951200364594314,-0.010292668458565375,0.046658531906028936,4376,21,predictor_leads_target
JP-01,cases,rh,subseasonal,15,-0.051427418817049556,0.051427418817049556,-0.049547336469349994,0.0018800823476995618,4368,21,predictor_leads_target
JP-01,cases,ah,subseasonal,1,-0.044851777233372477,0.044851777233372477,-0.031939159750677557,0.01291261748269492,4382,21,predictor_leads_target
JP-01,cases,t2m_std_anom,subseasonal,21,0.044436800310713696,0.044436800310713696,-0.0179264093470114,0.026510390963702297,4362,21,predictor_leads_target
JP-01,cases,c2w_event,subseasonal,12,-0.04117582182051528,0.04117582182051528,-0.009369521953896679,0.031806299866618606,4371,21,predictor_leads_target
JP-01,cases,tp,subseasonal,11,-0.03880543130111158,0.03880543130111158,-0.03252936614036859,0.006276065160742993,4372,21,predictor_leads_target
JP-01,cases,nw_wind,subseasonal,3,-0.026677606417353627,0.026677606417353627,0.005041375744625991,0.021636230672727637,4380,21,predictor_leads_target
JP-01,cases,w2c_transition_intensity,subseasonal,1,0.015973706158731678,0.015973706158731678,0.015203688252863378,0.0007700179058683001,4382,21,predictor_leads_target
JP-01,cases,w2c_event,subseasonal,21,0.014782882961175093,0.014782882961175093,0.01093259603989711,0.003850286921277984,4362,21,predictor_leads_target
JP-01,cases,nw_wind,trend,0,0.9934328131093139,0.9934328131093139,0.9934328131093139,0.0,4383,0,predictor_leads_target
JP-01,cases,c2w_transition_intensity,trend,0,0.9769182501106395,0.9769182501106395,0.9769182501106395,0.0,4383,0,predictor_leads_target
JP-01,cases,c2w_event,trend,0,0.9754885114405567,0.9754885114405567,0.9754885114405567,0.0,4383,0,predictor_leads_target
JP-01,cases,w2c_event,trend,0,0.969541685876615,0.969541685876615,0.969541685876615,0.0,4383,0,predictor_leads_target
JP-01,cases,w2c_transition_intensity,trend,0,0.969265693436967,0.969265693436967,0.969265693436967,0.0,4383,0,predictor_leads_target
JP-01,cases,tp,trend,0,0.9067869841275169,0.9067869841275169,0.9067869841275169,0.0,4383,0,predictor_leads_target
JP-01,cases,ah,trend,0,0.5166025428433078,0.5166025428433078,0.5166025428433078,0.0,4383,0,predictor_leads_target
JP-01,cases,rh,trend,0,0.4175061281571556,0.4175061281571556,0.4175061281571556,0.0,4383,0,predictor_leads_target
JP-01,cases,t2m,trend,0,0.36853569886432824,0.36853569886432824,0.36853569886432824,0.0,4383,0,predictor_leads_target
JP-01,cases,t2m_std_anom,trend,0,-0.3357691876899204,0.3357691876899204,-0.3357691876899204,0.0,4383,0,predictor_leads_target
JP-01,incidence_per_100k,ah,annual,0,-0.9881327341819583,0.9881327341819583,-0.9881327341819583,0.0,4383,30,predictor_leads_target
JP-01,incidence_per_100k,nw_wind,annual,18,0.9880878667276303,0.9880878667276303,0.9382536617075604,0.049834205020069855,4365,30,predictor_leads_target
