prefecture_code,target_variable,predictor_variable,frequency_band,reason
JP-01,cases,w2c_event,annual,constant_predictor_band
JP-01,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-01,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-01,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-01,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-01,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-01,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-01,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-02,cases,t2m,trend,constant_predictor_band
JP-02,cases,t2m_std_anom,trend,constant_predictor_band
JP-02,cases,nw_wind,trend,constant_predictor_band
JP-02,incidence_per_100k,t2m,trend,constant_predictor_band
JP-02,incidence_per_100k,t2m_std_anom,trend,constant_predictor_band
JP-02,incidence_per_100k,nw_wind,trend,constant_predictor_band
JP-02,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-02,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-02,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-02,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-03,cases,c2w_event,interannual,constant_predictor_band
JP-03,cases,c2w_transition_intensity,interannual,constant_predictor_band
JP-03,incidence_per_100k,c2w_event,interannual,constant_predictor_band
JP-03,incidence_per_100k,c2w_transition_intensity,interannual,constant_predictor_band
JP-03,cases,c2w_event,annual,constant_predictor_band
JP-03,cases,w2c_event,annual,constant_predictor_band
JP-03,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-03,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-03,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-03,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-03,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-03,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-03,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-03,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-04,cases,c2w_event,interannual,constant_predictor_band
JP-04,cases,c2w_transition_intensity,interannual,constant_predictor_band
JP-04,cases,tp,interannual,constant_predictor_band
JP-04,incidence_per_100k,c2w_event,interannual,constant_predictor_band
JP-04,incidence_per_100k,c2w_transition_intensity,interannual,constant_predictor_band
JP-04,incidence_per_100k,tp,interannual,constant_predictor_band
JP-04,cases,c2w_event,annual,constant_predictor_band
JP-04,cases,w2c_event,annual,constant_predictor_band
JP-04,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-04,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-04,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-04,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-04,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-04,incidence_per_100k,w2c_transition_intensity,annual,constant_predictor_band
JP-04,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-04,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-04,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-04,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-05,cases,w2c_event,trend,constant_predictor_band
JP-05,cases,w2c_transition_intensity,trend,constant_predictor_band
JP-05,incidence_per_100k,w2c_event,trend,constant_predictor_band
JP-05,incidence_per_100k,w2c_transition_intensity,trend,constant_predictor_band
JP-05,cases,c2w_event,interannual,constant_predictor_band
JP-05,incidence_per_100k,c2w_event,interannual,constant_predictor_band
JP-05,cases,c2w_event,annual,constant_predictor_band
JP-05,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-05,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-05,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
JP-05,cases,w2c_event,semiannual,constant_predictor_band
JP-05,cases,w2c_transition_intensity,semiannual,constant_predictor_band
JP-05,incidence_per_100k,w2c_event,semiannual,constant_predictor_band
JP-05,incidence_per_100k,w2c_transition_intensity,semiannual,constant_predictor_band
JP-05,cases,t2m_std_anom,high_frequency,constant_predictor_band
JP-05,incidence_per_100k,t2m_std_anom,high_frequency,constant_predictor_band
JP-06,cases,nw_wind,trend,constant_predictor_band
JP-06,incidence_per_100k,nw_wind,trend,constant_predictor_band
JP-06,cases,c2w_event,interannual,constant_predictor_band
JP-06,cases,c2w_transition_intensity,interannual,constant_predictor_band
JP-06,incidence_per_100k,c2w_event,interannual,constant_predictor_band
JP-06,incidence_per_100k,c2w_transition_intensity,interannual,constant_predictor_band
JP-06,cases,c2w_event,annual,constant_predictor_band
JP-06,cases,w2c_event,annual,constant_predictor_band
JP-06,cases,c2w_transition_intensity,annual,constant_predictor_band
JP-06,cases,w2c_transition_intensity,annual,constant_predictor_band
JP-06,incidence_per_100k,c2w_event,annual,constant_predictor_band
JP-06,incidence_per_100k,w2c_event,annual,constant_predictor_band
JP-06,incidence_per_100k,c2w_transition_intensity,annual,constant_predictor_band
