prefecture_code,target_variable,predictor_variable,frequency_band,best_lag_days,best_correlation,best_absolute_correlation,zero_lag_correlation,absolute_correlation_gain_vs_zero,n_observations_at_best_lag,max_lag_searched,lag_interpretation
JP-01,cases,ah,annual,177,0.9887638336766279,0.9887638336766279,-0.9831207580299796,0.005643075646648343,5301,180,predictor_leads_target
JP-01,cases,t2m,annual,178,0.9876872697359912,0.9876872697359912,-0.9837351194460574,0.003952150289933787,5300,180,predictor_leads_target
JP-01,cases,nw_wind,annual,16,0.9871938527960797,0.9871938527960797,0.9491117958980637,0.038082056898016026,5462,180,predictor_leads_target
JP-01,cases,rh,annual,3,-0.9630831999940564,0.9630831999940564,-0.9621438749449158,0.0009393250491406269,5475,180,predictor_leads_target
JP-01,cases,tp,annual,145,0.9253271349519837,0.9253271349519837,-0.7358787689211834,0.18944836603080029,5333,180,predictor_leads_target
JP-01,cases,t2m_std_anom,annual,180,0.21247861733046977,0.21247861733046977,-0.20259048940226027,0.009888127928209506,5298,180,predictor_leads_target
JP-01,cases,c2w_event,annual,123,-0.18141785619523784,0.18141785619523784,0.12089296676520286,0.06052488943003498,5355,180,predictor_leads_target
JP-01,cases,w2c_transition_intensity,high_frequency,8,0.03856561844419934,0.03856561844419934,0.0036964648169574127,0.034869153627241925,5470,14,predictor_leads_target
JP-01,cases,c2w_event,high_frequency,0,-0.03763595726193514,0.03763595726193514,-0.03763595726193514,0.0,5478,14,predictor_leads_target
JP-01,cases,w2c_event,high_frequency,8,0.03702629589359246,0.03702629589359246,0.0009092574604981416,0.036117038433094314,5470,14,predictor_leads_target
JP-01,cases,nw_wind,high_frequency,4,0.036763172964210424,0.036763172964210424,0.01263293535552528,0.024130237608685143,5474,14,predictor_leads_target
JP-01,cases,ah,high_frequency,3,-0.034437284003653125,0.034437284003653125,0.02779032930230961,0.006646954701343515,5475,14,predictor_leads_target
JP-01,cases,c2w_transition_intensity,high_frequency,0,-0.033202543191474164,0.033202543191474164,-0.033202543191474164,0.0,5478,14,predictor_leads_target
JP-01,cases,tp,high_frequency,7,-0.03311805766468755,0.03311805766468755,-0.022746737833616876,0.010371319831070671,5471,14,predictor_leads_target
JP-01,cases,t2m,high_frequency,3,-0.029828558682800304,0.029828558682800304,0.023222564434286816,0.006605994248513488,5475,14,predictor_leads_target
JP-01,cases,rh,high_frequency,0,-0.027100676077109906,0.027100676077109906,-0.027100676077109906,0.0,5478,14,predictor_leads_target
JP-01,cases,c2w_event,interannual,158,0.4707992718313257,0.4707992718313257,0.060327855970498584,0.41047141586082714,5320,365,predictor_leads_target
JP-01,cases,c2w_transition_intensity,interannual,161,0.38442860181571603,0.38442860181571603,0.027820628044540444,0.3566079737711756,5317,365,predictor_leads_target
JP-01,cases,t2m,interannual,24,-0.3628560267319916,0.3628560267319916,-0.3530204664048968,0.009835560327094761,5454,365,predictor_leads_target
JP-01,cases,t2m_std_anom,interannual,331,0.2868878067339836,0.2868878067339836,-0.17331998159298126,0.11356782514100236,5147,365,predictor_leads_target
JP-01,cases,tp,interannual,365,-0.2240857144621193,0.2240857144621193,0.20266491580138918,0.021420798660730128,5113,365,predictor_leads_target
JP-01,cases,ah,interannual,25,-0.1971753642128674,0.1971753642128674,-0.19053699701015286,0.006638367202714546,5453,365,predictor_leads_target
JP-01,cases,w2c_transition_intensity,interannual,191,-0.19037004194217788,0.19037004194217788,0.16022619851646738,0.030143843425710498,5287,365,predictor_leads_target
JP-01,cases,rh,interannual,8,0.10943843350539353,0.10943843350539353,0.10644857172225937,0.002989861783134165,5470,365,predictor_leads_target
JP-01,cases,nw_wind,interannual,3,-0.0996663291123281,0.0996663291123281,-0.09869345474257853,0.0009728743697495768,5475,365,predictor_leads_target
JP-01,cases,w2c_event,interannual,131,-0.04162745431742249,0.04162745431742249,-0.009910371790675087,0.0317170825267474,5347,365,predictor_leads_target
JP-01,cases,ah,seasonal_subannual,59,0.22514168479789332,0.22514168479789332,-0.10863766621673374,0.11650401858115958,5419,60,predictor_leads_target
JP-01,cases,rh,seasonal_subannual,60,0.21925678103713958,0.21925678103713958,-0.06649225512076884,0.15276452591637074,5418,60,predictor_leads_target
JP-01,cases,tp,seasonal_subannual,33,0.137274033791076,0.137274033791076,-0.014861411302900532,0.12241262248817547,5445,60,predictor_leads_target
