prefecture_code,variable,assigned_band,band_trajectory_energy_fraction,n_components
JP-01,ah,annual,0.9568739030160748,6
JP-01,ah,high_frequency,0.0019342943064133277,79
JP-01,ah,interannual,0.0005638221741026421,7
JP-01,ah,seasonal_subannual,0.007583734998920238,86
JP-01,ah,semiannual,0.015457064720398985,9
JP-01,ah,subseasonal,0.008468167456737343,211
JP-01,ah,trend,0.0004399909656949371,2
JP-01,c2w_event,annual,0.000798015639234503,1
JP-01,c2w_event,high_frequency,0.3118247704121549,282
JP-01,c2w_event,interannual,0.002484393924551564,2
JP-01,c2w_event,seasonal_subannual,0.02016853054362356,22
JP-01,c2w_event,semiannual,0.002855482616461555,3
JP-01,c2w_event,subseasonal,0.10219005421609743,89
JP-01,c2w_event,trend,0.006855004548658951,1
JP-01,c2w_transition_intensity,high_frequency,0.30151785535701103,271
JP-01,c2w_transition_intensity,interannual,0.0036385116214394976,3
JP-01,c2w_transition_intensity,seasonal_subannual,0.022953769481399905,24
JP-01,c2w_transition_intensity,semiannual,0.0018184210674628458,2
JP-01,c2w_transition_intensity,subseasonal,0.11005238816962626,99
JP-01,c2w_transition_intensity,trend,0.0067422482871391035,1
JP-01,cases,annual,0.026385901656153177,2
JP-01,cases,high_frequency,0.030270814227751762,270
JP-01,cases,interannual,0.00020779677769784352,2
JP-01,cases,seasonal_subannual,0.006286112026691868,33
JP-01,cases,semiannual,0.0024354620888508284,7
JP-01,cases,subseasonal,0.012859260015317307,84
JP-01,cases,trend,0.8560584856758698,2
JP-01,incidence_per_100k,annual,0.026536920115579326,2
JP-01,incidence_per_100k,high_frequency,0.030221758923722638,270
JP-01,incidence_per_100k,interannual,0.00019978012692655291,2
JP-01,incidence_per_100k,seasonal_subannual,0.006055115333528764,31
JP-01,incidence_per_100k,semiannual,0.0025343773026401005,8
JP-01,incidence_per_100k,subseasonal,0.013048882615842198,85
JP-01,incidence_per_100k,trend,0.8561656427114674,2
JP-01,nw_wind,annual,0.21939082664664974,5
JP-01,nw_wind,high_frequency,0.18850912309055387,226
JP-01,nw_wind,interannual,0.0028854414450029254,4
JP-01,nw_wind,seasonal_subannual,0.03692813079471701,34
JP-01,nw_wind,semiannual,0.011698037960753705,9
JP-01,nw_wind,subseasonal,0.10314030013498933,121
JP-01,nw_wind,trend,0.06047113546589089,1
JP-01,rh,annual,0.001992332356992346,4
JP-01,rh,high_frequency,0.0010204608292307413,156
JP-01,rh,interannual,2.759122645247235e-05,3
JP-01,rh,seasonal_subannual,0.0007661448698159559,64
JP-01,rh,semiannual,0.0005977365264345089,9
JP-01,rh,subseasonal,0.0014455940271311135,162
JP-01,rh,trend,0.990933214788815,2
JP-01,t2m,annual,0.9459192416333602,7
JP-01,t2m,high_frequency,0.004211831854855928,83
JP-01,t2m,interannual,0.001161544611114663,8
JP-01,t2m,seasonal_subannual,0.010116687895054065,75
JP-01,t2m,semiannual,0.005034796664749681,12
JP-01,t2m,subseasonal,0.016467437799782676,213
JP-01,t2m,trend,9.772313555264729e-05,2
JP-01,t2m_std_anom,annual,0.11835616720100298,7
JP-01,t2m_std_anom,interannual,0.04200139160338772,9
JP-01,t2m_std_anom,seasonal_subannual,0.3025572961478764,100
JP-01,t2m_std_anom,semiannual,0.0818205500325069,13
JP-01,t2m_std_anom,subseasonal,0.3690450586715281,270
JP-01,t2m_std_anom,trend,0.010585961393879953,1
JP-01,tp,annual,0.024786867535072744,6
JP-01,tp,high_frequency,0.1212547058451411,175
JP-01,tp,interannual,0.0026293247734249787,4
JP-01,tp,seasonal_subannual,0.05161533332428178,51
JP-01,tp,semiannual,0.004797247776318302,5
JP-01,tp,subseasonal,0.14199862460094698,156
JP-01,tp,trend,0.34512908908926315,3
JP-01,w2c_event,high_frequency,0.3085517795002339,292
JP-01,w2c_event,interannual,0.0007925298448302338,1
JP-01,w2c_event,seasonal_subannual,0.016556096930894194,16
JP-01,w2c_event,semiannual,0.0027114590418857243,2
JP-01,w2c_event,subseasonal,0.09057295472930667,88
JP-01,w2c_event,trend,0.005712982163906167,1
JP-01,w2c_transition_intensity,high_frequency,0.30551533072388054,287
JP-01,w2c_transition_intensity,interannual,0.0022669280721001614,3
JP-01,w2c_transition_intensity,seasonal_subannual,0.020111728830782258,20
JP-01,w2c_transition_intensity,semiannual,0.0026473240459403873,2
JP-01,w2c_transition_intensity,subseasonal,0.08955099921992025,87
JP-01,w2c_transition_intensity,trend,0.0056257845999197875,1
JP-02,ah,annual,0.959566530349405,7
JP-02,ah,high_frequency,0.002073922293863541,92
JP-02,ah,interannual,0.0005100950195224916,8
JP-02,ah,seasonal_subannual,0.00657176497501376,67
JP-02,ah,semiannual,0.014268631334181025,15
JP-02,ah,subseasonal,0.008045537586841678,210
JP-02,ah,trend,0.00011887788835247892,1
JP-02,c2w_event,annual,0.0023911830479334496,2
JP-02,c2w_event,high_frequency,0.2990535970173898,287
JP-02,c2w_event,interannual,0.004144758295154522,5
JP-02,c2w_event,seasonal_subannual,0.018565089721563382,19
JP-02,c2w_event,semiannual,0.0024362929705716986,2
JP-02,c2w_event,subseasonal,0.08883831103565656,84
JP-02,c2w_event,trend,0.0039153724852462836,1
JP-02,c2w_transition_intensity,annual,0.002283453846031956,2
JP-02,c2w_transition_intensity,high_frequency,0.2932230690036152,278
JP-02,c2w_transition_intensity,interannual,0.0042615934002486625,5
JP-02,c2w_transition_intensity,seasonal_subannual,0.025252230703910455,27
JP-02,c2w_transition_intensity,semiannual,0.002445951048982779,2
JP-02,c2w_transition_intensity,subseasonal,0.08989619594154198,85
JP-02,c2w_transition_intensity,trend,0.003911502701893382,1
JP-02,cases,annual,0.02190940812508913,2
JP-02,cases,high_frequency,0.07965591962225697,276
JP-02,cases,interannual,0.0012256882508628153,3
JP-02,cases,seasonal_subannual,0.011509646836530057,34
JP-02,cases,semiannual,0.0013888195091840113,2
JP-02,cases,subseasonal,0.024542373432743337,81
JP-02,cases,trend,0.7006058495134384,2
JP-02,incidence_per_100k,annual,0.022348490940775973,2
JP-02,incidence_per_100k,high_frequency,0.08085137044048726,282
JP-02,incidence_per_100k,interannual,0.0011787776386308596,3
JP-02,incidence_per_100k,seasonal_subannual,0.011718584701070784,32
JP-02,incidence_per_100k,semiannual,0.0014716222727122357,2
JP-02,incidence_per_100k,subseasonal,0.023466719471476594,77
JP-02,incidence_per_100k,trend,0.7010637319195974,2
JP-02,nw_wind,annual,0.33858063096559193,4
JP-02,nw_wind,high_frequency,0.16489098083737727,223
JP-02,nw_wind,interannual,0.000947678280616147,1
JP-02,nw_wind,seasonal_subannual,0.047742129280589914,44
JP-02,nw_wind,semiannual,0.010916979519142283,9
JP-02,nw_wind,subseasonal,0.09693523979704548,119
JP-02,rh,annual,0.0018686616033031678,4
JP-02,rh,high_frequency,0.0015016550237498569,182
JP-02,rh,interannual,8.909208824596612e-05,7
JP-02,rh,seasonal_subannual,0.0006944017232614846,52
JP-02,rh,semiannual,0.0009559259780295487,8
JP-02,rh,subseasonal,0.0016370917620319207,146
JP-02,rh,trend,0.9890489738409185,1
JP-02,t2m,annual,0.9614722867401159,7
JP-02,t2m,high_frequency,0.00325252668770787,93
JP-02,t2m,interannual,0.0006685478961514579,8
JP-02,t2m,seasonal_subannual,0.0068229251084561075,71
JP-02,t2m,semiannual,0.0030195443520026535,12
JP-02,t2m,subseasonal,0.011447329637454734,209
JP-02,t2m_std_anom,annual,0.11137328640373258,5
JP-02,t2m_std_anom,interannual,0.04994172677138768,13
JP-02,t2m_std_anom,seasonal_subannual,0.32038823733014454,106
JP-02,t2m_std_anom,semiannual,0.058258575099493184,14
JP-02,t2m_std_anom,subseasonal,0.38036326197793535,262
JP-02,tp,annual,0.012295534880624705,2
JP-02,tp,high_frequency,0.13558206760081362,170
JP-02,tp,interannual,0.0019263243704148291,3
JP-02,tp,seasonal_subannual,0.050340949313678204,53
JP-02,tp,semiannual,0.008773175480315138,9
JP-02,tp,subseasonal,0.148445646029159,162
JP-02,tp,trend,0.2913544256192506,1
JP-02,w2c_event,annual,0.002555592518056094,2
JP-02,w2c_event,high_frequency,0.2946593778087905,278
JP-02,w2c_event,interannual,0.001048625641303312,1
JP-02,w2c_event,seasonal_subannual,0.014405983744011048,15
JP-02,w2c_event,semiannual,0.0009657624939884219,1
JP-02,w2c_event,subseasonal,0.10106882833854218,102
JP-02,w2c_event,trend,0.006974593908577792,1
JP-02,w2c_transition_intensity,annual,0.003926119103413374,3
JP-02,w2c_transition_intensity,high_frequency,0.30637572096406024,293
JP-02,w2c_transition_intensity,interannual,0.0010379784537690258,1
JP-02,w2c_transition_intensity,seasonal_subannual,0.01612213085008426,17
JP-02,w2c_transition_intensity,subseasonal,0.08636813271945579,84
JP-02,w2c_transition_intensity,trend,0.007708280863806217,2
JP-03,ah,annual,0.23813116758020356,7
JP-03,ah,high_frequency,0.002372124602177705,98
JP-03,ah,interannual,0.0004896943398442629,6
JP-03,ah,seasonal_subannual,0.006342782796071544,67
JP-03,ah,semiannual,0.012600910003484837,11
JP-03,ah,subseasonal,0.00815730352414167,209
JP-03,ah,trend,0.7223494969315424,2
JP-03,c2w_event,high_frequency,0.2675808681680107,266
JP-03,c2w_event,seasonal_subannual,0.027818154019015374,31
JP-03,c2w_event,semiannual,0.007053848771923268,4
JP-03,c2w_event,subseasonal,0.10043742425195003,98
JP-03,c2w_event,trend,0.004535492037282879,1
JP-03,c2w_transition_intensity,high_frequency,0.281591999116372,282
JP-03,c2w_transition_intensity,seasonal_subannual,0.020615328584124303,23
JP-03,c2w_transition_intensity,semiannual,0.00555474316049671,3
JP-03,c2w_transition_intensity,subseasonal,0.09577100848023459,91
JP-03,c2w_transition_intensity,trend,0.00449098900739118,1
JP-03,cases,annual,0.03813849484728138,2
JP-03,cases,high_frequency,0.07674482583230387,274
JP-03,cases,interannual,0.0020524523163456686,6
JP-03,cases,seasonal_subannual,0.009262294652557592,28
JP-03,cases,semiannual,0.0032168893848847613,8
JP-03,cases,subseasonal,0.019594194890177167,80
JP-03,cases,trend,0.6951330321859086,2
JP-03,incidence_per_100k,annual,0.0385523952923829,2
JP-03,incidence_per_100k,high_frequency,0.07928437321648149,284
JP-03,incidence_per_100k,interannual,0.0023548578172218884,7
JP-03,incidence_per_100k,seasonal_subannual,0.008977048012404943,27
JP-03,incidence_per_100k,semiannual,0.0036835566699186923,9
JP-03,incidence_per_100k,subseasonal,0.01686309152327149,69
JP-03,incidence_per_100k,trend,0.6951400744085414,2
JP-03,nw_wind,annual,0.20296903617588513,2
JP-03,nw_wind,high_frequency,0.17669594532670752,239
JP-03,nw_wind,interannual,0.0023266201658388983,2
JP-03,nw_wind,seasonal_subannual,0.04084297600860116,39
JP-03,nw_wind,semiannual,0.00796087378261838,7
JP-03,nw_wind,subseasonal,0.07929707063971278,110
JP-03,nw_wind,trend,0.13516960132820532,1
JP-03,rh,annual,0.0032030162704689714,5
JP-03,rh,high_frequency,0.001852677261626356,190
JP-03,rh,interannual,6.30888263741904e-05,5
JP-03,rh,seasonal_subannual,0.0008085187950264016,49
JP-03,rh,semiannual,0.0005896366363283775,8
JP-03,rh,subseasonal,0.0019093613734479688,142
JP-03,rh,trend,0.9863771775944401,1
JP-03,t2m,annual,0.9564829634304168,8
JP-03,t2m,high_frequency,0.003935408352746583,100
JP-03,t2m,interannual,0.0003427863218216149,4
JP-03,t2m,seasonal_subannual,0.007897494839458744,65
JP-03,t2m,semiannual,0.0029409759017562207,16
JP-03,t2m,subseasonal,0.01301420505949318,205
JP-03,t2m,trend,0.0001170112567601955,2
JP-03,t2m_std_anom,annual,0.11986364208070716,6
JP-03,t2m_std_anom,interannual,0.03279269675663932,11
JP-03,t2m_std_anom,seasonal_subannual,0.30271173142402813,95
JP-03,t2m_std_anom,semiannual,0.0583453414798172,17
JP-03,t2m_std_anom,subseasonal,0.3954679317354172,270
JP-03,t2m_std_anom,trend,0.010175300021729517,1
JP-03,tp,annual,0.014417309290071833,2
JP-03,tp,high_frequency,0.13481923328109813,167
JP-03,tp,interannual,0.00346382742928658,4
JP-03,tp,seasonal_subannual,0.05182378216694619,51
JP-03,tp,semiannual,0.010486487415926608,12
JP-03,tp,subseasonal,0.16034369147094402,163
JP-03,tp,trend,0.26933983723116856,1
JP-03,w2c_event,high_frequency,0.3037932787255748,294
JP-03,w2c_event,interannual,0.0017131169224667475,2
JP-03,w2c_event,seasonal_subannual,0.014511983711494826,17
JP-03,w2c_event,semiannual,0.0019747882717314038,2
JP-03,w2c_event,subseasonal,0.08493657293270356,83
JP-03,w2c_event,trend,0.00716003736289443,2
JP-03,w2c_transition_intensity,high_frequency,0.30808548425496685,300
JP-03,w2c_transition_intensity,interannual,0.0016495378441454302,2
JP-03,w2c_transition_intensity,seasonal_subannual,0.010297755755026183,11
JP-03,w2c_transition_intensity,semiannual,0.0035430257652530246,4
JP-03,w2c_transition_intensity,subseasonal,0.08254696581819114,82
JP-03,w2c_transition_intensity,trend,0.0063431131376547305,1
JP-04,ah,annual,0.22337371530231012,6
JP-04,ah,high_frequency,0.001935245169523262,83
JP-04,ah,interannual,0.0003515150152766427,6
JP-04,ah,seasonal_subannual,0.005429447406338145,64
JP-04,ah,semiannual,0.011609811124273405,14
JP-04,ah,subseasonal,0.007928669871109656,225
JP-04,ah,trend,0.7406681482855675,2
JP-04,c2w_event,high_frequency,0.27186474190328846,265
JP-04,c2w_event,seasonal_subannual,0.014862294612412959,18
JP-04,c2w_event,semiannual,0.009696474216111802,8
JP-04,c2w_event,subseasonal,0.1026018995237642,108
JP-04,c2w_event,trend,0.004319436314738468,1
JP-04,c2w_transition_intensity,high_frequency,0.2757678391885367,272
JP-04,c2w_transition_intensity,seasonal_subannual,0.01401367995776943,16
JP-04,c2w_transition_intensity,semiannual,0.008254642188946967,6
JP-04,c2w_transition_intensity,subseasonal,0.100677961271192,105
JP-04,c2w_transition_intensity,trend,0.00427052373719241,1
JP-04,cases,annual,0.04265842737886429,5
JP-04,cases,high_frequency,0.059180315966896976,282
JP-04,cases,interannual,0.0014876865282321687,4
JP-04,cases,seasonal_subannual,0.008700273544578386,34
JP-04,cases,semiannual,0.0005962362700457273,3
JP-04,cases,subseasonal,0.015580074565515025,70
JP-04,cases,trend,0.757155704942937,2
JP-04,incidence_per_100k,annual,0.04273074935745179,5
JP-04,incidence_per_100k,high_frequency,0.057674411571076126,274
JP-04,incidence_per_100k,interannual,0.001493662158515726,4
JP-04,incidence_per_100k,seasonal_subannual,0.009386202090840326,37
JP-04,incidence_per_100k,semiannual,0.0006026039458486806,3
JP-04,incidence_per_100k,subseasonal,0.016052588443338796,73
JP-04,incidence_per_100k,trend,0.757533322686337,4
JP-04,nw_wind,annual,0.24912850474219417,6
JP-04,nw_wind,high_frequency,0.1575793259847137,242
JP-04,nw_wind,interannual,0.0023152164010368996,2
JP-04,nw_wind,seasonal_subannual,0.03555347600136488,37
JP-04,nw_wind,semiannual,0.0037493645976069945,4
JP-04,nw_wind,subseasonal,0.07177341428925059,108
JP-04,nw_wind,trend,0.1477349332319997,1
JP-04,rh,annual,0.004553418134998145,5
JP-04,rh,high_frequency,0.001968563265219735,199
JP-04,rh,interannual,7.903842314483141e-05,5
JP-04,rh,seasonal_subannual,0.0008706354497479711,49
JP-04,rh,semiannual,0.000518457147402889,7
JP-04,rh,subseasonal,0.0017596653011561203,134
JP-04,rh,trend,0.9851568771760495,1
JP-04,t2m,annual,0.3653261280322295,6
JP-04,t2m,high_frequency,0.002524281562347344,97
JP-04,t2m,interannual,0.0002873258704087705,4
JP-04,t2m,seasonal_subannual,0.005351368333520787,69
JP-04,t2m,semiannual,0.0024690354953369694,14
JP-04,t2m,subseasonal,0.00907998360763975,208
JP-04,t2m,trend,0.6044523006723498,2
JP-04,t2m_std_anom,annual,0.12663344821525455,6
JP-04,t2m_std_anom,interannual,0.03413903316925847,8
JP-04,t2m_std_anom,seasonal_subannual,0.28811186877395756,105
JP-04,t2m_std_anom,semiannual,0.0754086943685776,17
JP-04,t2m_std_anom,subseasonal,0.3830297633480359,263
JP-04,t2m_std_anom,trend,0.011956879462345173,1
JP-04,tp,annual,0.016424368904514743,2
JP-04,tp,high_frequency,0.1454809584254187,178
JP-04,tp,seasonal_subannual,0.049586091096729804,47
JP-04,tp,semiannual,0.0043283085177951005,4
JP-04,tp,subseasonal,0.1697793165616638,168
JP-04,tp,trend,0.23382946467571303,1
JP-04,w2c_event,high_frequency,0.31678538991289584,299
JP-04,w2c_event,interannual,0.0022325279027894124,2
JP-04,w2c_event,seasonal_subannual,0.013242034331132156,14
JP-04,w2c_event,semiannual,0.0017549095375196191,2
JP-04,w2c_event,subseasonal,0.08595294355973647,82
JP-04,w2c_event,trend,0.006347431608654127,1
JP-04,w2c_transition_intensity,high_frequency,0.32082824060794307,306
JP-04,w2c_transition_intensity,interannual,0.004310008895675701,5
JP-04,w2c_transition_intensity,seasonal_subannual,0.013728050644837526,15
JP-04,w2c_transition_intensity,subseasonal,0.07747639222950273,73
JP-04,w2c_transition_intensity,trend,0.006224616843313036,1
JP-05,ah,annual,0.2333336923240184,6
JP-05,ah,high_frequency,0.0019596956794330957,88
JP-05,ah,interannual,0.00045051463097311957,7
JP-05,ah,seasonal_subannual,0.0060208715929574545,70
JP-05,ah,semiannual,0.013230625791477666,14
JP-05,ah,subseasonal,0.007527426078327424,213
JP-05,ah,trend,0.7289743639103899,2
JP-05,c2w_event,high_frequency,0.2879900106929414,285
JP-05,c2w_event,seasonal_subannual,0.01669049313314963,17
JP-05,c2w_event,semiannual,0.00304525089965721,3
JP-05,c2w_event,subseasonal,0.09279759505110625,93
JP-05,c2w_event,trend,0.004792109119827268,2
JP-05,c2w_transition_intensity,high_frequency,0.29584432012915346,293
JP-05,c2w_transition_intensity,interannual,0.0007260578708531372,1
JP-05,c2w_transition_intensity,seasonal_subannual,0.013436961574233965,13
JP-05,c2w_transition_intensity,semiannual,0.0024608331756052868,2
JP-05,c2w_transition_intensity,subseasonal,0.08821193119227257,89
JP-05,c2w_transition_intensity,trend,0.0048227755413602046,2
JP-05,cases,annual,0.023738339347302836,2
JP-05,cases,high_frequency,0.0891541246224746,265
JP-05,cases,interannual,0.0017239930960827093,4
JP-05,cases,seasonal_subannual,0.01187147667786281,36
JP-05,cases,semiannual,0.0008679884525123562,3
JP-05,cases,subseasonal,0.027322198908180863,88
JP-05,cases,trend,0.6696491373874097,2
JP-05,incidence_per_100k,annual,0.024054349840516822,2
JP-05,incidence_per_100k,high_frequency,0.09004961554658611,268
JP-05,incidence_per_100k,interannual,0.0019971690897437823,5
JP-05,incidence_per_100k,seasonal_subannual,0.01059923098310516,30
JP-05,incidence_per_100k,semiannual,0.00113125812555201,4
JP-05,incidence_per_100k,subseasonal,0.02740830469501085,89
JP-05,incidence_per_100k,trend,0.6703188539083703,2
JP-05,nw_wind,annual,0.19329261196450304,2
JP-05,nw_wind,high_frequency,0.18637912960629052,221
JP-05,nw_wind,interannual,0.0037219827750832675,4
JP-05,nw_wind,seasonal_subannual,0.04148537401511357,35
JP-05,nw_wind,semiannual,0.01142559469646427,7
JP-05,nw_wind,subseasonal,0.11224790633149759,130
JP-05,nw_wind,trend,0.06332576014887874,1
JP-05,rh,annual,0.0010802947791299742,4
JP-05,rh,high_frequency,0.0017129588151909116,181
JP-05,rh,interannual,0.00010623301454167216,8
JP-05,rh,seasonal_subannual,0.0005875222496618172,46
JP-05,rh,semiannual,0.000612691937440457,7
JP-05,rh,subseasonal,0.0016588813677352108,153
JP-05,rh,trend,0.9895726492252181,1
JP-05,t2m,annual,0.9637637441250666,7
JP-05,t2m,high_frequency,0.0035239587640537792,106
JP-05,t2m,interannual,0.00036225139432083945,5
JP-05,t2m,seasonal_subannual,0.006504043902273801,69
JP-05,t2m,semiannual,0.0017197497914629796,12
JP-05,t2m,subseasonal,0.010862688969114197,200
JP-05,t2m,trend,4.1240969042160606e-05,1
JP-05,t2m_std_anom,annual,0.11480554788800025,6
JP-05,t2m_std_anom,interannual,0.029153139662998685,6
JP-05,t2m_std_anom,seasonal_subannual,0.3077578198014878,101
JP-05,t2m_std_anom,semiannual,0.046241281020856215,15
JP-05,t2m_std_anom,subseasonal,0.41002640818649105,271
JP-05,t2m_std_anom,trend,0.011812139626172493,1
JP-05,tp,annual,0.010008837563074155,2
JP-05,tp,high_frequency,0.12541722972507782,178
JP-05,tp,interannual,0.00502823520934835,4
JP-05,tp,seasonal_subannual,0.06255916420673399,65
JP-05,tp,semiannual,0.0034643247191878447,5
JP-05,tp,subseasonal,0.12458491396234835,143
JP-05,tp,trend,0.3547932815118038,3
JP-05,w2c_event,annual,0.0019095271997826913,2
JP-05,w2c_event,high_frequency,0.3022519157576793,290
JP-05,w2c_event,interannual,0.007397324599968218,2
JP-05,w2c_event,seasonal_subannual,0.015717388957615337,16
JP-05,w2c_event,subseasonal,0.09177926928148271,90
JP-05,w2c_transition_intensity,annual,0.0019607397776155062,2
JP-05,w2c_transition_intensity,high_frequency,0.30227945517838933,291
JP-05,w2c_transition_intensity,interannual,0.00832305658162472,3
JP-05,w2c_transition_intensity,seasonal_subannual,0.011395628961375704,11
JP-05,w2c_transition_intensity,subseasonal,0.09354979128452734,93
JP-06,ah,annual,0.2245459833565804,6
JP-06,ah,high_frequency,0.0016033676244625674,82
JP-06,ah,interannual,0.00040570698961421884,7
JP-06,ah,seasonal_subannual,0.005233732288249772,70
JP-06,ah,semiannual,0.012334469929184516,13
JP-06,ah,subseasonal,0.007004539431869958,221
JP-06,ah,trend,0.741328990959463,1
JP-06,c2w_event,high_frequency,0.29613216423982963,289
JP-06,c2w_event,seasonal_subannual,0.01757037731659706,17
JP-06,c2w_event,semiannual,0.0057452972196650465,5
JP-06,c2w_event,subseasonal,0.08923814436864104,88
JP-06,c2w_event,trend,0.005335632881797801,1
JP-06,c2w_transition_intensity,high_frequency,0.28850800763172835,283
JP-06,c2w_transition_intensity,seasonal_subannual,0.02048844551180277,20
JP-06,c2w_transition_intensity,semiannual,0.004579923576177256,4
JP-06,c2w_transition_intensity,subseasonal,0.0920411181844167,92
JP-06,c2w_transition_intensity,trend,0.005250423256493947,1
JP-06,cases,annual,0.03421338224770101,6
JP-06,cases,high_frequency,0.08236480703537491,274
JP-06,cases,interannual,0.0014560145528002442,3
JP-06,cases,seasonal_subannual,0.008589315369308324,28
JP-06,cases,semiannual,0.0011491288264915817,2
JP-06,cases,subseasonal,0.027538224466838075,85
JP-06,cases,trend,0.6716680105025964,2
JP-06,incidence_per_100k,annual,0.03428830180631978,5
JP-06,incidence_per_100k,high_frequency,0.08489830716757955,282
JP-06,incidence_per_100k,interannual,0.0018874918924899652,4
JP-06,incidence_per_100k,seasonal_subannual,0.008113248208153104,27
JP-06,incidence_per_100k,semiannual,0.0011755210506692673,2
JP-06,incidence_per_100k,subseasonal,0.025386118791807327,78
JP-06,incidence_per_100k,trend,0.6719649339708254,2
JP-06,nw_wind,annual,0.27210497980891435,3
JP-06,nw_wind,high_frequency,0.1835823105287233,228
JP-06,nw_wind,interannual,0.004902989893702222,7
JP-06,nw_wind,seasonal_subannual,0.042910068764566156,37
JP-06,nw_wind,semiannual,0.00890519553083929,6
JP-06,nw_wind,subseasonal,0.10535844734445461,119
JP-06,rh,annual,0.0010014059754916607,5
JP-06,rh,high_frequency,0.0014850004387268203,195
JP-06,rh,interannual,0.00012212256743407933,11
JP-06,rh,seasonal_subannual,0.0006299459247865274,44
JP-06,rh,semiannual,0.0006394954821345149,9
JP-06,rh,subseasonal,0.0013628874552346483,135
JP-06,rh,trend,0.9906796117890668,1
JP-06,t2m,annual,0.4618910476694151,6
JP-06,t2m,high_frequency,0.00251955265105939,84
JP-06,t2m,interannual,0.00039469276892120105,5
JP-06,t2m,seasonal_subannual,0.006051208916966645,67
JP-06,t2m,semiannual,0.0015981611049766203,13
JP-06,t2m,subseasonal,0.011555200082725401,222
JP-06,t2m,trend,0.5034240561437286,3
JP-06,t2m_std_anom,annual,0.11434328630010082,5
JP-06,t2m_std_anom,interannual,0.0390246771313654,9
JP-06,t2m_std_anom,seasonal_subannual,0.29869842563251053,101
JP-06,t2m_std_anom,semiannual,0.046195554796090596,12
JP-06,t2m_std_anom,subseasonal,0.4096743199835385,272
JP-06,t2m_std_anom,trend,0.01283343064317691,1
JP-06,tp,annual,0.003812019816585569,2
JP-06,tp,high_frequency,0.10934542595373796,169
JP-06,tp,interannual,0.002125415473334669,2
JP-06,tp,seasonal_subannual,0.05632780941777868,60
JP-06,tp,semiannual,0.008859974072613953,5
JP-06,tp,subseasonal,0.13757813103384134,161
JP-06,tp,trend,0.3899958295069885,1
JP-06,w2c_event,high_frequency,0.2986831257049069,296
JP-06,w2c_event,interannual,0.0007253936261365444,1
JP-06,w2c_event,seasonal_subannual,0.01775152465957551,18
JP-06,w2c_event,subseasonal,0.09001291459442291,84
JP-06,w2c_event,trend,0.0067865769229492464,1
JP-06,w2c_transition_intensity,high_frequency,0.2898106559780333,284
JP-06,w2c_transition_intensity,interannual,0.002370306983215949,3
JP-06,w2c_transition_intensity,seasonal_subannual,0.01730665820780354,19
JP-06,w2c_transition_intensity,subseasonal,0.09519658289063845,93
JP-06,w2c_transition_intensity,trend,0.006647402960208497,1
JP-07,ah,annual,0.22106385541841042,6
JP-07,ah,high_frequency,0.0019119962375319592,96
JP-07,ah,interannual,0.0003730742777644646,9
JP-07,ah,seasonal_subannual,0.0050970903691466025,72
JP-07,ah,semiannual,0.01097466219213215,12
JP-07,ah,subseasonal,0.007005070940090311,204
JP-07,ah,trend,0.7455648334436594,1
JP-07,c2w_event,high_frequency,0.3062922719926713,298
JP-07,c2w_event,seasonal_subannual,0.01393657868752164,13
JP-07,c2w_event,semiannual,0.006197467919838748,5
JP-07,c2w_event,subseasonal,0.08265382773427758,83
JP-07,c2w_event,trend,0.005632101683381409,1
JP-07,c2w_transition_intensity,high_frequency,0.30223485063260574,291
JP-07,c2w_transition_intensity,interannual,0.0022400890733314176,3
JP-07,c2w_transition_intensity,seasonal_subannual,0.012969422138890784,12
JP-07,c2w_transition_intensity,semiannual,0.0066579934798251805,5
JP-07,c2w_transition_intensity,subseasonal,0.08650333008554414,88
JP-07,c2w_transition_intensity,trend,0.005564751517032682,1
JP-07,cases,annual,0.04988645295720825,4
JP-07,cases,high_frequency,0.04742677955974319,248
JP-07,cases,interannual,0.0021094674048170252,5
JP-07,cases,seasonal_subannual,0.006704413531960632,26
JP-07,cases,semiannual,0.003740312295233543,9
JP-07,cases,subseasonal,0.01966334407416949,106
JP-07,cases,trend,0.7646314074769622,2
JP-07,incidence_per_100k,annual,0.050384305598927995,4
