variable,assigned_band,mean_band_trajectory_energy_fraction,median_band_trajectory_energy_fraction,min_band_trajectory_energy_fraction,max_band_trajectory_energy_fraction,mean_n_components
ah,annual,0.22679016706777863,0.19174540821862818,0.0764294322780408,0.959566530349405,5.543478260869565
ah,high_frequency,0.001973732626268099,0.001947470424478179,0.0014246625536939947,0.00298152554263298,91.82608695652173
ah,interannual,0.00041013670547212057,0.0004053254862061016,0.00018725071143559696,0.0006762859541469615,6.369565217391305
ah,seasonal_subannual,0.004372372369099533,0.004143188684659585,0.0031370471343916987,0.007583734998920238,67.78260869565217
ah,semiannual,0.009093169364625156,0.00878276771310536,0.0009122068112755918,0.015457064720398985,10.847826086956522
ah,subseasonal,0.007389639758168892,0.007426144475772353,0.005233637163110841,0.009043504164718559,216.08695652173913
ah,trend,0.7420018344817748,0.7772106028399653,0.00011887788835247892,0.9015278404116279,1.5434782608695652
c2w_event,annual,0.0030849674476448184,0.0031308053621591455,0.0007281964172021203,0.00711991503316306,2.2222222222222223
c2w_event,high_frequency,0.2971932454461449,0.2956851593787499,0.2675808681680107,0.3142352333071522,287.82608695652175
c2w_event,interannual,0.0034036106483059576,0.0029730751459725252,0.00068089042818706,0.006891589042655738,3.257142857142857
c2w_event,seasonal_subannual,0.017218496026728956,0.017346433727183946,0.008668447309378055,0.027818154019015374,17.847826086956523
c2w_event,semiannual,0.0035578504083892785,0.002831271516327954,0.0007087569899979819,0.009696474216111802,3.3125
c2w_event,subseasonal,0.09080403197785673,0.08988109649425507,0.07433104602699582,0.10413772746376518,88.3913043478261
c2w_event,trend,0.006651397110934162,0.0067409358118434345,0.0039153724852462836,0.008690391614128544,1.0454545454545454
c2w_transition_intensity,annual,0.0030290146152496073,0.0029996275641830765,0.0010855838809603314,0.007173537503523704,2.1923076923076925
c2w_transition_intensity,high_frequency,0.2970210501495729,0.29745184753070997,0.2757678391885367,0.31492421816083616,287.5652173913044
c2w_transition_intensity,interannual,0.003959056122538998,0.00347799326306577,0.0007260578708531372,0.009568738878317754,3.871794871794872
c2w_transition_intensity,seasonal_subannual,0.016775980945384655,0.01624630420961127,0.009169700491886673,0.025252230703910455,17.304347826086957
c2w_transition_intensity,semiannual,0.0031962333136564694,0.0030069260734041717,0.0006921912984952777,0.008254642188946967,3.0476190476190474
c2w_transition_intensity,subseasonal,0.09036173857759318,0.08954298494429941,0.0765300300314908,0.11005238816962626,88.21739130434783
c2w_transition_intensity,trend,0.006566293555332874,0.00664143835524047,0.003911502701893382,0.00864400940804299,1.0454545454545454
cases,annual,0.040035641554751124,0.04128863497127414,0.008912878805967826,0.05508231757911654,3.3043478260869565
cases,high_frequency,0.07937650500011988,0.07820037272728042,0.013566945046086201,0.1553104789554947,271.5
cases,interannual,0.0017837017452777312,0.0011572333626865342,7.742648053407155e-05,0.014987977355907406,3.4390243902439024
cases,seasonal_subannual,0.008832738531133102,0.008505995000322938,0.0024788418241126174,0.017819647927645357,28.41304347826087
cases,semiannual,0.003965834199176688,0.003918802821437596,0.0005962362700457273,0.007694900847282466,4.956521739130435
cases,subseasonal,0.02530676664959192,0.02428871573761134,0.004434704708109737,0.04875678142156635,86.93478260869566
cases,trend,0.6813937421609709,0.6878734229252786,0.4629112629955711,0.8824285885858217,1.826086956521739
incidence_per_100k,annual,0.04024587349269798,0.04126004524056606,0.008888542896035745,0.05566422576167974,3.4130434782608696
incidence_per_100k,high_frequency,0.07896095264692586,0.07910330395576258,0.01339992487724502,0.15260082581163403,270.4347826086956
incidence_per_100k,interannual,0.0019083557278195954,0.001220938423851097,0.00019978012692655291,0.015059044269664788,3.707317073170732
incidence_per_100k,seasonal_subannual,0.008792105421425214,0.00830707271423795,0.0024730040510528056,0.018230280015717068,28.02173913043478
incidence_per_100k,semiannual,0.003986697323899704,0.003962272312672985,0.0006026039458486806,0.007002175984147966,4.913043478260869
incidence_per_100k,subseasonal,0.025715963273008305,0.023529381299641952,0.004373460413839856,0.05041805271090509,88.06521739130434
incidence_per_100k,trend,0.6814470681174336,0.6878345251260732,0.4632649751506217,0.8827064007077928,1.8478260869565217
nw_wind,annual,0.20885630839540542,0.206151562564043,0.024706422407405858,0.380146962786666,4.043478260869565
nw_wind,high_frequency,0.15541975836413216,0.15513786698470605,0.09980598354009572,0.23029398744781915,199.45652173913044
nw_wind,interannual,0.0043356181035620195,0.003498541568468726,0.000947678280616147,0.04547595260814634,3.6666666666666665
