group_id,source_band,final_band,status,components,number_of_components,dominant_period_days,spectral_concentration,minimum_absolute_wcor,mean_absolute_wcor,singular_value_ratio,trajectory_energy_fraction
G001,baseline,baseline,accepted_baseline,1,1,5478.0,0.6026414246181576,,,,0.0056859124549613
G002,interannual,interannual,accepted_cluster,"12,13",2,547.8,0.5492720213710494,0.9895266526877075,0.9895266526877075,0.9880590790049133,0.0034031002779425
G003,interannual,interannual,accepted_cluster,"68,69",2,1095.6,0.5157078919772208,0.7878898617784681,0.7878898617784681,0.9977276843551188,0.0024778465601027
G004,interannual,interannual,singleton_candidate,168,1,2739.0,0.26170761782398955,,,,0.0010106422046103
G005,seasonal_subannual,seasonal_subannual,accepted_cluster,"60,61",2,133.60975609756096,0.31872167430426973,0.9198688170298532,0.9198688170298532,0.9981365087171956,0.0025935006657146
G006,seasonal_subannual,seasonal_subannual,singleton_candidate,200,1,136.95,0.36886659086969303,,,,0.0009662554277399
G007,seasonal_subannual,seasonal_subannual,accepted_cluster,"72,77",2,67.62962962962963,0.5171694767399313,0.9255453282876279,0.9255453282876279,0.9955338858399205,0.00241783810082
G008,seasonal_subannual,seasonal_subannual,singleton_candidate,75,1,67.62962962962963,0.24236869783063986,,,,0.0012061585423349
G009,seasonal_subannual,seasonal_subannual,singleton_candidate,290,1,59.54347826086957,0.10193510658674224,,,,0.0008268046455854
G010,seasonal_subannual,seasonal_subannual,singleton_candidate,303,1,59.54347826086957,0.1326608595497156,,,,0.0008081184584234
G011,seasonal_subannual,seasonal_subannual,singleton_candidate,216,1,45.27272727272727,0.15121084737736948,,,,0.0009423192981368
G012,subseasonal,subseasonal,accepted_cluster,"56,57",2,8.546021840873633,0.40616323656283326,0.9998539385429133,0.9998539385429133,0.9997485844485952,0.0026389631356458
G013,subseasonal,subseasonal,accepted_cluster,"118,119",2,8.936378466557912,0.24233537928197973,0.990930840739231,0.990930840739231,0.9993556007508108,0.002188561187515
G014,subseasonal,subseasonal,singleton_candidate,76,1,8.936378466557912,0.3720079115157258,,,,0.0012046253645869
G015,subseasonal,subseasonal,accepted_cluster,"211,212,213",3,12.310112359550562,0.45648218816961095,0.7104270151995431,0.7459001289572725,0.9988754799667287,0.0028411462460337
G016,subseasonal,subseasonal,accepted_cluster,"209,221",2,7.748231966053748,0.300825192718155,0.7844653818254602,0.7844653818254602,0.9922101610294083,0.0018873667093508
G017,subseasonal,subseasonal,singleton_candidate,208,1,8.7648,0.4017955304932679,,,,0.0009514558896406
G018,subseasonal,subseasonal,singleton_candidate,210,1,8.7648,0.21374235144612558,,,,0.000948890380531
G019,subseasonal,subseasonal,accepted_cluster,"179,183",2,8.055882352941175,0.4489043187237506,0.7828263822131666,0.7828263822131666,0.9975325292303925,0.0019901158975927
G020,subseasonal,subseasonal,accepted_cluster,"185,188",2,14.377952755905513,0.30706574515852336,0.8752848062365965,0.8752848062365965,0.9984052518545735,0.0019754508621288
G021,subseasonal,subseasonal,singleton_candidate,187,1,28.68062827225131,0.18883221186799048,,,,0.0009869455150281
G022,subseasonal,subseasonal,singleton_candidate,163,1,9.09966777408638,0.22939271169368944,,,,0.0010213054656059
G023,subseasonal,subseasonal,singleton_candidate,165,1,28.68062827225131,0.16336017654315158,,,,0.0010182136921892
G024,subseasonal,subseasonal,accepted_cluster,"176,178",2,16.017543859649123,0.5047170291503328,0.8476001663799704,0.8476001663799704,0.9987814231875731,0.0020017312113618
G025,subseasonal,subseasonal,singleton_candidate,164,1,28.68062827225131,0.40357387658572524,,,,0.0010197873971855
G026,subseasonal,subseasonal,singleton_candidate,194,1,28.68062827225131,0.28630493474995206,,,,0.0009769022732697
