group_id,source_band,final_band,status,components,number_of_components,dominant_period_days,spectral_concentration,minimum_absolute_wcor,mean_absolute_wcor,singular_value_ratio,trajectory_energy_fraction
G001,baseline,baseline,accepted_baseline,1,1,5478.0,0.7951148854012172,,,,0.733763468004517
G002,interannual,interannual,singleton_candidate,25,1,913.0,0.5669736347277341,,,,8.331559482546065e-05
G003,annual,annual,accepted_cluster,"2,3",2,365.2,0.6642364668771603,0.9915001343997242,0.9915001343997242,0.9933604733134753,0.24278804766677958
G004,annual,annual,accepted_cluster,"8,9",2,322.235294117647,0.6471465763800763,0.9917381306336842,0.9917381306336842,0.9915259111111149,0.0003562888547075
G005,annual,annual,singleton_candidate,22,1,421.38461538461536,0.2134607133836158,,,,8.825702367421482e-05
G006,annual,annual,singleton_candidate,28,1,421.38461538461536,0.4282927992134717,,,,7.911138879147621e-05
G007,semiannual,semiannual,accepted_cluster,"4,5",2,182.6,0.6517893241751848,0.9969644225562182,0.9969644225562182,0.9984763032147642,0.0014269966627558
G008,semiannual,semiannual,accepted_cluster,"46,53",2,273.9,0.3751499832934958,0.7625901036122493,0.7625901036122493,0.9776986762379022,0.00012234192027512947
G009,semiannual,semiannual,accepted_cluster,"81,83",2,228.25,0.537798694740366,0.8767740187344604,0.8767740187344604,0.9936355278175001,9.50589624475242e-05
G010,semiannual,semiannual,accepted_cluster,"32,33",2,152.16666666666666,0.5356578640934323,0.9972623817828947,0.9972623817828947,0.997159799363125,0.00014642541183965406
G011,semiannual,semiannual,accepted_cluster,"23,24",2,195.64285714285714,0.5144522830172206,0.9395595484874628,0.9395595484874628,0.994277264214966,0.00017415433270997
G012,semiannual,semiannual,accepted_cluster,"16,17",2,161.1176470588235,0.5802405984832016,0.8421401651008804,0.8421401651008804,0.9963174490645434,0.00019002698731026936
G013,seasonal_subannual,seasonal_subannual,accepted_cluster,"91,98",2,38.57746478873239,0.37959345353855695,0.701067688057471,0.701067688057471,0.9741107892311738,8.424982374156431e-05
G014,seasonal_subannual,seasonal_subannual,singleton_candidate,99,1,38.57746478873239,0.1301246788587404,,,,4.07806149688221e-05
G015,seasonal_subannual,seasonal_subannual,singleton_candidate,92,1,58.903225806451616,0.38408684497276546,,,,4.305518080963482e-05
G016,seasonal_subannual,seasonal_subannual,accepted_cluster,"84,85",2,44.53658536585366,0.21420768158119738,0.7898046804396306,0.7898046804396306,0.9886414571814792,9.208954659928449e-05
G017,seasonal_subannual,seasonal_subannual,accepted_cluster,"86,87",2,39.41007194244604,0.44207730023726527,0.8594665188132556,0.8594665188132556,0.9987229353467509,8.995882894653143e-05
G018,seasonal_subannual,seasonal_subannual,singleton_candidate,82,1,39.41007194244604,0.24679647798164184,,,,4.741651350969628e-05
G019,seasonal_subannual,seasonal_subannual,accepted_cluster,"43,44",2,32.41420118343195,0.5489064923272591,0.981603745394681,0.981603745394681,0.9984229880152254,0.0001272758513641486
G020,seasonal_subannual,seasonal_subannual,accepted_cluster,"42,45",2,61.55056179775281,0.544384129554031,0.8999117792424053,0.8999117792424053,0.9960142072382636,0.00012728230060988328
G021,seasonal_subannual,seasonal_subannual,accepted_cluster,"62,63",2,38.041666666666664,0.5055892201341092,0.9681529979953738,0.9681529979953738,0.9934502245409198,0.00011056562407222448
G022,seasonal_subannual,seasonal_subannual,accepted_cluster,"68,72,74,75",4,35.57142857142857,0.24440272773059674,0.7160747396604459,0.7734643514343359,0.9802607594100787,0.00020831847170474
G023,seasonal_subannual,seasonal_subannual,singleton_candidate,69,1,133.60975609756096,0.13056408990276105,,,,5.288350162504808e-05
G024,seasonal_subannual,seasonal_subannual,accepted_cluster,"30,31",2,30.265193370165743,0.6087941881582017,0.9998857791917913,0.9998857791917913,0.9989185418418886,0.00014995372552401866
