group_id,source_band,final_band,status,components,number_of_components,dominant_period_days,spectral_concentration,minimum_absolute_wcor,mean_absolute_wcor,singular_value_ratio,trajectory_energy_fraction
G001,baseline,baseline,singleton_candidate,7,1,5478.0,0.42158634581276344,,,,0.0098728907838158
G002,baseline,baseline,singleton_candidate,8,1,5478.0,0.6372561696329886,,,,0.0098154762367557
G003,interannual,interannual,singleton_candidate,129,1,684.75,0.3183785888356585,,,,0.0023898861328673
G004,interannual,interannual,singleton_candidate,253,1,1826.0,0.3580253555781656,,,,0.001070921498822
G005,interannual,interannual,accepted_cluster,"46,50",2,497.99999999999994,0.17875065430342169,0.7721804679641643,0.7721804679641643,0.9799498215569461,0.008528222458981601
G006,interannual,interannual,singleton_candidate,39,1,547.8,0.30146590920691574,,,,0.0046638672948861
G007,interannual,interannual,accepted_cluster,"21,26",2,913.0,0.5693162782690495,0.8371101273695327,0.8371101273695327,0.9788581568819239,0.0125691939927415
G008,interannual,interannual,singleton_candidate,234,1,608.6666666666666,0.2309296398029502,,,,0.0012063165829157
G009,annual,annual,accepted_cluster,"1,2",2,342.375,0.6359134084508044,0.9950166032655519,0.9950166032655519,0.9981148190582383,0.0456741727460344
G010,annual,annual,accepted_cluster,"27,28",2,304.3333333333333,0.39543301307353096,0.7812466253237287,0.7812466253237287,0.994354520822835,0.0110133939243527
G011,annual,annual,singleton_candidate,11,1,304.3333333333333,0.31766946688315567,,,,0.0083709860409081
G012,annual,annual,singleton_candidate,138,1,391.2857142857143,0.2789792602864191,,,,0.0022179186617218
G013,semiannual,semiannual,singleton_candidate,55,1,228.25,0.19691095071987624,,,,0.0040292240853113
G014,semiannual,semiannual,singleton_candidate,69,1,238.17391304347828,0.32362605900612323,,,,0.0035977495944776
G015,semiannual,semiannual,singleton_candidate,44,1,228.25,0.1459886467842328,,,,0.0045808584102462
G016,semiannual,semiannual,singleton_candidate,87,1,248.99999999999997,0.3017408680264985,,,,0.0031876626820296
G017,semiannual,semiannual,accepted_cluster,"9,10",2,195.64285714285714,0.6411848439518455,0.9775694745342963,0.9775694745342963,0.9939806292071678,0.0168804919080352
G018,semiannual,semiannual,accepted_cluster,"12,13",2,161.1176470588235,0.5416971912569791,0.9995685916181227,0.9995685916181227,0.9985723842707994,0.0157896878796846
G019,semiannual,semiannual,accepted_cluster,"19,20",2,152.16666666666666,0.47089581981703466,0.9926524872333313,0.9926524872333313,0.9960206262735051,0.013077308890237699
G020,semiannual,semiannual,singleton_candidate,322,1,176.70967741935485,0.4918358955145731,,,,0.0007482594625547
G021,seasonal_subannual,seasonal_subannual,accepted_cluster,"3,4",2,71.14285714285714,0.6363390194616781,0.9997061199533125,0.9997061199533125,0.9994572873963484,0.027663736734033502
G022,seasonal_subannual,seasonal_subannual,accepted_cluster,"5,6",2,99.6,0.6370988657663739,0.9967425314619971,0.9967425314619971,0.9941914012195724,0.0227734095287449
G023,seasonal_subannual,seasonal_subannual,accepted_cluster,"17,18",2,62.96551724137931,0.5265140247776086,0.9977538796000566,0.9977538796000566,0.9965245224337164,0.0134767101436577
G024,seasonal_subannual,seasonal_subannual,accepted_cluster,"23,24,25",3,30.265193370165743,0.4339130903161463,0.7906930001206512,0.890339321692038,0.9984051364540727,0.0187826322339967
G025,seasonal_subannual,seasonal_subannual,singleton_candidate,22,1,50.25688073394495,0.5909929663223216,,,,0.0062759977050741
G026,seasonal_subannual,seasonal_subannual,accepted_cluster,"53,54",2,35.57142857142857,0.5409978876374405,0.9751644604486621,0.9751644604486621,0.9981636497209254,0.0082182363089742
G027,seasonal_subannual,seasonal_subannual,accepted_cluster,"40,41",2,32.41420118343195,0.43507778744026104,0.8266389688649537,0.8266389688649537,0.9994628064571343,0.009208466809061198
G028,seasonal_subannual,seasonal_subannual,accepted_cluster,"111,112",2,37.265306122448976,0.47134755212622914,0.9937143846162041,0.9937143846162041,0.9990416629706574,0.0053944042519083
G029,seasonal_subannual,seasonal_subannual,accepted_cluster,"36,37",2,38.041666666666664,0.5786964911004726,0.9877463826604784,0.9877463826604784,0.9984230358878511,0.009571683796550299
G030,seasonal_subannual,seasonal_subannual,accepted_cluster,"68,70",2,58.903225806451616,0.3300391864790469,0.9221363496667583,0.9221363496667583,0.9972467755732274,0.0071811078232057
G031,seasonal_subannual,seasonal_subannual,singleton_candidate,67,1,109.56,0.14561869395936206,,,,0.0036277386727551
G032,seasonal_subannual,seasonal_subannual,singleton_candidate,60,1,96.10526315789474,0.17407829713273248,,,,0.0038334523249251
G033,seasonal_subannual,seasonal_subannual,accepted_cluster,"56,57",2,57.0625,0.2920208884050173,0.957832812192626,0.957832812192626,0.9994633961612011,0.0080086108438635
G034,seasonal_subannual,seasonal_subannual,accepted_cluster,"88,89",2,57.0625,0.1788236478601839,0.7000320860991335,0.7000320860991335,0.9952688290694879,0.006211717975862
G035,seasonal_subannual,seasonal_subannual,accepted_cluster,"65,66,71,72",4,44.53658536585366,0.19143525198519223,0.8135919859008756,0.8883426714421706,0.981024889898787,0.0144644768720815
G036,seasonal_subannual,seasonal_subannual,accepted_cluster,"85,86",2,39.41007194244604,0.4000776084225097,0.9301519798396928,0.9301519798396928,0.9996741798659518,0.0064203121789593
G037,seasonal_subannual,seasonal_subannual,singleton_candidate,83,1,49.35135135135135,0.3823104735786604,,,,0.0033034681041132
G038,seasonal_subannual,seasonal_subannual,singleton_candidate,84,1,49.35135135135135,0.21688418567487966,,,,0.0032627500838203
G039,seasonal_subannual,seasonal_subannual,accepted_cluster,"146,147",2,40.27941176470588,0.5151089421581277,0.979769619468643,0.979769619468643,0.9974210221488328,0.004164134561438101
G040,seasonal_subannual,seasonal_subannual,accepted_cluster,"145,148",2,40.27941176470588,0.1780841779549611,0.7091796708604732,0.7091796708604732,0.9922068899803124,0.0041456325405369
G041,seasonal_subannual,seasonal_subannual,accepted_cluster,"119,120",2,41.5,0.34734104908160585,0.8872730159831056,0.8872730159831056,0.9995227615102101,0.0050988290695093
G042,seasonal_subannual,seasonal_subannual,singleton_candidate,136,1,48.910714285714285,0.18016583459139193,,,,0.0022741673910801
G043,seasonal_subannual,seasonal_subannual,accepted_cluster,"121,122",2,76.08333333333333,0.4229294011008008,0.9802370645885702,0.9802370645885702,0.9989247098682131,0.0050294195968817994
G044,seasonal_subannual,seasonal_subannual,accepted_cluster,"149,154",2,77.15492957746478,0.43536979010512233,0.8615064480660249,0.8615064480660249,0.9826243573364983,0.0038624815393805
G045,seasonal_subannual,seasonal_subannual,accepted_cluster,"92,95",2,66.80487804878048,0.31336140992997247,0.9612572394204486,0.9612572394204486,0.9928938831642853,0.0059785385105445
