group_id,source_band,final_band,status,components,number_of_components,dominant_period_days,spectral_concentration,minimum_absolute_wcor,mean_absolute_wcor,singular_value_ratio,trajectory_energy_fraction
G001,baseline,baseline,accepted_baseline,1,1,5478.0,0.9372396447427235,,,,0.2394328293423496
G002,annual,annual,accepted_cluster,"2,3",2,365.2,0.670114513853189,0.9877256680668303,0.9877256680668303,0.9975841255006807,0.0227069895511569
G003,semiannual,semiannual,accepted_cluster,"22,31,40",3,182.6,0.4552810845775593,0.7165017367573351,0.816104856250455,0.9481493278837362,0.0048417265102849005
G004,semiannual,semiannual,accepted_cluster,"272,273",2,202.88888888888889,0.1732459603393012,0.8223768797128406,0.8223768797128406,0.997953221493326,0.0014481796999824
G005,semiannual,semiannual,singleton_candidate,280,1,195.64285714285714,0.38890790440244527,,,,0.0007112039248401
G006,semiannual,semiannual,singleton_candidate,232,1,248.99999999999997,0.17646358914449536,,,,0.0007879353723063
G007,semiannual,semiannual,singleton_candidate,256,1,248.99999999999997,0.21917566898214827,,,,0.0007515965021568
G008,seasonal_subannual,seasonal_subannual,accepted_cluster,"27,28,38,39",4,58.27659574468085,0.2745584556886399,0.8266284288494953,0.9142266263935146,0.978885421167955,0.0064801602941927
G009,seasonal_subannual,seasonal_subannual,accepted_cluster,"210,215",2,54.78,0.36612025952180416,0.7097036353354295,0.7097036353354295,0.9940376984391429,0.0016706979815591999
G010,seasonal_subannual,seasonal_subannual,accepted_cluster,"16,17",2,48.47787610619469,0.37217230219149433,0.9993792625713911,0.9993792625713911,0.9981734790337885,0.0037127572528361
G011,seasonal_subannual,seasonal_subannual,accepted_cluster,"112,117",2,49.8,0.12441217823039816,0.8753764687729881,0.8753764687729881,0.9908580257117365,0.0022210822185039
G012,seasonal_subannual,seasonal_subannual,singleton_candidate,70,1,39.98540145985402,0.386992443265908,,,,0.0013261124863849
G013,seasonal_subannual,seasonal_subannual,accepted_cluster,"294,295",2,77.15492957746478,0.16517673257242077,0.8054316154530463,0.8054316154530463,0.9996959402607455,0.0013853218869675
G014,seasonal_subannual,seasonal_subannual,singleton_candidate,279,1,32.03508771929825,0.13048594896676105,,,,0.0007118784439786
G015,seasonal_subannual,seasonal_subannual,accepted_cluster,"233,234,235",3,43.13385826771653,0.37573852668236796,0.8692165585233997,0.9184330306186004,0.9976907727256767,0.0023440890421699
G016,seasonal_subannual,seasonal_subannual,accepted_cluster,"237,242",2,31.482758620689655,0.12509501699438114,0.7109623171467414,0.7109623171467414,0.9955624181972923,0.001543116582355
G017,seasonal_subannual,seasonal_subannual,accepted_cluster,"239,244,246",3,63.69767441860465,0.36313710179941183,0.7890470669338441,0.8336825917897158,0.9968778879469987,0.0023027481281152
G018,seasonal_subannual,seasonal_subannual,singleton_candidate,247,1,63.69767441860465,0.17517549730088752,,,,0.0007641632612205
G019,seasonal_subannual,seasonal_subannual,accepted_cluster,"96,97",2,83.0,0.6172321878787467,0.9972237267716213,0.9972237267716213,0.9984177689602176,0.002338306145597
G020,seasonal_subannual,seasonal_subannual,accepted_cluster,"46,51",2,111.79591836734693,0.4880117492838455,0.9205788746121695,0.9205788746121695,0.9914191901104149,0.0029053712699828
G021,seasonal_subannual,seasonal_subannual,singleton_candidate,41,1,121.73333333333333,0.30601773178815217,,,,0.0015125105631807
G022,seasonal_subannual,seasonal_subannual,singleton_candidate,154,1,101.44444444444444,0.17355007062963723,,,,0.0009974964959745
G023,seasonal_subannual,seasonal_subannual,singleton_candidate,126,1,99.6,0.4243128942317368,,,,0.001064707411021
G024,seasonal_subannual,seasonal_subannual,accepted_cluster,"4,5",2,38.57746478873239,0.5073746879105775,0.9998085441750048,0.9998085441750048,0.9975797884001164,0.0044239765154774
G025,seasonal_subannual,seasonal_subannual,accepted_cluster,"23,24",2,30.775280898876407,0.35375523538971937,0.9980199282247446,0.9980199282247446,0.9997589965050179,0.0033390060451388
G026,seasonal_subannual,seasonal_subannual,accepted_cluster,"204,205",2,30.265193370165743,0.40163041995137894,0.9927516314298775,0.9927516314298775,0.9984462646532674,0.0017060431986190001
G027,seasonal_subannual,seasonal_subannual,accepted_cluster,"211,212",2,30.265193370165743,0.25023307725298194,0.7534833879213854,0.7534833879213854,0.9985937076476751,0.0016717336525537
G028,seasonal_subannual,seasonal_subannual,accepted_cluster,"144,145",2,42.46511627906976,0.5474569611541992,0.9549333786240204,0.9549333786240204,0.9975212776350223,0.0020403838008561
G029,seasonal_subannual,seasonal_subannual,accepted_cluster,"172,174",2,32.60714285714286,0.2591518047353116,0.9327681145976606,0.9327681145976606,0.9994243659484692,0.0018886887958238
G030,subseasonal,subseasonal,accepted_cluster,"10,11",2,10.61627906976744,0.6507029003053734,0.999231419972399,0.999231419972399,0.9995998595208303,0.004043700467855099
G031,subseasonal,subseasonal,accepted_cluster,"6,7",2,17.11875,0.47109187100806516,0.9999412718026262,0.9999412718026262,0.9994311568807076,0.0041894059160958
G032,subseasonal,subseasonal,accepted_cluster,"12,13",2,16.15929203539823,0.48771571453417145,0.9777052558271145,0.9777052558271145,0.9996500388256742,0.0039780433937695
G033,subseasonal,subseasonal,accepted_cluster,"36,37",2,19.288732394366196,0.4876666896899197,0.9892439625506669,0.9892439625506669,0.9998938165410294,0.0031962776959785
G034,subseasonal,subseasonal,accepted_cluster,"34,35",2,23.817391304347826,0.3258269618098222,0.9057144519152116,0.9057144519152116,0.9991337207182756,0.0032155658433806
