component,singular_value,trajectory_energy_fraction,cumulative_trajectory_energy_fraction,dominant_period_days,dominant_spectral_power,provisional_period_label
1,15.489807206656915,0.005685912301516671,0.005685912301516671,5478.0,1.3608303176465182e-08,trend_or_low_frequency
2,9.793110425517947,0.002272738324242578,0.007958650625759248,3.935344827586207,5.299723643711952e-06,high_frequency
3,9.790978292027807,0.002271748801245551,0.010230399427004799,3.935344827586207,5.293324051403872e-06,high_frequency
4,9.306668733125782,0.0020525636975245523,0.012282963124529351,2.6813509544787077,5.464576933603632e-06,high_frequency
5,9.302388097857449,0.002050675963864636,0.014333639088393987,2.6813509544787077,5.445916167860816e-06,high_frequency
6,9.0263663601504,0.0019307855743792308,0.016264424662773218,24.13215859030837,2.9453026570342208e-06,subseasonal
7,9.014415089210077,0.0019256760841883103,0.018190100746961528,24.13215859030837,2.913452676394456e-06,subseasonal
8,8.90310630084592,0.0018784137116489483,0.020068514458610475,17.728155339805827,3.84664602730639e-06,subseasonal
9,8.898972511765608,0.0018766697892118084,0.021945184247822283,17.728155339805827,3.81536972560247e-06,subseasonal
10,8.808721528995411,0.0018387974542724123,0.023783981702094694,4.1816793893129764,3.93362985383617e-06,high_frequency
11,8.805312727394217,0.0018373745728994405,0.025621356274994133,4.1816793893129764,3.9134370777263886e-06,high_frequency
12,8.504909628379668,0.0017141449307290673,0.0273355012057232,547.8,3.2383518413775026e-06,interannual
13,8.399660960403521,0.0016719821851681833,0.029007483390891382,547.8,2.864692925830797e-06,interannual
14,8.377613690739008,0.001663216530434088,0.03067069992132547,2.79347271800102,3.2341455149695027e-06,high_frequency
15,8.373233759540371,0.0016614778802764723,0.03233217780160194,2.79347271800102,2.8025240469167476e-06,high_frequency
16,8.351795374511862,0.0016529808516450482,0.03398515865324699,2.1947115384615383,2.856943851935539e-06,high_frequency
17,8.330336019385095,0.001644497326789533,0.03562965598003653,2.1947115384615383,1.9581399893629626e-06,high_frequency
18,8.303274301148772,0.0016338301369761038,0.037263486117012634,6.10022271714922,1.7843648353686624e-06,high_frequency
19,8.29930783449289,0.0016322695514402357,0.03889575566845287,6.713235294117646,1.7026735791267077e-06,high_frequency
20,8.291695217702939,0.0016292764961201428,0.04052503216457301,6.10022271714922,2.4334238790382768e-06,high_frequency
21,8.278425377838428,0.0016240657551646834,0.04214909791973769,6.713235294117646,1.4497136963856346e-06,high_frequency
