component,singular_value,trajectory_energy_fraction,cumulative_trajectory_energy_fraction,dominant_period_days,dominant_spectral_power,provisional_period_label
1,426.02196243966466,0.8827064007077968,0.8827064007077968,5478.0,6.601902267804987e-05,trend_or_low_frequency
2,66.07093952009211,0.02123113752676592,0.9039375382345627,365.2,0.0002898498437687517,annual
3,65.84420160011791,0.02108566830909308,0.9250232065436558,365.2,0.0002853100236801338,annual
4,32.24105712254551,0.005055578342308667,0.9300787848859644,2739.0,5.943382756109718e-05,trend_or_low_frequency
5,31.010900646559485,0.004677147409605605,0.93475593229557,1826.0,5.9664456620293676e-05,trend_or_low_frequency
6,23.01284508677792,0.0025756860543324025,0.9373316183499024,1369.5,1.145065509845187e-05,trend_or_low_frequency
7,21.576386992832454,0.002264173716359521,0.939595792066262,182.6,3.042105908937303e-05,semiannual
8,21.139901055698278,0.002173492766411507,0.9417692848326735,182.6,1.7125699192190432e-05,semiannual
9,12.751510914402761,0.0007908162640688061,0.9425601010967424,1095.6,2.268660096002009e-06,trend_or_low_frequency
10,12.051844774770748,0.000706414097180153,0.9432665151939226,304.3333333333333,7.2194098807207625e-06,annual
11,12.019525421125342,0.0007026304051751413,0.9439691455990977,304.3333333333333,4.731197100969106e-06,annual
12,11.113904571855878,0.0006007387208823585,0.9445698843199801,6.996168582375479,5.990430955224642e-06,high_frequency
13,11.106396893182865,0.000599927371477388,0.9451698116914575,6.996168582375479,5.98387848222338e-06,high_frequency
14,9.981421813800607,0.00048454834775317463,0.9456543600392107,547.8,1.1491385548577962e-06,interannual
15,9.441674218849538,0.0004335611114927983,0.9460879211507035,547.8,1.2405192602057197e-06,interannual
16,8.727632173673628,0.00037046328022320995,0.9464583844309267,497.99999999999994,1.441143827164411e-06,interannual
17,8.322864213809087,0.0003368975999472201,0.9467952820308739,228.25,4.142012965045349e-07,semiannual
18,7.905694547326989,0.00030397114510745784,0.9470992531759814,497.99999999999994,7.930049393126476e-07,interannual
19,6.858454645997658,0.00022877303865935205,0.9473280262146407,913.0,3.5132831748901366e-07,interannual
20,6.460731501994174,0.00020300918337364684,0.9475310353980144,40.577777777777776,2.7001382661424962e-06,seasonal_subannual
21,6.450418643928768,0.00020236159913376283,0.9477333969971482,40.577777777777776,2.5061890525605286e-06,seasonal_subannual
22,6.288243673799405,0.00019231405435245834,0.9479257110515007,73.03999999999999,8.872452209905452e-07,seasonal_subannual
23,6.273630652495221,0.00019142126960867026,0.9481171323211094,73.03999999999999,1.4621431592461676e-06,seasonal_subannual
24,6.231242701152995,0.0001888433223775752,0.948305975643487,99.6,9.237031003860158e-08,seasonal_subannual
25,6.228333728248653,0.0001886670455389941,0.948494642689026,99.6,2.0487915731491934e-07,seasonal_subannual
26,6.16285829289683,0.00018472116638498405,0.948679363855411,238.17391304347828,1.859026241035768e-07,semiannual
27,6.153012882993058,0.00018413143907746943,0.9488634952944884,228.25,5.504222140439456e-07,semiannual
28,5.908814200706593,0.0001698059745721069,0.9490333012690605,99.6,2.0172161730580253e-07,seasonal_subannual
29,5.888948416149724,0.00016866609840515313,0.9492019673674656,3.5003194888178912,2.0849050145748697e-06,high_frequency
30,5.8870695942243065,0.00016855849243200183,0.9493705258598977,3.5003194888178912,2.0789590334158075e-06,high_frequency
31,5.871641053009204,0.00016767615060512306,0.9495382020105028,121.73333333333333,2.5084520241865367e-07,seasonal_subannual
32,5.673938447507357,0.0001565746821924787,0.9496947766926952,140.46153846153845,4.48339914160723e-07,seasonal_subannual
33,5.652035223220949,0.00015536815838321737,0.9498501448510784,140.46153846153845,7.006290068849715e-07,seasonal_subannual
34,5.604420544537978,0.00015276143573270863,0.9500029062868112,166.0,2.779166769494939e-07,semiannual
35,5.584365347521791,0.00015167009040215973,0.9501545763772133,171.1875,4.3558417426781666e-07,semiannual
36,5.523450090593476,0.00014837924838251106,0.9503029556255959,92.84745762711864,8.481471532684346e-07,seasonal_subannual
37,5.511565465351711,0.00014774140986751304,0.9504506970354634,92.84745762711864,1.013745150604831e-06,seasonal_subannual
38,5.079499690775852,0.00012548568190843079,0.9505761827173718,421.38461538461536,6.360313478016711e-07,annual
39,5.070450165988465,0.00012503895514766883,0.9507012216725195,50.72222222222222,7.182472550326555e-07,seasonal_subannual
40,5.067537023169203,0.0001248953183171367,0.9508261169908366,50.72222222222222,1.0863849079901378e-06,seasonal_subannual
41,5.036260385678057,0.00012335837806551122,0.9509494753689022,421.38461538461536,4.3923007558184943e-07,annual
42,5.025089936291678,0.00012281176599909351,0.9510722871349012,133.60975609756096,4.5792622636794946e-07,seasonal_subannual
43,4.9671191492795375,0.0001199945314351448,0.9511922816663364,133.60975609756096,2.689557857511127e-07,seasonal_subannual
44,4.936713517540687,0.00011852996315537345,0.9513108116294918,5.067530064754857,1.236884497846161e-06,high_frequency
45,4.935263928599856,0.00011846036442453947,0.9514292719939164,5.067530064754857,1.2379628575666306e-06,high_frequency
46,4.885729146631287,0.00011609434688832098,0.9515453663408047,57.0625,1.3473555463712417e-07,seasonal_subannual
47,4.869804968460303,0.00011533880181379506,0.9516607051426185,36.27814569536424,5.43909309709469e-07,seasonal_subannual
48,4.858458709564898,0.00011480196743416925,0.9517755071100527,36.03947368421053,7.067418348675935e-07,seasonal_subannual
49,4.835941530500581,0.00011374030310441485,0.9518892474131571,57.0625,1.232065440427257e-07,seasonal_subannual
50,4.796614932295872,0.00011189791872406364,0.9520011453318811,6.127516778523489,1.379942720731522e-06,high_frequency
51,4.793716005137813,0.00011176270424625167,0.9521129080361274,6.127516778523489,1.3719931578192424e-06,high_frequency
52,4.763074663702894,0.00011033850042679275,0.9522232465365541,91.3,9.527949936042962e-08,seasonal_subannual
53,4.700451837389699,0.00010745620849753305,0.9523307027450516,91.3,7.243780857594161e-08,seasonal_subannual
54,4.68417945643524,0.00010671349619767643,0.9524374162412493,45.65,5.498667002722448e-07,seasonal_subannual
55,4.678495419336237,0.00010645466945608693,0.9525438709107055,45.65,4.730192567490546e-07,seasonal_subannual
56,4.5235194817086555,9.951882247162336e-05,0.9526433897331771,5.058171745152355,6.079206973435826e-07,high_frequency
57,4.511709138946077,9.899983849827412e-05,0.9527423895716753,5.058171745152355,5.840572701568099e-07,high_frequency
58,4.43206662259858,9.553551711909253e-05,0.9528379250887944,19.92,1.1041000210842532e-06,subseasonal
59,4.4300822763638985,9.544998902532742e-05,0.9529333750778197,19.92,1.101718305016166e-06,subseasonal
60,4.3537396083024715,9.218859588714042e-05,0.9530255636737068,80.55882352941175,2.2939294214770126e-07,seasonal_subannual
61,4.304687548962523,9.012298482293604e-05,0.9531156866585297,80.55882352941175,3.5810734440701825e-07,seasonal_subannual
62,4.288012224487314,8.942610766449861e-05,0.9532051127661942,16.11176470588235,2.3216739347663048e-07,subseasonal
63,4.2678678811802255,8.858786434111355e-05,0.9532937006305353,16.11176470588235,3.6006389619714703e-07,subseasonal
64,4.26189348116014,8.834001744902576e-05,0.9533820406479844,2.404741000877963,2.6775722182769475e-07,high_frequency
65,4.257117459794422,8.814213479089e-05,0.9534701827827753,2.404741000877963,1.3598985438226146e-07,high_frequency
66,4.236527132095654,8.729156561213997e-05,0.9535574743483874,210.69230769230768,1.9709459089305908e-07,semiannual
67,4.184284347641397,8.515196575913569e-05,0.9536426263141465,210.69230769230768,3.039072181179805e-07,semiannual
68,4.070769383835871,8.059448002396843e-05,0.9537232207941705,9.175879396984925,3.7615520461740223e-07,subseasonal
