component,singular_value,trajectory_energy_fraction,cumulative_trajectory_energy_fraction,dominant_period_days,dominant_spectral_power,provisional_period_label
1,2122.3924954649656,0.9813216373743759,0.9813216373743759,5478.0,1.241216894957158e-05,trend_or_low_frequency
2,110.26329493125196,0.0026486337229229434,0.9839702710972988,365.2,0.0008001044162307257,annual
3,110.01462237962919,0.0026367004716792352,0.986606971568978,365.2,0.0007949993561200873,annual
4,24.23583313583601,0.0001279604855911122,0.9867349320545692,121.73333333333333,3.6746730531930925e-05,seasonal_subannual
5,24.11369942015225,0.0001266740506674552,0.9868616061052367,121.73333333333333,3.636617434352063e-05,seasonal_subannual
6,16.67989650208127,6.061033370758852e-05,0.9869222164389443,63.69767441860465,9.003740104555281e-06,seasonal_subannual
7,16.64248807114249,6.0338773872132375e-05,0.9869825552128164,2739.0,5.462922471449201e-06,trend_or_low_frequency
8,16.63829001000591,6.030833684704498e-05,0.9870428635496634,63.69767441860465,1.2042771272671434e-05,seasonal_subannual
9,15.848330310385625,5.471759497822072e-05,0.9870975811446416,2739.0,1.517569422177734e-05,trend_or_low_frequency
10,15.733322176459266,5.3926327385034404e-05,0.9871515074720266,73.03999999999999,5.636004293607376e-06,seasonal_subannual
11,15.713082233275303,5.378767087770191e-05,0.9872052951429043,73.03999999999999,6.192026856038313e-06,seasonal_subannual
12,15.274065548207052,5.082405030019852e-05,0.9872561191932046,43.476190476190474,1.1675064843159433e-05,seasonal_subannual
13,15.264974667854604,5.0763568975065124e-05,0.9873068827621796,43.476190476190474,1.191787568870179e-05,seasonal_subannual
14,14.977087090023744,4.886688797466957e-05,0.9873557496501543,83.0,2.962092043049226e-06,seasonal_subannual
15,14.903949835831344,4.839079224315069e-05,0.9874041404423974,83.0,2.758558873864008e-06,seasonal_subannual
16,14.113511062807508,4.339404231005685e-05,0.9874475344847075,21.3984375,1.1739631918336348e-05,subseasonal
17,14.112092725068448,4.338532097700508e-05,0.9874909198056845,21.3984375,1.2250843410704705e-05,subseasonal
18,13.969495086728246,4.251296454931804e-05,0.9875334327702338,6.680487804878049,8.798894410201106e-06,high_frequency
19,13.964223224284565,4.248088318779783e-05,0.9875759136534216,6.680487804878049,9.00338246463959e-06,high_frequency
20,13.95192452257367,4.240608781543162e-05,0.987618319741237,130.42857142857144,1.3337308234468412e-06,seasonal_subannual
21,13.925956789952405,4.224837979965934e-05,0.9876605681210368,273.9,2.151220749302306e-06,semiannual
22,13.694815314645265,4.08575510236558e-05,0.9877014256720604,49.8,4.724747429192194e-06,seasonal_subannual
23,13.679269029159528,4.0764841102489874e-05,0.9877421905131629,49.8,3.985695431427937e-06,seasonal_subannual
24,13.628854979963432,4.0464922489276384e-05,0.9877826554356522,684.75,1.5069944855168817e-06,interannual
25,13.483989675314833,3.9609266012756744e-05,0.987822264701665,273.9,2.202514281004907e-06,semiannual
