component,singular_value,trajectory_energy_fraction,cumulative_trajectory_energy_fraction,dominant_period_days,dominant_spectral_power,provisional_period_label
1,34418.75935105813,0.23943282934234944,0.23943282934234944,5478.0,0.06052826112177791,trend_or_low_frequency
2,7503.99861532812,0.011380956525913043,0.2508137858682625,365.2,3.609269208790094,annual
3,7485.869896433469,0.01132603302500376,0.2621398188932662,365.2,3.607202831985262,annual
4,3311.643212015098,0.0022165644093369978,0.2643563833026032,38.57746478873239,0.4840248011754579,seasonal_subannual
5,3303.653666703722,0.0022058821116333624,0.26656226541423655,38.57746478873239,0.48008151014531747,seasonal_subannual
6,3219.4028903331287,0.0020948065981680913,0.26865707201240463,17.11875,0.408645559207428,subseasonal
7,3217.753351071847,0.0020926604980369473,0.2707497325104416,17.11875,0.3984064725923954,subseasonal
8,3170.9346016066565,0.002032206537321826,0.27278193904776343,8.778846153846153,0.40325221480094176,subseasonal
9,3169.2558534816594,0.0020300553356906535,0.2748119943834541,8.778846153846153,0.3577172226994401,subseasonal
10,3162.0257527997996,0.0020208034714864994,0.2768327978549406,10.61627906976744,0.4154774818240652,subseasonal
11,3160.313846549001,0.002018615956326198,0.27885141381126677,10.61627906976744,0.4156822443387442,subseasonal
12,3136.2344979410523,0.0019879723023031428,0.2808393861135699,16.15929203539823,0.3582361149098588,subseasonal
13,3135.1562210199727,0.001986605557463734,0.2828259916710336,16.15929203539823,0.19582200216470053,subseasonal
14,3133.9856048085694,0.001985122302183555,0.2848111139732172,5.5784114052953155,0.4507993661216903,high_frequency
15,3131.938718093288,0.001982530079977626,0.2867936440531948,5.5784114052953155,0.25166854023724383,high_frequency
16,3029.55142336671,0.0018550257010684352,0.28864866975426323,48.47787610619469,0.12032481142132487,seasonal_subannual
17,3023.6884079140077,0.0018478526785557449,0.290496522432819,48.47787610619469,0.12212587766912372,seasonal_subannual
18,2976.0163680685846,0.0017900448188597027,0.2922865672516787,7.715492957746479,0.35699733489344004,subseasonal
19,2973.3793150372476,0.001786873901004412,0.2940734411526831,7.715492957746479,0.3483819432996432,subseasonal
20,2892.9071225458824,0.0016914620387122878,0.29576490319139537,9.300509337860781,0.20841915921341855,subseasonal
21,2886.879229061333,0.0016844204504289297,0.2974493236418243,9.300509337860781,0.036593938028172665,subseasonal
22,2884.6263786169866,0.00168179251458895,0.29913111615641325,9.300509337860781,0.04216790556533052,subseasonal
23,2867.5639461798296,0.0016619559040877544,0.300793072060501,30.775280898876407,0.09567296604339344,seasonal_subannual
24,2866.6673088842654,0.0016609167372550044,0.302453988797756,30.775280898876407,0.10411586413655503,seasonal_subannual
25,2858.3265512681683,0.0016512657042716272,0.30410525450202763,10.869047619047619,0.08910889651833379,subseasonal
26,2854.636312834657,0.0016470047281284639,0.3057522592301561,58.27659574468085,0.03298472372930983,seasonal_subannual
27,2852.9889987814804,0.001645104415158183,0.3073973636453143,58.27659574468085,0.0349749848883982,seasonal_subannual
28,2849.9539914083452,0.0016416061553975647,0.3090389698007118,8.681458003169572,0.07567259434619407,subseasonal
29,2845.935099934652,0.001636979564737021,0.31067594936544884,8.681458003169572,0.16462671319554642,subseasonal
30,2843.6683061773706,0.0016343728873959135,0.3123103222528448,8.681458003169572,0.12354606008801543,subseasonal
31,2825.1005651867313,0.0016130992822854355,0.3139234215351302,182.6,0.06839142531926908,semiannual
32,2822.3662658947737,0.001609978287717316,0.3155333998228475,6.422039859320046,0.24527183721713924,high_frequency
33,2816.906786270469,0.0016037557484355157,0.317137155571283,6.422039859320046,0.12154854676474997,high_frequency
34,2814.184377146135,0.0016006573360223372,0.31873781290730535,23.817391304347826,0.06570645998897909,subseasonal
35,2810.1924424445156,0.001596119475822243,0.3203339323831276,23.817391304347826,0.06369066783782411,subseasonal
36,2802.0165721491976,0.0015868456036809459,0.3219207779868085,19.288732394366196,0.14639529602675116,subseasonal
37,2795.6735125598825,0.0015796692982339281,0.32350044728504246,19.288732394366196,0.15067756058783277,subseasonal
38,2790.4610970917633,0.0015737843357912945,0.32507423162083376,69.34177215189874,0.06728368363910125,seasonal_subannual
39,2785.7446730025063,0.0015684688261003038,0.32664270044693405,69.34177215189874,0.07387319654527219,seasonal_subannual
40,2722.1358227516976,0.0014976587064253666,0.32814035915335943,121.73333333333333,0.050008061776533615,seasonal_subannual
41,2718.684309617228,0.0014938632223539087,0.3296342223757133,182.6,0.031262794984955766,semiannual
42,2698.5720876581768,0.0014718424413299005,0.33110606481704324,19.634408602150536,0.08503636383223284,subseasonal
43,2696.6079642483846,0.001469700695210554,0.3325757655122538,10.220149253731343,0.21779844609033303,subseasonal
44,2693.536023340412,0.0014663540744723148,0.33404211958672614,19.634408602150536,0.2018479219230103,subseasonal
45,2688.585752690162,0.0014609691980893122,0.33550308878481544,10.220149253731343,0.09489338930692574,subseasonal
46,2676.1518852615695,0.0014474873945507743,0.3369505761793662,111.79591836734693,0.12796357343643458,seasonal_subannual
