component,singular_value,trajectory_energy_fraction,cumulative_trajectory_energy_fraction,dominant_period_days,dominant_spectral_power,provisional_period_label
1,52.860471821181626,0.007369358721460171,0.007369358721460171,5478.0,3.2252013784785687e-06,trend_or_low_frequency
2,31.148572992963008,0.0025588447500564234,0.009928203471516593,8.312594840667678,6.32697164104529e-05,subseasonal
3,31.139452729079903,0.0025573465162343125,0.012485549987750906,8.312594840667678,6.317935962804898e-05,subseasonal
4,28.330925204508713,0.002116845403472944,0.014602395391223849,2.014711290915778,4.9269998207460184e-05,high_frequency
5,28.223420265318705,0.0021008106596733292,0.016703206050897177,2.014711290915778,4.8453260910663725e-05,high_frequency
6,27.44267639113005,0.0019861889237011475,0.018689394974598324,3.9811046511627906,2.3919366477411737e-05,high_frequency
7,27.43620050565484,0.001985251637978654,0.020674646612576977,3.9811046511627906,2.4691531334980735e-05,high_frequency
8,26.91676080007621,0.0019107911322982277,0.022585437744875203,4.078927773641102,2.3404739252830373e-05,high_frequency
9,26.906057232939038,0.0019092717656216639,0.024494709510496867,4.078927773641102,2.337790092916656e-05,high_frequency
10,26.58874177864936,0.001864503485401339,0.026359212995898204,15.741379310344827,3.327181783632795e-05,subseasonal
11,26.56858965111304,0.0018616782691186949,0.0282208912650169,15.741379310344827,3.3131650069465765e-05,subseasonal
12,25.892322987576147,0.001768111539969666,0.029989002804986564,2.769464105156724,1.2240346165638473e-05,high_frequency
13,25.887643803559268,0.0017674725419394805,0.03175647534692604,2.769464105156724,1.153044169796059e-05,high_frequency
14,25.885847850184046,0.001767227313892228,0.03352370266081827,33.40243902439024,2.9449121264025682e-05,seasonal_subannual
15,25.863575147849918,0.001764187506605937,0.03528789016742421,2.769464105156724,1.6423380284870317e-05,high_frequency
16,25.807299031148265,0.0017565185274462129,0.03704440869487042,2.581526861451461,2.4286097660801088e-05,high_frequency
17,25.783185574178248,0.001753237599364322,0.03879764629423474,2.581526861451461,2.530318858023222e-05,high_frequency
18,25.752127480670577,0.0017490162884696244,0.04054666258270436,3.1267123287671232,1.9139441466679718e-05,high_frequency
19,25.722133332864846,0.0017449444150117854,0.04229160699771615,3.1267123287671232,1.88638620371514e-05,high_frequency
20,25.234404992509997,0.0016793985143054976,0.04397100551202165,2.6085714285714285,2.9262556284976025e-05,high_frequency
21,25.19054128869553,0.0016735651597832588,0.045644570671804906,2.6085714285714285,2.723286718250908e-05,high_frequency
22,24.90616001794144,0.0016359919975703567,0.04728056266937526,5.007312614259598,3.102212917324573e-05,high_frequency
23,24.88965426288727,0.0016338243141229604,0.048914386983498225,5.007312614259598,2.0840698068840014e-05,high_frequency
24,24.841172115894654,0.0016274655143968606,0.050541852497895084,7.353020134228187,1.0476211563631496e-05,subseasonal
25,24.820190912596686,0.0016247175148673043,0.05216657001276239,7.353020134228187,1.391414281745633e-05,subseasonal
26,24.600144573079177,0.0015960369655824214,0.05376260697834481,6.664233576642336,1.639731875080682e-05,high_frequency
27,24.565235903685235,0.0015915104884932146,0.05535411746683803,2.558617468472676,7.313379233936409e-06,high_frequency
28,24.55843938787429,0.0015906299571685845,0.05694474742400661,6.664233576642336,7.481728987660543e-06,high_frequency
