component,singular_value,trajectory_energy_fraction,cumulative_trajectory_energy_fraction,dominant_period_days,dominant_spectral_power,provisional_period_label
1,424.6826107746391,0.02288017899338341,0.02288017899338341,342.375,0.011499418024395117,annual
2,423.88200721050913,0.022793993752651044,0.045674172746034455,342.375,0.011528812440975532,annual
3,330.2881876023351,0.013839377133309634,0.05951354987934409,71.14285714285714,0.006899759000239847,seasonal_subannual
4,330.10893604008606,0.013824359600723975,0.07333790948006806,71.14285714285714,0.006846839847792796,seasonal_subannual
5,300.4658468071985,0.011453037653203888,0.08479094713327195,99.6,0.004853608908744727,seasonal_subannual
6,298.72056125587403,0.011320371875541194,0.09611131900881315,99.6,0.005303645736170785,seasonal_subannual
7,278.96963622823847,0.009872890783815865,0.10598420979262901,5478.0,0.0012041215268542166,trend_or_low_frequency
8,278.15729718283586,0.00981547623675572,0.11579968602938473,5478.0,0.003232605491649983,trend_or_low_frequency
9,258.71368551948706,0.008491203828186914,0.12429088985757164,195.64285714285714,0.0023327901992165052,semiannual
10,257.1563919171651,0.00838928807984832,0.13268017793741996,195.64285714285714,0.003263334142543125,semiannual
11,256.87573305966106,0.008370986040908199,0.14105116397832815,304.3333333333333,0.0003844556785186876,annual
12,249.64136423062126,0.007906122788410372,0.14895728676673853,161.1176470588235,0.0021302928860909534,semiannual
13,249.28497229238656,0.00788356509127439,0.15684085185801291,161.1176470588235,0.002213776018549957,semiannual
14,240.4917081791536,0.007337205361317957,0.16417805721933088,29.294117647058822,0.0005294469589149091,subseasonal
15,238.53863032254966,0.007218515660199738,0.1713965728795306,29.294117647058822,0.0022828118753043187,subseasonal
16,237.71400795672724,0.007168693452848911,0.1785652663323795,29.294117647058822,0.000580189862393848,subseasonal
17,230.8694161151085,0.0067618147695758975,0.18532708110195542,62.96551724137931,0.002111089773874543,seasonal_subannual
18,230.06703463865944,0.006714895374081906,0.19204197647603732,62.96551724137931,0.001707542794784926,seasonal_subannual
19,227.479921993773,0.006564725965567073,0.1986067024416044,152.16666666666666,0.0014077021497459668,semiannual
20,226.57469436888584,0.0065125829246707395,0.20511928536627513,152.16666666666666,0.001307376473158778,semiannual
21,224.93862285067408,0.006418869176346245,0.21153815454262137,913.0,0.0013696719636187708,interannual
22,222.42118887286767,0.006275997705074114,0.21781415224769549,50.25688073394495,0.0016014514776639822,seasonal_subannual
23,222.34171994175776,0.006271513800162915,0.2240856660478584,30.265193370165743,0.0007897772787534272,seasonal_subannual
24,222.13030927061394,0.006259593098988229,0.23034525914684664,30.265193370165743,0.001411009874119284,seasonal_subannual
25,221.98711523788387,0.00625152533484569,0.23659678448169233,50.25688073394495,0.000661341070086273,seasonal_subannual
26,220.18300577516905,0.006150324816395304,0.24274710929808763,913.0,0.001154194090733974,interannual
27,208.93262090740885,0.00553787265697253,0.24828498195506016,304.3333333333333,0.00024005481569686294,annual
28,207.75309614664556,0.0054755212673802695,0.2537605032224404,304.3333333333333,0.0005101300817387831,annual
29,204.5728593649929,0.005309168285198253,0.25906967150763865,22.825,0.0007506044733299937,subseasonal
30,204.26873958517533,0.005293394707622022,0.2643630662152607,22.825,0.0008116654338529242,subseasonal
31,202.3397783662399,0.005193893024007346,0.26955695923926803,28.092307692307692,0.000756365695964167,subseasonal
32,202.21823612324388,0.005187655122453498,0.27474461436172154,28.092307692307692,0.0006923770032976805,subseasonal
33,196.09753500651826,0.004878369924445322,0.2796229842861669,20.908396946564885,0.0004876031123112935,subseasonal
34,196.04104786053614,0.004875559838077722,0.28449854412424463,20.908396946564885,0.0009630092600033892,subseasonal
35,195.7604684055101,0.004861613748825961,0.2893601578730706,20.908396946564885,0.00014527011562790455,subseasonal
36,194.38214790396987,0.004793394949941468,0.2941535528230121,38.041666666666664,0.0018365214911295717,seasonal_subannual
37,194.07561423268288,0.00477828884660899,0.29893184166962106,38.041666666666664,0.0011105518467579719,seasonal_subannual
38,194.02927246271514,0.004776007179989817,0.3037078488496109,133.60975609756096,0.00011534284919088594,seasonal_subannual
39,191.7378538822156,0.0046638672948861115,0.308371716144497,547.8,0.00020083328004125395,interannual
40,190.55927223369378,0.0046067074333230205,0.31297842357782,32.41420118343195,0.0003903492739389514,seasonal_subannual
41,190.4569050231166,0.004601759375738275,0.3175801829535583,32.41420118343195,0.0005653601089355377,seasonal_subannual
42,190.2853630974918,0.004593473625573433,0.3221736565791317,17.2807570977918,0.000540939687233656,subseasonal
43,190.19017437906606,0.004588879078774718,0.3267625356579064,17.2807570977918,0.0013378422264699904,subseasonal
44,190.0238898171725,0.004580858410246224,0.33134339406815266,228.25,7.675421482774314e-05,semiannual
45,189.46602759775462,0.004554001400760598,0.3358973954689133,133.60975609756096,7.35686571081118e-05,seasonal_subannual
46,185.1836231538869,0.0043504643517150035,0.3402478598206283,497.99999999999994,7.17565936649942e-05,interannual
47,184.87653247645957,0.004336047533574572,0.34458390735420286,20.13970588235294,0.0009950365754676262,subseasonal
48,184.86316211388493,0.004335420386034373,0.3489193277402372,20.13970588235294,0.0012413310826791396,subseasonal
49,183.22299810313345,0.004258831239981247,0.3531781589802184,136.95,0.00011732448314378818,seasonal_subannual
50,181.47065846492023,0.004177758107266669,0.3573559170874851,497.99999999999994,5.0439656769796814e-05,interannual
51,180.65899777073676,0.0041404701091436935,0.3614963871966288,15.696275071633236,0.001258175304644934,subseasonal
52,180.6022338482593,0.00413786860682689,0.3656342558034557,15.696275071633236,0.001032253701674541,subseasonal
53,180.1390394023606,0.004116670863093057,0.36975092666654874,35.57142857142857,0.0003393226918850217,seasonal_subannual
54,179.80824102708183,0.0041015654458812735,0.37385249211243,35.57142857142857,0.0004010570810486506,seasonal_subannual
55,178.2155028782595,0.004029224085311353,0.37788171619774136,228.25,5.776808636428243e-05,semiannual
56,177.71123678205362,0.004006454724100052,0.3818881709218414,57.0625,0.00014517413158461452,seasonal_subannual
57,177.61587625019865,0.004002156119763516,0.3858903270416049,57.0625,0.00021067266852285658,seasonal_subannual
58,176.66099144930712,0.003959239625591945,0.3898495666671969,24.13215859030837,0.0005252764975498569,subseasonal
59,175.97954249848382,0.003928753936358981,0.3937783206035559,24.13215859030837,0.0007738285507589719,subseasonal
60,173.83203044427455,0.0038334523249251616,0.39761177292848104,96.10526315789474,4.001930734485351e-05,seasonal_subannual
61,173.47497207229668,0.0038177203508959557,0.401429493279377,29.934426229508194,0.0007408790518483019,subseasonal
62,173.43934553603708,0.0038161524222837177,0.4052456457016607,29.934426229508194,0.0006240104910304763,subseasonal
63,171.40974018627858,0.0037273609742973666,0.4089730066759581,15.970845481049563,0.0005454388364558408,subseasonal
64,171.39685808610977,0.0037268007443701555,0.41269980742032825,15.970845481049563,0.0005226104936481828,subseasonal
65,170.44313169398015,0.0036854410683434726,0.4163852484886717,44.53658536585366,8.632635698086464e-05,seasonal_subannual
66,170.42448255171826,0.0036846346227681886,0.4200698831114399,44.53658536585366,7.645537193792134e-05,seasonal_subannual
67,169.103566447677,0.0036277386727551,0.423697621784195,109.56,3.865388490129606e-05,seasonal_subannual
68,168.46642119268398,0.003600453120924979,0.42729807490512,58.903225806451616,7.487780628482904e-05,seasonal_subannual
